principle,probe,measure,group_by,group,n_units,depth_mm,median,q1,q3
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.1613650125726161,171.68276084982548,164.08502834914458,182.56583612529624
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.2237224022535524,197.42774857096003,182.25326641968047,205.6353286230462
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.28607979193448874,219.14117516366832,201.29455658804025,227.94698799866148
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.34843718161542503,238.25680448849948,233.24916150881864,241.96431044323583
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.4107945712963613,258.3465147471619,250.33936837962852,270.79131121860013
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.4731519609772976,278.4362250058243,267.42957525043846,292.0956717675478
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.5355093506582339,279.24069653454734,273.1887126578275,303.29296461536535
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.5978667403391702,317.7546623904378,300.4357327144586,334.5285098483938
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.6602241300201066,332.1542106451717,321.1245256983173,346.38554419003356
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.7225815197010428,356.4815964267971,346.8159052937119,365.00941317992266
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.7849389093819792,380.2549682633578,366.0102060979315,389.9435425438103
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.8472962990629154,395.67579871215105,386.0601250423812,413.2905650957424
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.9096536887438518,412.4928244879991,399.53805139105873,439.3514900220003
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,0.972011078424788,427.00822242531797,412.9708358483397,437.94294925574366
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,1.0343684681057244,438.2939224670997,421.7539462766217,450.08993513486394
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,1.0967258577866605,446.6621448672985,430.5370567049037,474.42798649484604
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,1.159083247467597,461.90531260992833,444.3960042754081,507.91695426440594
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,1.2214406371485333,471.99119392217426,454.6257302736662,514.6200429147408
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,1.2837980268294695,464.62206556430596,464.06235930884515,497.53501168806065
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,1.346155416510406,489.740093206892,481.2150663565685,505.5983201012242
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,1.4085128061913421,506.93197580321726,499.8146809776028,517.5789397289545
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,1.4708701958722785,514.2805874738888,508.8427061262296,520.7372030390652
