sensor,width_px,height_px,split,seed,fx_mae,fy_mae,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds,hardness,thickness_mm
hard_1mm_r1,1920,1080,cycle,0,0.0204996149986982,0.0294450502842664,0.1304129511117935,0.1687699109315872,0.4310285151004791,0.9028519988059998,0.0324607528746128,0.1646454185247421,0.956760823726654,0.0342908985912799,0.081940621137619,61,70,none,1,735,134,131,2.8247201442718506,0.0006600210326723,0.0004505391407292,0.0001522517995908,30,30,29,0.1335891848113261,0.2355205256547501,64,4,16,270.6,hard,1
hard_1mm_r1,1920,1080,cycle,1,0.0225525274872779,0.0213527958840131,0.0991878658533096,0.1292355060577392,0.4310285151004791,0.9430350661277772,0.0228701587766408,0.1646454185247421,0.9718471765518188,0.0346999354660511,0.0701616555452346,61,70,none,1,735,134,131,2.8247201442718506,0.0005060899420641,0.0004886765382252,0.0001525419211247,30,30,30,0.1175083192230081,0.2248000849538774,64,4,16,266.8,hard,1
hard_1mm_r1,1920,1080,cycle,2,0.0235033985227346,0.0311617422848939,0.1192982494831085,0.1541362106800079,0.4310285151004791,0.9189686179161072,0.0266964696347713,0.1646454185247421,0.9639480113983154,0.0412861406803131,0.0790418535470962,61,70,none,1,735,134,131,2.8247201442718506,0.0008337413310073,0.0005184147739782,0.0001454990124329,30,30,29,0.1242405318889488,0.2274290307689069,64,4,16,267.2,hard,1
hard_1mm_r1,1280,720,cycle,0,0.0340911783277988,0.0272750984877347,0.1795825809240341,0.2289110273122787,0.4310285151004791,0.8212783336639404,0.0384109131991863,0.1646454185247421,0.9405893087387084,0.0348564945161342,0.0839521065354347,61,70,none,1,735,134,131,2.8247201442718506,0.0006550443940795,0.0005589933134615,0.0001441834319848,30,30,30,0.1632176470594341,0.2620945759673617,64,11,6,118.3,hard,1
hard_1mm_r1,1280,720,cycle,1,0.0178966540843248,0.036627858877182,0.1249468997120857,0.1532998085021972,0.4310285151004791,0.9198456406593324,0.0325159467756748,0.1646454185247421,0.9435247182846068,0.0532140582799911,0.10077915340662,61,70,none,1,735,134,131,2.8247201442718506,0.0007242272840812,0.0004027212271466,0.0001480269565945,30,30,22,0.1854262227914771,0.2416397390970543,64,11,6,117.4,hard,1
hard_1mm_r1,1280,720,cycle,2,0.0221971161663532,0.0286984127014875,0.1191098764538765,0.1412998735904693,0.4310285151004791,0.9319031238555908,0.0315853767096996,0.1646454185247421,0.945566713809967,0.0513064935803413,0.1223255693912506,61,70,none,1,735,134,131,2.8247201442718506,0.0009714756160974,0.0004989724839106,0.0001410950790159,30,30,24,0.2070165857976796,0.2605130699143481,64,11,6,117.5,hard,1
hard_1mm_r1,854,480,cycle,0,0.0280124563723802,0.0343959778547287,0.1072234809398651,0.1318750530481338,0.4310285151004791,0.9406843781471252,0.0327682457864284,0.1646454185247421,0.9441449642181396,0.0507340244948864,0.076606161892414,61,70,none,1,735,134,131,2.8247201442718506,0.0009609392727725,0.0008170764776878,0.0001491978910053,30,30,27,0.143660046292,0.2798201681962654,64,24,3,55.2,hard,1
hard_1mm_r1,854,480,cycle,1,0.0212056934833526,0.0277658142149448,0.1010988056659698,0.1253649145364761,0.4310285151004791,0.9463961720466614,0.0272732842713594,0.1646454185247421,0.963955283164978,0.0406822077929973,0.087341584265232,61,70,none,1,735,134,131,2.8247201442718506,0.0006799565744586,0.0004366776265669,0.0001477553887525,30,30,30,0.1347041065190114,0.2517285329192432,64,24,3,54.2,hard,1
hard_1mm_r1,854,480,cycle,2,0.0207660719752311,0.0282721035182476,0.1440514177083969,0.1821107864379882,0.4310285151004791,0.8868863582611084,0.0322836749255657,0.1646454185247421,0.958251178264618,0.0337589643895626,0.0800134688615799,61,70,none,1,735,134,131,2.8247201442718506,0.0006715414929203,0.0005174937541596,0.0001385366776958,30,30,27,0.1777624912002459,0.2483839917538771,64,24,3,54.0,hard,1
hard_1mm_r1,640,360,cycle,0,0.019081212580204,0.0267819426953792,0.1063274964690208,0.1350728422403335,0.4310285151004791,0.9377728700637816,0.0257372707128524,0.1646454185247421,0.9670072197914124,0.0330207459628582,0.0789622366428375,61,70,none,1,735,134,131,2.8247201442718506,0.0007198938401415,0.0004565615672618,0.0001451926800655,30,30,30,0.1333627421839707,0.2228525690178373,64,44,1,30.9,hard,1
hard_1mm_r1,640,360,cycle,1,0.0196630749851465,0.0565283931791782,0.1334421038627624,0.1599362939596176,0.4310285151004791,0.91275554895401,0.0372974164783954,0.1646454185247421,0.932685613632202,0.053285364061594,0.1390177607536316,61,70,none,1,735,134,131,2.8247201442718506,0.0007825146312825,0.0004834016435779,0.0001410049735568,30,30,19,0.2234043873897215,0.2430358976125717,64,44,1,30.4,hard,1
hard_1mm_r1,640,360,cycle,2,0.0207746140658855,0.0370319783687591,0.1438681185245514,0.1741397976875305,0.4310285151004791,0.8965715765953064,0.0321905612945556,0.1646454185247421,0.9443320035934448,0.0493709370493888,0.1125522628426551,61,70,none,1,735,134,131,2.8247201442718506,0.0009430828504264,0.0005857617943547,0.0001483934756834,30,30,16,0.2696420390589708,0.2494839447647777,64,44,1,30.3,hard,1
