hardness,1mm,2mm,3mm
soft,12.6 / 11.4  (12.0),10.2 / 9.8  (10.0),8.2 / 9.0  (8.6)
medium,10.3 / 4.9  (7.6),10.9 / 10.7  (10.8),4.3 / 4.8  (4.6)
hard,7.4 / 8.5  (8.0),10.7 / 11.7  (11.2),7.9 / 6.3  (7.1)
