unit,hardness,thickness_mm,rep,probe,ceiling_N,depth_mm,status,suspect
soft_1mm_r1,soft,1,1,ball4,20.516453738273633,1.2727021687009383,characterised,False
soft_1mm_r2,soft,1,2,ball4,12.330521853015586,1.3164236352716507,characterised,False
soft_2mm_r1,soft,2,1,ball4,12.25352802735473,1.9909762995799163,characterised,False
soft_2mm_r2,soft,2,2,ball4,9.41348192227478,1.892519039407965,characterised,False
soft_3mm_r1,soft,3,1,ball4,8.053216786675609,2.3053805692824056,characterised,False
soft_3mm_r2,soft,3,2,ball4,7.054495608897099,2.0492864697147546,characterised,False
medium_1mm_r1,medium,1,1,ball4,8.257566191896903,1.6037119787833518,characterised,False
medium_1mm_r2,medium,1,2,ball4,12.56442504405656,1.5752936647203413,characterised,False
medium_2mm_r1,medium,2,1,ball4,6.2260423741513025,1.5152520646213397,characterised,False
medium_2mm_r2,medium,2,2,ball4,10.027504378909551,1.9627252858517004,characterised,False
medium_3mm_r1,medium,3,1,ball4,6.939144782104512,2.0557431305114164,characterised,False
medium_3mm_r2,medium,3,2,ball4,6.7336824064301934,2.3297621188709137,characterised,False
hard_1mm_r1,hard,1,1,ball4,10.800870363452788,1.1734465279000403,characterised,False
hard_1mm_r2,hard,1,2,ball4,10.013795399696885,1.0445186621386249,characterised,False
hard_2mm_r1,hard,2,1,ball4,9.696140478630076,1.6797744690066558,characterised,False
hard_2mm_r2,hard,2,2,ball4,9.415069372416507,1.7409262240222674,characterised,False
hard_3mm_r1,hard,3,1,ball4,9.234974356675561,2.396653616661414,characterised,False
hard_3mm_r2,hard,3,2,ball4,12.282480305298373,2.7536539445552783,characterised,False
