hardness,1mm,2mm,3mm
soft,330 / 379  (354),245 / 223  (234),202 / 185  (193)
medium,374 / 60  (217),244 / 284  (264),72 / 169  (120)
hard,531 / 398  (464),273 / 262  (268),186 / 147  (166)
