hardness,1mm,2mm,3mm
soft,20.5 / 12.3  (16.4),12.3 / 9.4  (10.8),8.1 / 7.1  (7.6)
medium,8.3 / 12.6  (10.4),6.2 / 10.0  (8.1),6.9 / 6.7  (6.8)
hard,10.8 / 10.0  (10.4),9.7 / 9.4  (9.6),9.2 / 12.3  (10.8)
