approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.3899390812678263,0.020104375112737244,0.03183194675080188,0,25.80201703127635,0.4,False
1,0.7681080573928867,-0.0017286676446920668,0.010391985841610562,0,25.80201703127635,0.4,False
1,1.1690616491828578,0.3657306716204266,0.378302709281283,56516,25.80201703127635,0.4,False
1,1.1824627026776682,0.3473570154130904,0.36034329464301323,63745,25.80201703127635,0.02,True
1,1.1866515301038412,0.36169995570993463,0.37508093592549585,64554,25.80201703127635,0.02,True
1,1.1945756852717615,0.3474858826388442,0.3612535729904948,66043,25.80201703127635,0.02,True
1,1.2354818877529716,0.4036408882087059,0.4177602453805065,67372,25.80201703127635,0.02,True
1,1.279824248611721,0.48290398393093437,0.49746326581540073,74249,25.80201703127635,0.02,True
1,1.2654207839247924,0.4626573216676129,0.4775943232414505,78752,25.80201703127635,0.02,True
1,1.2702583008867983,0.46357251515614684,0.47898359931399453,80374,25.80201703127635,0.02,True
1,1.2929349096785252,0.5077635709907903,0.5236933178694955,81497,25.80201703127635,0.02,True
1,1.3213001287590735,0.5590341971831617,0.5754010054756946,83178,25.80201703127635,0.02,True
1,1.3603252112151019,0.6281788720511652,0.645056349674519,89366,25.80201703127635,0.02,True
1,1.3533476519358274,0.5969319592773247,0.6142438092931144,95674,25.80201703127635,0.02,True
1,1.3626023908035272,0.629399454322576,0.6471775822058816,97249,25.80201703127635,0.02,True
1,1.3828004458784982,0.6490632220975581,0.6673854175772505,99753,25.80201703127635,0.02,True
1,1.4002664594402,0.7199832146491111,0.7387450956969076,101732,25.80201703127635,0.02,True
1,1.4549664067374657,0.8173836886646718,0.8370653323990126,105849,25.80201703127635,0.02,True
