unit,principle,hardness,thickness_mm,rep,run,n_frames,n_windows,win_ms,dt_ms,blur_fz_N,blur_fz_p90,blur_lat_N,blur_lat_p90,rate_fz_N_per_s,rate_lat_N_per_s
9DTact_hard_1mm_r1,9DTact,hard,1,1,9DTact_hard_1mm_r1,1000,1000,204.69999313354492,208.01591873168945,0.04172999999999999,0.063384,0.010797476046155104,0.03520474948550659,0.08627834315100516,0.024059428013920744
9DTact_hard_1mm_r2,9DTact,hard,1,2,9DTact_hard_1mm_r2,1000,1000,204.69999313354492,208.01591873168945,0.04610500000000006,0.07603,0.010478448631956148,0.06664804056887065,0.11262432647670192,0.017481798364987203
9DTact_hard_2mm_r1,9DTact,hard,2,1,9DTact_hard_2mm_r1,1000,1000,204.69999313354492,208.01496505737305,0.04413,0.07296899999999996,0.011617361949712579,0.06582213320455954,0.10840271336339388,0.02198369832772341
9DTact_hard_2mm_r2,9DTact,hard,2,2,9DTact_hard_2mm_r2,1000,1000,204.69999313354492,208.00399780273438,0.04479499999999992,0.07359200000000002,0.011944612101531948,0.07452754648443059,0.10887741172425677,0.024669610176743205
9DTact_hard_3mm_r1,9DTact,hard,3,1,9DTact_hard_3mm_r1,1000,1000,204.69999313354492,411.9858741760254,0.04848000000000008,0.2606490000000001,0.018348807226639216,0.18687604263960841,0.1045157843483363,0.03419664793776155
9DTact_hard_3mm_r2,9DTact,hard,3,2,9DTact_hard_3mm_r2,1000,1000,204.69999313354492,208.01091194152832,0.04685499999999998,0.0794360000000001,0.011342101295713357,0.07603277127336552,0.11787714266015493,0.025560572979100436
9DTact_medium_1mm_r1,9DTact,medium,1,1,9DTact_medium_1mm_r1,1000,1000,204.69999313354492,412.0059013366699,0.049984999999999946,0.21605800000000006,0.013679926488805338,0.16111096309295286,0.12925896774012596,0.03983207216755472
9DTact_medium_1mm_r2,9DTact,medium,1,2,9DTact_medium_1mm_r2,1000,1000,204.69999313354492,412.01090812683105,0.05095499999999992,0.2249339999999999,0.01652898215136636,0.21204285275487184,0.12405656063278747,0.03523200373264139
9DTact_medium_2mm_r2,9DTact,medium,2,2,9DTact_medium_2mm_r2,1000,1000,204.69999313354492,412.0199680328369,0.04966000000000004,0.185193,0.012155710842425359,0.13876942856130317,0.10865929559684169,0.03617270541308978
9DTact_medium_3mm_r1,9DTact,medium,3,1,9DTact_medium_3mm_r1,1000,1000,204.69999313354492,411.9269847869873,0.053535,0.1734949999999999,0.016269343661636272,0.15076587925909937,0.15037702935066694,0.03740700669255925
9DTact_medium_3mm_r2,9DTact,medium,3,2,9DTact_medium_3mm_r2,1000,1000,204.69999313354492,412.0190143585205,0.04699500000000001,0.17643599999999998,0.013614924048332675,0.1408725168877332,0.09221730686277664,0.030363314327752747
9DTact_soft_1mm_r1,9DTact,soft,1,1,9DTact_soft_1mm_r1,1000,1000,204.69999313354492,412.00900077819824,0.05051500000000003,0.21872700000000006,0.012815979317078341,0.1389740247796446,0.12258379236533797,0.027297693641036316
9DTact_soft_1mm_r2,9DTact,soft,1,2,9DTact_soft_1mm_r2,1000,1000,204.69999313354492,412.00804710388184,0.057989999999999986,0.26071800000000006,0.016578041144761177,0.1670221670603445,0.15297324814961977,0.026935595088389372
9DTact_soft_2mm_r1,9DTact,soft,2,1,9DTact_soft_2mm_r1,1000,1000,204.69999313354492,412.006139755249,0.04675499999999999,0.21994100000000005,0.01297884856536939,0.11724784582536833,0.10817050190501062,0.02951371369003849
9DTact_soft_2mm_r2,9DTact,soft,2,2,9DTact_soft_2mm_r2,1000,1000,204.69999313354492,412.02402114868164,0.04738500000000001,0.20827800000000007,0.011906748699832492,0.1329740307219251,0.09610160886603611,0.02356572940496572
9DTact_soft_3mm_r1,9DTact,soft,3,1,9DTact_soft_3mm_r1,1000,1000,204.69999313354492,412.0340347290039,0.04748999999999998,0.15852999999999995,0.012102780127679612,0.11810803037797728,0.09249396495475572,0.02651911684548715
9DTact_soft_3mm_r2,9DTact,soft,3,2,9DTact_soft_3mm_r2,1000,1000,204.69999313354492,412.0299816131592,0.045435000000000114,0.2055230000000001,0.01196052837656687,0.10732138123396566,0.08565450945852884,0.025022543119496036
