unit,principle,hardness,thickness_mm,rep,run,n_frames,n_windows,win_ms,dt_ms,blur_fz_N,blur_fz_p90,blur_lat_N,blur_lat_p90,rate_fz_N_per_s,rate_lat_N_per_s
DIGIT_Marker_hard_1mm_r1,DIGIT_Marker,hard,1,1,DIGIT_Marker_hard_1mm_r1,1000,1000,59.999942779541016,196.02012634277344,0.03749500000000003,0.11977300000000003,0.006127685208558852,0.0276764398641982,0.44275997392564914,0.04314901781246491
DIGIT_Marker_hard_1mm_r2,DIGIT_Marker,hard,1,2,DIGIT_Marker_hard_1mm_r2,1000,1000,59.999942779541016,196.01798057556152,0.03671000000000002,0.170365,0.006030342885308362,0.04790423249404456,0.4780417448038165,0.0446098355758614
DIGIT_Marker_hard_2mm_r1,DIGIT_Marker,hard,2,1,DIGIT_Marker_hard_2mm_r1,1000,1000,59.999942779541016,196.00605964660645,0.03563000000000002,0.12584100000000015,0.006680050662426808,0.05845699421109486,0.38756685340307784,0.05681211429160557
DIGIT_Marker_hard_2mm_r2,DIGIT_Marker,hard,2,2,DIGIT_Marker_hard_2mm_r2,1000,1000,59.999942779541016,196.00892066955566,0.029669999999999974,0.09627900000000002,0.006378192777474298,0.04071321093425145,0.3524539485109019,0.04343368822307601
DIGIT_Marker_hard_3mm_r1,DIGIT_Marker,hard,3,1,DIGIT_Marker_hard_3mm_r1,1000,1000,59.999942779541016,196.05088233947754,0.03463500000000003,0.10480100000000005,0.007617658988067627,0.07511103821136898,0.36448622949504506,0.06186045582668004
DIGIT_Marker_hard_3mm_r2,DIGIT_Marker,hard,3,2,DIGIT_Marker_hard_3mm_r2,1000,1000,59.999942779541016,196.02608680725098,0.02748499999999998,0.07503299999999993,0.006384172181670023,0.019937085842523808,0.3025882110591983,0.04275321724058971
DIGIT_Marker_medium_1mm_r1,DIGIT_Marker,medium,1,1,DIGIT_Marker_medium_1mm_r1,1000,1000,59.999942779541016,196.01011276245117,0.03536500000000009,0.24342499999999997,0.0076168137028526026,0.15516958751945506,0.5221593143730131,0.0631457711630447
DIGIT_Marker_medium_1mm_r2,DIGIT_Marker,medium,1,2,DIGIT_Marker_medium_1mm_r2,1000,1000,59.999942779541016,196.00701332092285,0.03302000000000005,0.18013800000000002,0.006704163999122409,0.05637110905501812,0.4930196828253616,0.05664372524837929
DIGIT_Marker_medium_2mm_r1,DIGIT_Marker,medium,2,1,DIGIT_Marker_medium_2mm_r1,1000,1000,59.999942779541016,196.01702690124512,0.029814999999999925,0.08941999999999999,0.0070100438035088555,0.03383033398545919,0.31821412468798826,0.05762078042143883
DIGIT_Marker_medium_2mm_r2,DIGIT_Marker,medium,2,2,DIGIT_Marker_medium_2mm_r2,1000,1000,59.999942779541016,196.02608680725098,0.028649999999999953,0.09704000000000002,0.008171931618920394,0.04577136895324033,0.31790913702410467,0.06736511868888397
DIGIT_Marker_medium_3mm_r1,DIGIT_Marker,medium,3,1,DIGIT_Marker_medium_3mm_r1,1000,1000,59.999942779541016,196.01893424987793,0.02965000000000001,0.08216800000000005,0.007540538773888897,0.028876704050742077,0.29516163864187345,0.07846285829165436
DIGIT_Marker_medium_3mm_r2,DIGIT_Marker,medium,3,2,DIGIT_Marker_medium_3mm_r2,1000,1000,59.999942779541016,196.01702690124512,0.03381499999999993,0.12569700000000003,0.008358867099049462,0.07730596996383557,0.4077625420560749,0.06338480163174115
DIGIT_Marker_soft_1mm_r1,DIGIT_Marker,soft,1,1,DIGIT_Marker_soft_1mm_r1,1000,1000,59.999942779541016,196.00701332092285,0.037605,0.177541,0.006486903496880338,0.02597009219126487,0.6109955724550171,0.0751896231893455
DIGIT_Marker_soft_1mm_r2,DIGIT_Marker,soft,1,2,DIGIT_Marker_soft_1mm_r2,1000,1000,59.999942779541016,196.0010528564453,0.03391999999999995,0.125873,0.0062948452714644,0.020980276514038193,0.43142549858558604,0.07965938661969917
DIGIT_Marker_soft_2mm_r1,DIGIT_Marker,soft,2,1,DIGIT_Marker_soft_2mm_r1,1000,1000,59.999942779541016,196.0141658782959,0.03522000000000003,0.22958399999999993,0.007193570519206622,0.11978927805468481,0.4882629222330584,0.06309143173758978
DIGIT_Marker_soft_2mm_r2,DIGIT_Marker,soft,2,2,DIGIT_Marker_soft_2mm_r2,1000,1000,59.999942779541016,196.00510597229004,0.02774999999999994,0.10141799999999998,0.006944644829196621,0.0352488696392937,0.33852151447748596,0.05341099703744359
DIGIT_Marker_soft_3mm_r1,DIGIT_Marker,soft,3,1,DIGIT_Marker_soft_3mm_r1,1000,1000,59.999942779541016,196.00605964660645,0.030895000000000006,0.1529219999999999,0.007616816257734686,0.11060138302386044,0.49339657670670206,0.0684773344306313
DIGIT_Marker_soft_3mm_r2,DIGIT_Marker,soft,3,2,DIGIT_Marker_soft_3mm_r2,1000,1000,59.999942779541016,196.0139274597168,0.03129500000000007,0.12249700000000018,0.006721991418469693,0.06723403916349986,0.4221228394833284,0.05646631155265997
DIGIT_hard_1mm_r1,DIGIT,hard,1,1,DIGIT_hard_1mm_r1,1000,1000,59.999942779541016,196.0139274597168,0.027460000000000026,0.07986400000000003,0.005810351786571512,0.020466341088783487,0.32839023890901237,0.04807566363528622
DIGIT_hard_1mm_r2,DIGIT,hard,1,2,DIGIT_hard_1mm_r2,1000,999,59.999942779541016,196.01202011108398,0.03620999999999985,0.13403200000000004,0.006361749161664085,0.050242478235055864,0.4267227412956817,0.04416563078520479
DIGIT_hard_2mm_r1,DIGIT,hard,2,1,DIGIT_hard_2mm_r1,1000,1000,59.999942779541016,196.01106643676758,0.02557499999999997,0.07557699999999994,0.006191071961889196,0.020386984397858226,0.27530720549731935,0.05109912507468545
DIGIT_hard_2mm_r2,DIGIT,hard,2,2,DIGIT_hard_2mm_r2,1000,999,59.999942779541016,196.0139274597168,0.03181999999999996,0.10091000000000004,0.006369167017577778,0.050885690200755174,0.3531553451670741,0.04792735613948701
DIGIT_hard_3mm_r1,DIGIT,hard,3,1,DIGIT_hard_3mm_r1,1000,1000,59.999942779541016,196.02203369140625,0.026514999999999955,0.08713299999999995,0.0076367634832991485,0.041512653555256095,0.30803783697785975,0.045645086796012355
DIGIT_hard_3mm_r2,DIGIT,hard,3,2,DIGIT_hard_3mm_r2,1000,1000,59.999942779541016,196.01011276245117,0.028374999999999928,0.07490300000000011,0.0068718226502628155,0.030580973975155246,0.2609023669620766,0.05485202941465331
DIGIT_medium_1mm_r1,DIGIT,medium,1,1,DIGIT_medium_1mm_r1,1000,1000,59.999942779541016,196.01202011108398,0.02776999999999985,0.09581900000000007,0.0055867763478480055,0.02115056981473291,0.34719529774329816,0.04130462271114613
DIGIT_medium_1mm_r2,DIGIT,medium,1,2,DIGIT_medium_1mm_r2,1000,1000,59.999942779541016,196.01893424987793,0.03924000000000005,0.15959100000000004,0.00645405065549659,0.07428201424532098,0.45444645189713084,0.05228582023827294
DIGIT_medium_2mm_r1,DIGIT,medium,2,1,DIGIT_medium_2mm_r1,1000,1000,59.999942779541016,196.01202011108398,0.029445,0.09313700000000004,0.006425492670609049,0.04439204455645684,0.31722390002651574,0.04475877962837837
DIGIT_medium_2mm_r2,DIGIT,medium,2,2,DIGIT_medium_2mm_r2,1000,1000,59.999942779541016,196.01106643676758,0.026004999999999834,0.07869200000000005,0.0061356424239366325,0.020844211351474292,0.2868287091861005,0.04781522445075333
DIGIT_medium_3mm_r1,DIGIT,medium,3,1,DIGIT_medium_3mm_r1,1000,1000,59.999942779541016,196.02298736572266,0.024255000000000082,0.06650799999999997,0.0060630272245698925,0.01885167968234268,0.20845472400337875,0.05597878961937206
DIGIT_medium_3mm_r2,DIGIT,medium,3,2,DIGIT_medium_3mm_r2,1000,1000,59.999942779541016,196.0129737854004,0.02749499999999999,0.07808000000000001,0.006717233147197651,0.02372490566239643,0.2337897264090937,0.0548014851850027
DIGIT_soft_1mm_r1,DIGIT,soft,1,1,DIGIT_soft_1mm_r1,1000,1000,59.999942779541016,196.02012634277344,0.03223999999999999,0.11594299999999996,0.006065423642428014,0.03910059310595496,0.40400328953849435,0.03951223455363296
DIGIT_soft_1mm_r2,DIGIT,soft,1,2,DIGIT_soft_1mm_r2,1000,1000,59.999942779541016,196.00605964660645,0.027489999999999903,0.09351700000000009,0.00617924956004794,0.02813153216098584,0.3345953304990419,0.038765829347914164
DIGIT_soft_2mm_r1,DIGIT,soft,2,1,DIGIT_soft_2mm_r1,1000,1000,59.999942779541016,196.01106643676758,0.027550000000000074,0.08423500000000012,0.006382215534828872,0.022216777257961656,0.2854972100700506,0.051607385363165746
DIGIT_soft_2mm_r2,DIGIT,soft,2,2,DIGIT_soft_2mm_r2,1000,1000,59.999942779541016,196.0160732269287,0.028025000000000022,0.08595199999999999,0.00622228087086895,0.029829125590837863,0.30101989308245697,0.04585087852278136
DIGIT_soft_3mm_r1,DIGIT,soft,3,1,DIGIT_soft_3mm_r1,1000,1000,59.999942779541016,196.01798057556152,0.03120499999999997,0.08470200000000008,0.006760081853071118,0.060402740770463065,0.3151614328217385,0.04687626716409208
DIGIT_soft_3mm_r2,DIGIT,soft,3,2,DIGIT_soft_3mm_r2,1000,1000,59.999942779541016,196.00915908813477,0.024309999999999943,0.0701259999999999,0.0066022013175786425,0.023035644384611483,0.24251520260762288,0.05698517716509309
