fz_mae,lat_mae,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,fz_rmse,fz_mae_baseline,lat_mae_baseline,fz_r2,lat_r2,batch,micro_batch,accum,best_epoch,epochs_run,train_loss,val_loss,tx_mae,ty_mae,tz_mae,n_train,n_val,n_test,fz_range,unit,window,seconds,size,seed
0.0518965497612953,0.0235935449600219,0.0238100681453943,0.036104928702116,119,53,0.0600162521004676,0.1901404857635498,0.1309733390808105,0.9619712233543396,0.965039849281311,64,64,1,25,30,0.2502916868705552,0.285957420081423,0.0005121121648699,0.0006504108314402,0.0001589011080795,581,228,172,1.9442530870437624,9DTact_hard_1mm_r1,exposure,23.1,320x180,
0.0727887898683548,0.0304504185914993,0.0336271189153194,0.0939356908202171,119,53,0.0799163877964019,0.1906816065311432,0.131696879863739,0.9319294691085817,0.9393098950386048,64,64,1,29,30,0.1741801467491714,0.2758138890852007,0.0005603865720331,0.0004692869551945,0.0001668283657636,581,228,172,1.9665900468826287,9DTact_hard_1mm_r1,instant,21.6,320x180,
0.0317398905754089,0.026679752394557,0.0237477980554103,0.0410295389592647,119,53,0.0419335700571537,0.1904201060533523,0.1306445300579071,0.9815658330917358,0.9542887210845948,64,64,1,25,30,0.2066218134868576,0.3185256322224934,0.0005926731973886,0.0015777192311361,0.0001738527789711,581,228,172,1.9407585859298704,9DTact_hard_1mm_r1,pre100,21.4,320x180,
0.0317366793751716,0.0276172440499067,0.0251228120177984,0.0457856878638267,119,53,0.040042258799076,0.1889171004295349,0.131711333990097,0.9828593134880066,0.9513716697692872,64,64,1,25,30,0.2177845093961837,0.3062280228263453,0.0005553414812311,0.0006588794640265,0.0001564304111525,581,228,172,1.9623504877090447,9DTact_hard_1mm_r1,sym250,21.4,320x180,
0.0545986518263816,0.0314206816256046,0.0349228456616401,0.0416118167340755,119,53,0.0633601248264312,0.1880250126123428,0.1311408877372741,0.957032322883606,0.931755781173706,64,64,1,30,30,0.1712532558457576,0.3270897739811947,0.000881609856151,0.0005519405240193,0.0001566308492328,581,228,172,1.9582751989364624,9DTact_hard_1mm_r1,sym500,21.4,320x180,
0.0338922888040542,0.0293114185333251,0.0321782454848289,0.037576850503683,119,53,0.0442074984312057,0.1901404857635498,0.1309733390808105,0.9793667793273926,0.941879391670227,64,64,1,29,30,0.2478235559906688,0.2835415706299899,0.0007007611566223,0.0004914356395602,0.0001563019613968,581,228,172,1.9442530870437624,9DTact_hard_1mm_r1,exposure,8.3,48x27,
0.0485257841646671,0.0425388775765895,0.0563740655779838,0.0511089004576206,119,53,0.0631991401314735,0.1906816065311432,0.131696879863739,0.9574294090270996,0.796343207359314,64,64,1,30,30,0.2479747223977172,0.2858983968433581,0.0009120758040808,0.0008572008227929,0.0001949101715581,581,228,172,1.9665900468826292,9DTact_hard_1mm_r1,instant,6.5,48x27,
0.0312353018671274,0.0341189950704574,0.0394859313964843,0.0459719859063625,119,53,0.0395381040871143,0.1904201060533523,0.1306445300579071,0.9836117625236512,0.9178160429000854,64,64,1,29,30,0.2827854977212141,0.3102268252456397,0.000632919196505,0.0009435546817258,0.0001502952509326,581,228,172,1.9407585859298704,9DTact_hard_1mm_r1,pre100,6.4,48x27,
0.0381221808493137,0.0362432450056076,0.0373541414737701,0.0696122720837593,119,53,0.0506040379405021,0.1889171004295349,0.131711333990097,0.9726245403289796,0.9218589663505554,64,64,1,30,30,0.2376743749989494,0.2985599835713704,0.0005728095420636,0.0008534201770089,0.0001527327403891,581,228,172,1.9623504877090452,9DTact_hard_1mm_r1,sym250,6.8,48x27,
0.0575542822480201,0.0313879959285259,0.036245834082365,0.0406617894768714,119,53,0.0945862904191017,0.1880250126123428,0.1311408877372741,0.9042440056800842,0.92959463596344,64,64,1,29,30,0.239234295646418,0.3149398460722806,0.0006500221206806,0.0011405211407691,0.0001499860518379,581,228,172,1.9582751989364624,9DTact_hard_1mm_r1,sym500,6.7,48x27,
0.0511533506214618,0.0313113369047641,0.0423271022737026,0.0472767613828182,74,56,0.0664874389767646,0.2380129098892212,0.165401816368103,0.9633893966674804,0.9558625817298888,64,64,1,29,30,0.1986308769716609,0.1794925972267433,0.0007010380504652,0.0008426635176874,0.0002163801982533,731,135,130,1.984726071357727,9DTact_soft_3mm_r2,exposure,23.2,320x180,
