principle,unit,mu,fz_in_shear_max,lat_max_shear,limit,reached
9DTact,hard_1mm_r1,0.426237910979224,1.37517,0.5883801720826425,0.5861495880412995,1.0038054859831886
9DTact,hard_1mm_r2,0.4644415658509229,1.39391,0.5163521996660806,0.6473897430552599,0.7975909492004507
9DTact,hard_2mm_r1,0.4394842043761807,1.46258,0.6002695891014302,0.6427808076365144,0.9338635845531907
9DTact,hard_2mm_r2,0.4645817275794754,1.45065,0.5983594753991952,0.673945483113166,0.8878455162800182
9DTact,hard_3mm_r1,0.4148898175356761,1.55912,0.5687167268508989,0.6468630123162233,0.8791919092954381
9DTact,hard_3mm_r2,0.6911995980738741,1.72215,0.9124664134092828,1.1903493878229223,0.766553436111837
9DTact,medium_1mm_r1,0.4395655898564431,1.60869,0.6451328336087073,0.7071247687461615,0.9123323946813867
9DTact,medium_1mm_r2,0.5559173773192828,1.51157,0.6595701510074573,0.8403080300345084,0.784914730590366
9DTact,medium_2mm_r2,0.4493147739157799,1.44973,0.6299348198821844,0.6513851071889236,0.9670697302256284
9DTact,medium_3mm_r1,0.5244002309090245,1.4483,0.6902504174573166,0.7594888544255403,0.9088354798562595
9DTact,medium_3mm_r2,0.4705655583754368,1.41145,0.6364916799141996,0.6641797573690102,0.958312373799993
9DTact,soft_1mm_r1,0.5926880151859895,1.43911,0.6809748219280944,0.8529432495343092,0.7983823335255819
9DTact,soft_1mm_r2,0.4329468653491817,1.57061,0.6799906761860783,0.6799906761860783,1.0
9DTact,soft_2mm_r1,0.5509348757054989,1.39386,0.6593147844542847,0.7679260858508667,0.8585654226392895
9DTact,soft_2mm_r2,0.5282725199129322,1.37619,0.579203273557738,0.7270033591789782,0.7966995836330739
9DTact,soft_3mm_r1,0.5463412325446794,1.47165,0.6345644147759942,0.8040230748743773,0.7892365711955969
9DTact,soft_3mm_r2,0.6573682560998424,1.30238,0.6495094922324077,0.8561432693793128,0.7586457961683089
DIGIT,hard_1mm_r1,0.5106209499028663,2.77689,0.6960318136407272,1.4179382095757704,0.4908759838335771
DIGIT,hard_1mm_r2,0.5043240129860252,3.39415,0.7386379926594624,1.7117513486765175,0.43151009825729564
DIGIT,hard_2mm_r1,0.5300892900195048,2.4149,0.6879442733971989,1.280112626468102,0.5374091772653421
DIGIT,hard_2mm_r2,0.7419272600496583,1.69919,0.7133778990829475,1.2606753810037787,0.5658696202308159
DIGIT,hard_3mm_r1,0.616953813104532,2.1172,0.7830562882066653,1.3062146131049153,0.5994851690912526
DIGIT,hard_3mm_r2,0.555260518747543,2.19866,0.7003834079274008,1.2208290921494729,0.5736948868856485
DIGIT,medium_1mm_r1,0.5173165784886042,3.13304,0.7171818385876765,1.6207735330679365,0.4424935525879019
DIGIT,medium_1mm_r2,0.3911697646141522,3.13087,0.843608449459819,1.2247016809375106,0.6888277060369802
DIGIT,medium_2mm_r1,0.5068569843358791,1.79934,0.7494944913073077,0.9120080461949207,0.8218068847466292
DIGIT,medium_2mm_r2,0.5473665699216755,1.96553,0.7136729548609783,1.075865414178151,0.6633477993213027
DIGIT,medium_3mm_r1,0.5516846530350128,1.51275,0.6837248578924128,0.8345609588787156,0.8192629317468187
