run,best,best_rms,best_shift,claimed_rms,second,second_rms,agrees
hard_1mm_r1,hard_1mm_r1,0.0,0.0,0.0,medium_1mm_r1,0.0213,True
hard_1mm_r2,hard_1mm_r2,0.0,0.0,0.0,soft_1mm_r1,0.0239,True
hard_2mm_r1,hard_2mm_r1,0.0,0.0,0.0,soft_2mm_r1,0.0171,True
hard_2mm_r2,hard_2mm_r2,0.0,0.0,0.0,medium_2mm_r2,0.0185,True
hard_3mm_r1,hard_3mm_r1,0.0,0.0,0.0,hard_3mm_r2,0.027,True
hard_3mm_r2,hard_3mm_r2,0.0,0.0,0.0,soft_3mm_r2,0.0136,True
medium_1mm_r1,medium_1mm_r1,0.0,0.0,0.0,medium_1mm_r2,0.0125,True
medium_1mm_r2,medium_1mm_r2,0.0,0.0,0.0,medium_1mm_r1,0.0095,True
medium_2mm_r1,medium_2mm_r1,0.0,0.0,0.0,hard_3mm_r2,0.0151,True
medium_2mm_r2,medium_2mm_r2,0.0,0.0,0.0,hard_2mm_r2,0.0265,True
medium_3mm_r1,medium_3mm_r1,0.0,0.0,0.0,hard_3mm_r2,0.0082,True
medium_3mm_r2,medium_3mm_r2,0.0,0.0,0.0,hard_3mm_r2,0.0219,True
soft_1mm_r1,soft_1mm_r1,0.0,0.0,0.0,hard_1mm_r2,0.0343,True
soft_1mm_r2,soft_1mm_r2,0.0,0.0,0.0,medium_1mm_r2,0.0257,True
soft_2mm_r1,soft_2mm_r1,0.0,0.0,0.0,hard_2mm_r1,0.0123,True
soft_2mm_r2,soft_2mm_r2,0.0,0.0,0.0,soft_2mm_r1,0.0186,True
soft_3mm_r1,soft_3mm_r1,0.0,0.0,0.0,soft_3mm_r2,0.0131,True
soft_3mm_r2,soft_3mm_r2,0.0,0.0,0.0,soft_3mm_r1,0.014,True
