unit,principle,hardness,thickness_mm,rep,reference,px_per_mm,ref_mean,ref_std,ref_b,ref_g,ref_r,centre_edge,scatter_px,halo_ratio,imprint_edge_lvl,scatter_mm
hard_1mm_r1,9DTact,hard,1,1,reference.png,97.07236951647629,68.8736801147461,7.638115882873535,76.60511766975308,72.84199074074074,58.11946132330247,1.1419192552566528,296.2920904104094,0.9307428598403931,2.005704402923584,3.052280395402516
hard_1mm_r2,9DTact,hard,1,2,reference.png,,72.62632751464844,10.945958137512207,82.63896990740741,76.62483748070987,60.935078125,1.1283975839614868,,,,
hard_2mm_r1,9DTact,hard,2,1,reference.png,89.01120169720986,98.4531021118164,13.281682968139648,120.41876639660494,103.4846166087963,79.97956886574075,1.1980699300765991,1231.179808541039,0.5652045607566833,4.312220096588135,13.831740107600766
hard_2mm_r2,9DTact,hard,2,2,reference.png,92.41536078825044,89.67922973632812,14.713706970214844,108.206395158179,94.4557171103395,73.0873895640432,1.2392141819000244,4996.503815243967,0.9004065990447998,2.399186372756958,54.06572860427783
hard_3mm_r1,9DTact,hard,3,1,reference.png,77.293439129834,136.67608642578125,27.1574649810791,164.37698543595678,142.87086853780863,113.74908082561728,1.3145712614059448,133.30110644174928,0.42952653765678406,5.641338348388672,1.7246108847328705
hard_3mm_r2,9DTact,hard,3,2,reference.png,82.60132022443682,128.2543182373047,26.852170944213867,155.54550395447532,134.2434727044753,105.8868711419753,1.355682134628296,314.2267484925034,0.5942241549491882,4.081001281738281,3.8041371207955876
medium_1mm_r1,9DTact,medium,1,1,reference.png,94.05626905723857,72.9842300415039,8.583719253540039,81.06498022762345,76.92182677469135,62.18981674382716,1.1495728492736816,439.4808586664014,0.7272224426269531,2.9907798767089844,4.672531273794758
medium_1mm_r2,9DTact,medium,1,2,reference.png,87.59890852087568,72.25820922851562,10.939909934997559,81.89210214120371,76.30139660493828,60.55998842592592,1.1843957901000977,-594.4323217798204,1.0433557033538818,2.0894699096679688,-6.785841648222836
medium_2mm_r2,9DTact,medium,2,2,reference.png,,97.0121078491211,16.72444725036621,115.08671730324075,101.78603877314815,80.53609809027778,1.2513896226882935,,,,
medium_3mm_r1,9DTact,medium,3,1,reference.png,82.27165028517139,135.82167053222656,28.834569931030273,160.44586757330248,141.6590798611111,114.73661313657408,1.3659770488739014,-1711.9830881236896,0.7151353359222412,4.325011730194092,-20.808906618374433
medium_3mm_r2,9DTact,medium,3,2,reference.png,79.2102836584373,125.86316680908203,23.712080001831055,149.30429928626543,131.5663242669753,105.51503423996914,1.2852836847305298,-3367.7563274982517,0.543214738368988,6.479316711425781,-42.51665531233741
soft_1mm_r1,9DTact,soft,1,1,reference.png,99.87153374153418,63.75099563598633,7.699972152709961,69.44704137731482,67.67087287808641,53.92932677469136,1.1610758304595947,170.636516978048,0.5284824967384338,3.2440426349639893,1.7085600930056046
soft_1mm_r2,9DTact,soft,1,2,reference.png,98.94444329998736,62.95291519165039,6.663015365600586,68.41474199459877,66.81250144675926,53.343141396604935,1.1083884239196777,286.75822911043696,0.6272287368774414,2.8984811305999756,2.8981741626563235
soft_2mm_r1,9DTact,soft,2,1,reference.png,88.66521416832653,94.12950897216797,17.410852432250977,110.25316599151235,98.75877941743828,78.72740596064814,1.2798813581466675,234.54758284618018,0.6365366578102112,4.281232833862305,2.645316825163284
soft_2mm_r2,9DTact,soft,2,2,reference.png,91.3939522077672,102.85254669189453,16.77771759033203,121.9847337962963,107.72907455632716,85.70953703703704,1.2544970512390137,4088.6589301454815,0.9467715620994568,3.737278699874878,44.73664647799313
soft_3mm_r1,9DTact,soft,3,1,reference.png,80.26533462794193,116.52293395996094,26.63529396057129,136.8484268904321,121.70584780092592,98.37452256944445,1.3610566854476929,-3614.593847596437,0.7216977477073669,5.097030162811279,-45.033062708220825
soft_3mm_r2,9DTact,soft,3,2,reference.png,84.0282293785372,120.12303161621094,25.682754516601562,141.70582513503086,125.46139467592593,101.18895688657408,1.3375707864761353,-909.6038570806465,1.0821846723556519,3.4235999584198,-10.82497945997397
hard_1mm_r1,DIGIT_Marker,hard,1,1,reference_collect.png,109.59370954358714,54.11284255981445,10.28454875946045,62.57946903935185,56.63236111111111,45.908832465277776,1.1667993068695068,153.9779917194066,0.5356919765472412,2.5278942584991455,1.4049893224771912
hard_1mm_r2,DIGIT_Marker,hard,1,2,reference_collect.png,116.85507771801971,52.28537368774414,9.340806007385254,63.69380594135802,54.6374966242284,43.24486352237654,1.155965805053711,283.7589599820851,0.6995256543159485,1.8373264074325562,2.4282980724792917
hard_2mm_r1,DIGIT_Marker,hard,2,1,reference_collect.png,96.95203120755916,55.07139587402344,11.004048347473145,66.77592255015432,56.773438946759256,47.21184461805556,1.2409263849258423,222.33770485082852,0.6998207569122314,1.7489532232284546,2.293275365988343
hard_2mm_r2,DIGIT_Marker,hard,2,2,reference_collect.png,91.2134140949101,58.215187072753906,12.38668155670166,82.89395109953703,59.068509837962964,47.114184027777775,1.215725064277649,142.66080694419256,0.540966808795929,2.3497817516326904,1.5640331891946289
hard_3mm_r1,DIGIT_Marker,hard,3,1,reference_collect.png,82.82859802821872,63.24601364135742,15.875576972961426,75.13859712577161,65.60837914737654,54.056045524691356,1.3123257160186768,138.38914815909806,0.4598422944545746,2.848996877670288,1.6707894550134788
hard_3mm_r2,DIGIT_Marker,hard,3,2,reference_collect.png,85.22867961477,57.5687255859375,12.422828674316406,61.36528549382716,60.11781635802469,51.0905184220679,1.2669113874435425,153.4643410239308,0.5565674901008606,2.1833531856536865,1.8006185443395708
medium_1mm_r1,DIGIT_Marker,medium,1,1,reference_collect.png,98.17513265018174,54.47218322753906,11.666292190551758,64.43561149691358,57.25500675154321,45.18585841049383,1.2516396045684814,144.37994378476182,0.3429066836833954,3.3125362396240234,1.4706366050883513
medium_1mm_r2,DIGIT_Marker,medium,1,2,reference_collect.png,103.8973401138131,57.65108108520508,13.217794418334961,71.42950135030864,60.83868778935185,46.103705150462964,1.2665878534317017,118.57830681263076,0.471757709980011,2.9069983959198,1.1413026231733707
medium_2mm_r1,DIGIT_Marker,medium,2,1,reference_collect.png,90.95340615734834,56.81840515136719,12.119009971618652,71.04764178240741,58.273978587962965,48.488501157407406,1.2713675498962402,134.56505208135673,0.6182190179824829,2.1695713996887207,1.4794943671329994
medium_2mm_r2,DIGIT_Marker,medium,2,2,reference_collect.png,90.34144297921408,55.1392936706543,13.537086486816406,61.36105275848765,57.60661506558642,47.85271460262346,1.401983618736267,135.74626546100032,0.4239148199558258,3.0901057720184326,1.5025912912663246
medium_3mm_r1,DIGIT_Marker,medium,3,1,reference_collect.png,,47.93777084350586,6.655395984649658,42.49853057484568,50.20932484567901,45.562609953703706,1.1909825801849365,,,,
medium_3mm_r2,DIGIT_Marker,medium,3,2,reference_collect.png,83.27704604480881,56.97343444824219,11.965716361999512,60.775271508487656,59.51103443287037,50.502101658950615,1.2919628620147705,145.82031546168233,0.6617416143417358,1.9567623138427734,1.7510265119540973
soft_1mm_r1,DIGIT_Marker,soft,1,1,reference_collect.png,105.49374708072848,53.745418548583984,10.283730506896973,68.21139419367285,56.027711709104935,43.69914737654321,1.1894290447235107,95.47290098010609,0.48798394203186035,2.495795965194702,0.9050100467760047
soft_1mm_r2,DIGIT_Marker,soft,1,2,reference_collect.png,104.09080649109308,55.777130126953125,11.177477836608887,70.47545862268518,58.42569396219136,44.90387201003087,1.2011440992355347,159.17256069130292,0.5388484597206116,2.3931186199188232,1.5291702125962787
soft_2mm_r1,DIGIT_Marker,soft,2,1,reference_collect.png,94.92124702759877,58.16350173950195,12.869592666625977,61.91352864583333,61.37066792052469,50.39780960648148,1.257897973060608,129.90214162515792,0.3824916481971741,3.6707165241241455,1.3685254428588396
soft_2mm_r2,DIGIT_Marker,soft,2,2,reference_collect.png,90.15474388177012,56.817447662353516,12.06032943725586,68.04869212962963,58.69596305941358,48.81931568287037,1.2270252704620361,185.20570778760145,0.6660256385803223,1.9335366487503052,2.0543090669802377
soft_3mm_r1,DIGIT_Marker,soft,3,1,reference_collect.png,83.85132893559746,62.70991897583008,15.023073196411133,77.85512297453704,64.47239293981481,53.43663483796296,1.2997621297836304,151.68430773792232,0.5312382578849792,2.488743543624878,1.8089672479064034
soft_3mm_r2,DIGIT_Marker,soft,3,2,reference_collect.png,83.46284486742829,73.6230239868164,23.14339256286621,82.14306375385803,78.56941068672839,60.64250530478395,1.3484734296798706,118.10664087708302,0.4081544280052185,3.6642284393310547,1.4150804596306616
hard_1mm_r1,DIGIT,hard,1,1,reference_collect.png,111.14024742437104,67.149169921875,14.169122695922852,79.52485484182098,70.65597415123457,55.55995997299383,1.2717565298080444,126.7373342805616,0.30733585357666016,4.415783405303955,1.140336981585398
hard_1mm_r2,DIGIT,hard,1,2,reference_collect.png,115.06941802049924,67.85189056396484,13.39824390411377,89.85374807098765,70.49662037037037,54.25579378858025,1.238545536994934,178.43413690517113,0.4746333360671997,2.6491200923919678,1.5506651547797319
hard_2mm_r1,DIGIT,hard,2,1,reference_collect.png,101.11007474342124,68.29878234863281,12.922935485839844,86.5418928433642,69.84732735339506,58.29322145061728,1.34384024143219,136.81352040409175,0.4523046612739563,2.8898227214813232,1.3531146203904232
hard_2mm_r2,DIGIT,hard,2,2,reference_collect.png,103.86899785578782,70.38346099853516,13.773422241210938,98.47162181712963,71.28394338348765,57.90042872299383,1.319973349571228,188.59791587988855,0.4845728278160095,2.7390801906585693,1.8157286560301538
hard_3mm_r1,DIGIT,hard,3,1,reference_collect.png,87.37464478459978,67.74239349365234,12.768753051757812,89.58666039737655,68.06360869984567,58.764963348765434,1.3087328672409058,275.5228098841622,0.761883556842804,1.6900883913040161,3.1533496995998602
hard_3mm_r2,DIGIT,hard,3,2,reference_collect.png,95.86756291535792,56.113399505615234,9.277188301086426,79.46249614197531,57.53915653935185,44.36634403935185,1.2087675333023071,234.09374964495083,0.6349819898605347,1.8870776891708374,2.4418452136061255
medium_1mm_r1,DIGIT,medium,1,1,reference_collect.png,110.13704879845966,68.69147491455078,12.392898559570312,92.5443253279321,70.11381172839506,56.789394290123454,1.2642890214920044,159.9233761042129,0.4166735112667084,3.103671073913574,1.4520397799731997
medium_1mm_r2,DIGIT,medium,1,2,reference_collect.png,111.79794098147342,66.97392272949219,12.661171913146973,86.68241994598766,69.20851851851852,55.09949893904321,1.2598018646240234,168.78998705274603,0.37574830651283264,3.530184507369995,1.5097772425050031
medium_2mm_r1,DIGIT,medium,2,1,reference_collect.png,100.01727465504976,70.60787200927734,14.7040433883667,92.80794077932099,73.61227092978395,56.24852189429012,1.2947578430175781,149.85104861112885,0.4409719407558441,3.1786928176879883,1.4982516683038116
medium_2mm_r2,DIGIT,medium,2,2,reference_collect.png,104.14484284382507,71.06314086914062,14.349081039428711,86.2191160300926,73.29085021219136,60.90780333719136,1.2856407165527344,164.29913266386708,0.41427740454673767,2.956009864807129,1.5776021949569696
medium_3mm_r1,DIGIT,medium,3,1,reference_collect.png,88.71822578833242,64.22976684570312,11.57618236541748,74.87897087191358,65.3427131558642,57.990101755401234,1.2792906761169434,259.9824765703342,0.6613557934761047,1.9314433336257935,2.930429167853413
medium_3mm_r2,DIGIT,medium,3,2,reference_collect.png,89.4599249424395,71.89714813232422,15.320384979248047,89.79409239969135,73.4134408757716,62.08693287037037,1.304389476776123,187.07958599623817,0.6939972043037415,1.900665283203125,2.0912110771008283
soft_1mm_r1,DIGIT,soft,1,1,reference_collect.png,114.43941305092626,67.36254119873047,10.863468170166016,93.76456259645062,67.83688078703703,56.32435812114198,1.1997629404067993,117.4986510439765,0.43017807602882385,3.080219268798828,1.0267323810170963
soft_1mm_r2,DIGIT,soft,1,2,reference_collect.png,109.46611343280809,64.6426773071289,11.005270004272461,78.23576822916667,67.29505642361111,54.237977912808645,1.2435591220855713,151.3517815135912,0.3589421212673187,3.5050132274627686,1.3826359296705382
soft_2mm_r1,DIGIT,soft,2,1,reference_collect.png,102.74450351991818,63.5124626159668,11.23515510559082,77.86424189814815,64.73515480324075,55.634968653549386,1.3138020038604736,173.6148787225154,0.4702533781528473,2.537078857421875,1.6897729102253942
soft_2mm_r2,DIGIT,soft,2,2,reference_collect.png,100.77340297180864,67.4237060546875,11.958523750305176,91.42205536265432,68.02404176311728,57.10595100308642,1.2872754335403442,210.38670482030267,0.5935176014900208,2.189504861831665,2.0877205553846223
soft_3mm_r1,DIGIT,soft,3,1,reference_collect.png,92.61911913935278,75.337890625,16.32735252380371,98.38533468364197,78.08674864969136,61.105885416666666,1.3357105255126953,167.90201757559015,0.5743916034698486,2.4270026683807373,1.8128224402886872
soft_3mm_r2,DIGIT,soft,3,2,reference_collect.png,90.30643458573026,77.20625305175781,17.277509689331055,95.0959765625,80.69828414351852,63.56876591435185,1.3050591945648193,155.51415688001254,0.5196136832237244,2.515918493270874,1.7220717171862088
