width_px,v,R,principle,view,metric
8,0.0420059449970722,0.13648472575547244,9DTact,1,fx_mae
16,0.0296677406877279,0.5459389030218897,9DTact,1,fx_mae
32,0.0266532320529222,2.183755612087559,9DTact,1,fx_mae
48,0.0247180145233869,4.913450127197007,9DTact,1,fx_mae
80,0.0254691746085882,13.648472575547242,9DTact,1,fx_mae
160,0.0280724111944437,54.59389030218897,9DTact,1,fx_mae
320,0.0277499966323375,218.37556120875587,9DTact,1,fx_mae
426,0.0282603669911623,387.01097017500166,9DTact,1,fx_mae
640,0.0276511032134294,873.5022448350235,9DTact,1,fx_mae
854,0.0346499346196651,1555.3202226418462,9DTact,1,fx_mae
1280,0.0299378056079149,3494.008979340094,9DTact,1,fx_mae
1920,0.0308909062296152,7861.5202035152115,9DTact,1,fx_mae
8,0.0447400845587253,0.13648472575547244,9DTact,1,fy_mae
16,0.0338617339730262,0.5459389030218897,9DTact,1,fy_mae
32,0.0266393218189477,2.183755612087559,9DTact,1,fy_mae
48,0.0241375267505645,4.913450127197007,9DTact,1,fy_mae
80,0.026405606418848,13.648472575547242,9DTact,1,fy_mae
160,0.0294144041836261,54.59389030218897,9DTact,1,fy_mae
320,0.0278546344488859,218.37556120875587,9DTact,1,fy_mae
426,0.0284492969512939,387.01097017500166,9DTact,1,fy_mae
640,0.0270705521106719,873.5022448350235,9DTact,1,fy_mae
854,0.0289481524378061,1555.3202226418462,9DTact,1,fy_mae
1280,0.028631092980504,3494.008979340094,9DTact,1,fy_mae
1920,0.0323786959052085,7861.5202035152115,9DTact,1,fy_mae
8,0.094921626150608,0.13648472575547244,9DTact,1,fz_mae
16,0.0734575390815734,0.5459389030218897,9DTact,1,fz_mae
32,0.0613609068095684,2.183755612087559,9DTact,1,fz_mae
48,0.0609165504574775,4.913450127197007,9DTact,1,fz_mae
80,0.0496324375271797,13.648472575547242,9DTact,1,fz_mae
160,0.0491330549120903,54.59389030218897,9DTact,1,fz_mae
320,0.0496624745428562,218.37556120875587,9DTact,1,fz_mae
426,0.0537283346056938,387.01097017500166,9DTact,1,fz_mae
640,0.0492094196379184,873.5022448350235,9DTact,1,fz_mae
854,0.0510953553020954,1555.3202226418462,9DTact,1,fz_mae
