width_px,v,R,principle,view,metric
1280,0.0484580211341381,3494.008979340094,9DTact,1,fz_mae
1920,0.051808413118124,7861.5202035152115,9DTact,1,fz_mae
8,0.0861022695899009,0.13648472575547244,9DTact,2,fz_mae_normal
16,0.0577473081648349,0.5459389030218897,9DTact,2,fz_mae_normal
32,0.0501895360648632,2.183755612087559,9DTact,2,fz_mae_normal
48,0.0432310812175273,4.913450127197007,9DTact,2,fz_mae_normal
80,0.0459632351994514,13.648472575547242,9DTact,2,fz_mae_normal
160,0.0396440401673316,54.59389030218897,9DTact,2,fz_mae_normal
320,0.0411960184574127,218.37556120875587,9DTact,2,fz_mae_normal
426,0.0442434214055538,387.01097017500166,9DTact,2,fz_mae_normal
640,0.0445602647960186,873.5022448350235,9DTact,2,fz_mae_normal
854,0.0425047650933265,1555.3202226418462,9DTact,2,fz_mae_normal
1280,0.0434948578476905,3494.008979340094,9DTact,2,fz_mae_normal
1920,0.0399014502763748,7861.5202035152115,9DTact,2,fz_mae_normal
8,0.06871098279953,0.13648472575547244,9DTact,2,lat_mae_shear
16,0.0544701926410198,0.5459389030218897,9DTact,2,lat_mae_shear
32,0.0437607280910015,2.183755612087559,9DTact,2,lat_mae_shear
48,0.0418051965534687,4.913450127197007,9DTact,2,lat_mae_shear
80,0.0394839793443679,13.648472575547242,9DTact,2,lat_mae_shear
160,0.0420156642794609,54.59389030218897,9DTact,2,lat_mae_shear
320,0.0424296222627162,218.37556120875587,9DTact,2,lat_mae_shear
426,0.0439097397029399,387.01097017500166,9DTact,2,lat_mae_shear
640,0.04954544454813,873.5022448350235,9DTact,2,lat_mae_shear
854,0.049527496099472,1555.3202226418462,9DTact,2,lat_mae_shear
1280,0.050904992967844,3494.008979340094,9DTact,2,lat_mae_shear
1920,0.0507623627781868,7861.5202035152115,9DTact,2,lat_mae_shear
8,0.1296553611755371,0.13648472575547244,9DTact,3,res_mae
16,0.0967115238308906,0.5459389030218897,9DTact,3,res_mae
32,0.0799019485712051,2.183755612087559,9DTact,3,res_mae
48,0.0788074359297752,4.913450127197007,9DTact,3,res_mae
80,0.0716431513428688,13.648472575547242,9DTact,3,res_mae
160,0.0762436538934707,54.59389030218897,9DTact,3,res_mae
320,0.0742901861667633,218.37556120875587,9DTact,3,res_mae
426,0.0748801603913307,387.01097017500166,9DTact,3,res_mae
640,0.0707546845078468,873.5022448350235,9DTact,3,res_mae
854,0.0759807303547859,1555.3202226418462,9DTact,3,res_mae
1280,0.0762642249464988,3494.008979340094,9DTact,3,res_mae
1920,0.0818090289831161,7861.5202035152115,9DTact,3,res_mae
8,0.0631144121289253,0.1832714063117097,DIGIT,1,fx_mae
16,0.0355174094438552,0.7330856252468388,DIGIT,1,fx_mae
32,0.028602585196495,2.9323425009873554,DIGIT,1,fx_mae
48,0.0268398020416498,6.597770627221551,DIGIT,1,fx_mae
80,0.0279695279896259,18.327140631170973,DIGIT,1,fx_mae
160,0.0305039938539266,73.3085625246839,DIGIT,1,fx_mae
320,0.0297449864447116,293.2342500987356,DIGIT,1,fx_mae
426,0.0309133529663085,519.6775270597474,DIGIT,1,fx_mae
640,0.0302985291928052,1172.9370003949423,DIGIT,1,fx_mae
854,0.0312909670174121,2088.480765087983,DIGIT,1,fx_mae
1280,0.0353960804641246,4691.748001579769,DIGIT,1,fx_mae
1920,0.0400054119527339,10556.43300355448,DIGIT,1,fx_mae
8,0.0577330105006694,0.1832714063117097,DIGIT,1,fy_mae
16,0.0425615049898624,0.7330856252468388,DIGIT,1,fy_mae
32,0.0355578288435936,2.9323425009873554,DIGIT,1,fy_mae
48,0.0326541252434253,6.597770627221551,DIGIT,1,fy_mae
80,0.0343620441854,18.327140631170973,DIGIT,1,fy_mae
160,0.0367265082895755,73.3085625246839,DIGIT,1,fy_mae
320,0.0360278785228729,293.2342500987356,DIGIT,1,fy_mae
426,0.0319654159247875,519.6775270597474,DIGIT,1,fy_mae
640,0.0355197601020336,1172.9370003949423,DIGIT,1,fy_mae
854,0.034731525927782,2088.480765087983,DIGIT,1,fy_mae
1280,0.040600337088108,4691.748001579769,DIGIT,1,fy_mae
1920,0.0445217192173004,10556.43300355448,DIGIT,1,fy_mae
8,0.1125507876276969,0.1832714063117097,DIGIT,1,fz_mae
16,0.0837994515895843,0.7330856252468388,DIGIT,1,fz_mae
32,0.0702222138643264,2.9323425009873554,DIGIT,1,fz_mae
48,0.0662210956215858,6.597770627221551,DIGIT,1,fz_mae
80,0.0655600726604461,18.327140631170973,DIGIT,1,fz_mae
160,0.0672039613127708,73.3085625246839,DIGIT,1,fz_mae
320,0.0682169795036315,293.2342500987356,DIGIT,1,fz_mae
426,0.0642789527773857,519.6775270597474,DIGIT,1,fz_mae
640,0.0778242722153663,1172.9370003949423,DIGIT,1,fz_mae
854,0.0664036348462104,2088.480765087983,DIGIT,1,fz_mae
1280,0.0714418813586235,4691.748001579769,DIGIT,1,fz_mae
1920,0.0708442032337188,10556.43300355448,DIGIT,1,fz_mae
8,0.105217233300209,0.1832714063117097,DIGIT,2,fz_mae_normal
16,0.0839831456542015,0.7330856252468388,DIGIT,2,fz_mae_normal
32,0.0675818771123886,2.9323425009873554,DIGIT,2,fz_mae_normal
48,0.0600282251834869,6.597770627221551,DIGIT,2,fz_mae_normal
80,0.0609908960759639,18.327140631170973,DIGIT,2,fz_mae_normal
160,0.0669002830982208,73.3085625246839,DIGIT,2,fz_mae_normal
320,0.0648318380117416,293.2342500987356,DIGIT,2,fz_mae_normal
426,0.0618375316262245,519.6775270597474,DIGIT,2,fz_mae_normal
640,0.0616840496659278,1172.9370003949423,DIGIT,2,fz_mae_normal
854,0.0672414451837539,2088.480765087983,DIGIT,2,fz_mae_normal
1280,0.0677060037851333,4691.748001579769,DIGIT,2,fz_mae_normal
1920,0.0684439241886138,10556.43300355448,DIGIT,2,fz_mae_normal
8,0.1045380011200904,0.1832714063117097,DIGIT,2,lat_mae_shear
16,0.0633430853486061,0.7330856252468388,DIGIT,2,lat_mae_shear
32,0.0528233386576175,2.9323425009873554,DIGIT,2,lat_mae_shear
48,0.0458222962915897,6.597770627221551,DIGIT,2,lat_mae_shear
80,0.0426013506948947,18.327140631170973,DIGIT,2,lat_mae_shear
160,0.0441038385033607,73.3085625246839,DIGIT,2,lat_mae_shear
320,0.0455584600567817,293.2342500987356,DIGIT,2,lat_mae_shear
426,0.0454258397221565,519.6775270597474,DIGIT,2,lat_mae_shear
640,0.044871374964714,1172.9370003949423,DIGIT,2,lat_mae_shear
854,0.0468060299754142,2088.480765087983,DIGIT,2,lat_mae_shear
1280,0.0556737817823886,4691.748001579769,DIGIT,2,lat_mae_shear
1920,0.0673412531614303,10556.43300355448,DIGIT,2,lat_mae_shear
8,0.1691111177206039,0.1832714063117097,DIGIT,3,res_mae
16,0.1184936612844467,0.7330856252468388,DIGIT,3,res_mae
32,0.0999015867710113,2.9323425009873554,DIGIT,3,res_mae
48,0.0927764177322387,6.597770627221551,DIGIT,3,res_mae
80,0.0900918245315551,18.327140631170973,DIGIT,3,res_mae
160,0.0996129512786865,73.3085625246839,DIGIT,3,res_mae
320,0.0974715501070022,293.2342500987356,DIGIT,3,res_mae
426,0.0920433104038238,519.6775270597474,DIGIT,3,res_mae
640,0.1037837788462638,1172.9370003949423,DIGIT,3,res_mae
854,0.1018745228648185,2088.480765087983,DIGIT,3,res_mae
1280,0.1036222800612449,4691.748001579769,DIGIT,3,res_mae
1920,0.1076965257525444,10556.43300355448,DIGIT,3,res_mae
8,0.0573904179036617,0.22572001000000003,DIGIT_Marker,1,fx_mae
16,0.0469279326498508,0.9028800400000001,DIGIT_Marker,1,fx_mae
32,0.0401139147579669,3.6115201600000004,DIGIT_Marker,1,fx_mae
48,0.0353985466063022,8.12592036,DIGIT_Marker,1,fx_mae
80,0.0333937518298625,22.572001000000004,DIGIT_Marker,1,fx_mae
160,0.0322403237223625,90.28800400000002,DIGIT_Marker,1,fx_mae
320,0.0317237935960292,361.15201600000006,DIGIT_Marker,1,fx_mae
426,0.0333108007907867,640.0431958556251,DIGIT_Marker,1,fx_mae
640,0.0327491573989391,1444.6080640000002,DIGIT_Marker,1,fx_mae
854,0.0336484275758266,2572.2064814556247,DIGIT_Marker,1,fx_mae
1280,0.0298223551362752,5778.432256000001,DIGIT_Marker,1,fx_mae
1920,0.0271782502532005,13001.472576000004,DIGIT_Marker,1,fx_mae
8,0.0816834867000579,0.22572001000000003,DIGIT_Marker,1,fy_mae
16,0.0473999343812465,0.9028800400000001,DIGIT_Marker,1,fy_mae
32,0.0550490990281105,3.6115201600000004,DIGIT_Marker,1,fy_mae
48,0.0371371656656265,8.12592036,DIGIT_Marker,1,fy_mae
80,0.0383823923766613,22.572001000000004,DIGIT_Marker,1,fy_mae
160,0.0384617187082767,90.28800400000002,DIGIT_Marker,1,fy_mae
320,0.040821436792612,361.15201600000006,DIGIT_Marker,1,fy_mae
426,0.0410109497606754,640.0431958556251,DIGIT_Marker,1,fy_mae
640,0.0442027226090431,1444.6080640000002,DIGIT_Marker,1,fy_mae
854,0.0377981103956699,2572.2064814556247,DIGIT_Marker,1,fy_mae
1280,0.0354004278779029,5778.432256000001,DIGIT_Marker,1,fy_mae
1920,0.0373628437519073,13001.472576000004,DIGIT_Marker,1,fy_mae
8,0.1607167273759842,0.22572001000000003,DIGIT_Marker,1,fz_mae
16,0.1090391352772712,0.9028800400000001,DIGIT_Marker,1,fz_mae
32,0.122562788426876,3.6115201600000004,DIGIT_Marker,1,fz_mae
48,0.1115237474441528,8.12592036,DIGIT_Marker,1,fz_mae
80,0.0924396216869354,22.572001000000004,DIGIT_Marker,1,fz_mae
160,0.0885325968265533,90.28800400000002,DIGIT_Marker,1,fz_mae
320,0.0858556032180786,361.15201600000006,DIGIT_Marker,1,fz_mae
426,0.0996550247073173,640.0431958556251,DIGIT_Marker,1,fz_mae
640,0.1045243069529533,1444.6080640000002,DIGIT_Marker,1,fz_mae
854,0.1048856750130653,2572.2064814556247,DIGIT_Marker,1,fz_mae
1280,0.1071111857891082,5778.432256000001,DIGIT_Marker,1,fz_mae
1920,0.0989737659692764,13001.472576000004,DIGIT_Marker,1,fz_mae
8,0.1198191046714782,0.22572001000000003,DIGIT_Marker,2,fz_mae_normal
16,0.0957949012517929,0.9028800400000001,DIGIT_Marker,2,fz_mae_normal
32,0.0939276292920112,3.6115201600000004,DIGIT_Marker,2,fz_mae_normal
48,0.083977460861206,8.12592036,DIGIT_Marker,2,fz_mae_normal
80,0.0817349851131439,22.572001000000004,DIGIT_Marker,2,fz_mae_normal
160,0.0875791758298873,90.28800400000002,DIGIT_Marker,2,fz_mae_normal
320,0.0806960389018058,361.15201600000006,DIGIT_Marker,2,fz_mae_normal
426,0.0922485664486885,640.0431958556251,DIGIT_Marker,2,fz_mae_normal
640,0.0897288173437118,1444.6080640000002,DIGIT_Marker,2,fz_mae_normal
854,0.0835411995649337,2572.2064814556247,DIGIT_Marker,2,fz_mae_normal
1280,0.0825687944889068,5778.432256000001,DIGIT_Marker,2,fz_mae_normal
1920,0.074995182454586,13001.472576000004,DIGIT_Marker,2,fz_mae_normal
8,0.1286743730306625,0.22572001000000003,DIGIT_Marker,2,lat_mae_shear
16,0.0861129313707351,0.9028800400000001,DIGIT_Marker,2,lat_mae_shear
32,0.0771161764860153,3.6115201600000004,DIGIT_Marker,2,lat_mae_shear
48,0.0630178973078727,8.12592036,DIGIT_Marker,2,lat_mae_shear
80,0.0501548200845718,22.572001000000004,DIGIT_Marker,2,lat_mae_shear
160,0.0490699857473373,90.28800400000002,DIGIT_Marker,2,lat_mae_shear
320,0.0496107451617717,361.15201600000006,DIGIT_Marker,2,lat_mae_shear
426,0.0586357600986957,640.0431958556251,DIGIT_Marker,2,lat_mae_shear
640,0.0502631328999996,1444.6080640000002,DIGIT_Marker,2,lat_mae_shear
854,0.0603763908147811,2572.2064814556247,DIGIT_Marker,2,lat_mae_shear
1280,0.0552321523427963,5778.432256000001,DIGIT_Marker,2,lat_mae_shear
1920,0.0419541634619236,13001.472576000004,DIGIT_Marker,2,lat_mae_shear
8,0.228304848074913,0.22572001000000003,DIGIT_Marker,3,res_mae
16,0.1345587372779846,0.9028800400000001,DIGIT_Marker,3,res_mae
32,0.1475400328636169,3.6115201600000004,DIGIT_Marker,3,res_mae
48,0.1267584264278412,8.12592036,DIGIT_Marker,3,res_mae
80,0.1176405400037765,22.572001000000004,DIGIT_Marker,3,res_mae
160,0.1178072690963745,90.28800400000002,DIGIT_Marker,3,res_mae
320,0.1232830584049224,361.15201600000006,DIGIT_Marker,3,res_mae
426,0.127509519457817,640.0431958556251,DIGIT_Marker,3,res_mae
640,0.1299709230661392,1444.6080640000002,DIGIT_Marker,3,res_mae
854,0.1298404484987259,2572.2064814556247,DIGIT_Marker,3,res_mae
1280,0.1197466850280761,5778.432256000001,DIGIT_Marker,3,res_mae
1920,0.1156447827816009,13001.472576000004,DIGIT_Marker,3,res_mae
