probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,surface_offset_mm,force_wanted_N,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,0,-5.749082660782788,-0.08182530189272219,374.1816431591392,290.1816431591392,0.15,0.11732056520378364,0.0,0.18522085066734523,0.14364046349722911,ball4_x-5.75_y-0.08_d0.15.png,1789048071.5297582,-0.007904569898267155,0.01699232301269262,-0.14364046349722911,32.9861831665039,359.7974548339843,36.21306991577148,6052,43.89090374080148,"[188.59765366820886, 239.55584930601455]",12
ball4,0,0,-5.749082660782788,-0.08182530189272219,374.1816431591392,290.1816431591392,0.3,0.2826902504064037,0.0,0.47568004824968074,0.39304090047246804,ball4_x-5.75_y-0.08_d0.30.png,1789048072.8977442,-0.008448767442198602,0.020175040621340835,-0.39304090047246804,32.9862937927246,359.7899169921875,36.059024810791,15708,70.7107607947686,"[368.5042016806723, 231.5672268907563]",12
ball4,1,0,-3.2440306795348723,-1.4713803056413615,667.0908215795696,290.1816431591392,0.15,0.170236138575234,0.0,0.18522085066734523,0.1163654542210594,ball4_x-3.24_y-1.47_d0.15.png,1789048075.8219993,0.018766763064669335,0.0020795270432692804,-0.1163654542210594,35.86206436157226,359.8419189453125,36.17964935302734,24637,88.5562006067901,"[839.284531395868, 528.0553232942323]",12
ball4,1,0,-3.2440306795348723,-1.4713803056413615,667.0908215795696,290.1816431591392,0.3,0.3365634278814298,0.0,0.47568004824968074,0.3398661632881783,ball4_x-3.24_y-1.47_d0.30.png,1789048077.1901133,0.020201848421171675,-0.0015442670645146705,-0.3398661632881783,35.8644790649414,359.8373718261718,36.02343368530273,37245,108.88274294356881,"[824.8273056786146, 537.3840515505437]",12
ball4,2,0,-0.7389786982869571,-2.8609353093900007,960.0,290.1816431591392,0.15,0.22486452123439093,0.0,0.18522085066734523,0.13528907907096652,ball4_x-0.74_y-2.86_d0.15.png,1789048080.3101835,0.022856904958188196,0.009571254163201991,-0.13528907907096652,38.72812271118164,359.885528564453,36.14405822753906,25598,90.26680711387034,"[897.8715524650363, 290.9439799984374]",12
ball4,2,0,-0.7389786982869571,-2.8609353093900007,960.0,290.1816431591392,0.3,0.3879433752700585,0.0,0.47568004824968074,0.32300926409230046,ball4_x-0.74_y-2.86_d0.30.png,1789048081.6743393,0.023997112442444644,0.02032054426561398,-0.32300926409230046,38.72698974609375,359.8890075683593,35.99171829223633,62600,141.160188704554,"[896.1685303514377, 304.0808466453674]",12
ball4,3,0,1.766073282960958,-4.25049031313864,1252.9091784204304,290.1816431591392,0.15,0.3407644074445173,0.04873008031210489,0.18522085066734523,0.1743178915240719,ball4_x+1.77_y-4.25_d0.15.png,1789048085.7745602,0.026117643995749517,-0.01345421911617386,-0.1743178915240719,41.59683990478515,359.9300842285156,36.06224822998047,42295,116.02980925668811,"[1225.4759900697481, 278.02688261023764]",12
ball4,3,0,1.766073282960958,-4.25049031313864,1252.9091784204304,290.1816431591392,0.3,0.48161268703078974,0.04873008031210489,0.47568004824968074,0.4485401069195262,ball4_x+1.77_y-4.25_d0.30.png,1789048087.1385753,0.02567954558846459,0.0022390146850870705,-0.4485401069195262,41.58491134643554,359.9373168945312,35.91127395629883,86318,165.75847717571625,"[1214.1372367293034, 288.8955606014968]",12
ball4,4,0,4.271125264208873,-5.64004531688728,1545.8183568408608,290.1816431591392,0.15,0.3805340558805206,0.04873008031210489,0.18522085066734523,0.21477771872771428,ball4_x+4.27_y-5.64_d0.15.png,1789048090.4548235,0.019820566423961593,-0.006030059302721646,-0.21477771872771428,44.45493698120117,359.9759521484375,36.02381896972656,49955,126.09984284015292,"[853.8860774697227, 553.1932739465519]",12
ball4,4,0,4.271125264208873,-5.64004531688728,1545.8183568408608,290.1816431591392,0.3,0.5490454971735836,0.04873008031210489,0.47568004824968074,0.5398245790052953,ball4_x+4.27_y-5.64_d0.30.png,1789048092.0150151,0.026488823886634805,-0.005605254859072062,-0.5398245790052953,44.45725631713867,359.9763793945312,35.8716468811035,63114,141.7385274249869,"[1586.545916912254, 271.92274297303294]",12
ball4,0,1,-4.563949611526764,2.054700337662474,374.1816431591392,540.0,0.15,0.09804063287329257,0.04873008031210489,0.18522085066734523,0.23702301051502275,ball4_x-4.56_y+2.05_d0.15.png,1789048098.0632076,-0.013025242457810293,0.01815005215836365,-0.23702301051502275,32.94326400756836,362.2330627441406,36.1853675842285,13262,64.97249964846229,"[372.5020358920223, 509.3549992459659]",12
ball4,0,1,-4.563949611526764,2.054700337662474,374.1816431591392,540.0,0.3,0.27077836806600786,0.04873008031210489,0.47568004824968074,0.5172390423012331,ball4_x-4.56_y+2.05_d0.30.png,1789048099.4314084,-0.01306999145372174,0.02569125378844035,-0.5172390423012331,32.94664001464843,362.2252197265625,36.03384780883789,37604,109.40623821361953,"[412.501888097011, 521.8228645888735]",12
ball4,1,1,-2.058897630278849,0.6651453339138347,667.0908215795696,540.0,0.15,0.14848025248371854,0.04873008031210489,0.18522085066734523,0.18150205150706428,ball4_x-2.06_y+0.67_d0.15.png,1789048102.7476366,0.019348802541286146,0.0009640765957939834,-0.18150205150706428,35.8224983215332,362.2763061523437,36.14073944091797,81693,161.2565953132225,"[715.1642245969667, 555.5768425691308]",12
ball4,1,1,-2.058897630278849,0.6651453339138347,667.0908215795696,540.0,0.3,0.3260117254871737,0.04873008031210489,0.47568004824968074,0.48935479908556656,ball4_x-2.06_y+0.67_d0.30.png,1789048104.3075676,0.020551120930412736,0.004965106678945652,-0.48935479908556656,35.8215866088867,362.2784118652343,36.00014877319336,115004,191.32932381284544,"[712.8131108483183, 559.0492939376022]",12
