sensor,axis,density_px_per_mm2,median,min,max,suspect_hardware
soft_1mm_r1,Fx,0.27041733361111114,0.0609029978513717,0.0450306758284568,0.0875082090497016,False
soft_1mm_r1,Fx,1.0816693344444446,0.0429055653512477,0.0406076088547706,0.0540581196546554,False
soft_1mm_r1,Fx,4.326677337777778,0.0310469102114439,0.0293437279760837,0.0376906134188175,False
soft_1mm_r1,Fx,9.735024010000002,0.0310877822339534,0.0288315247744321,0.0334300249814987,False
soft_1mm_r1,Fx,27.041733361111106,0.0285909660160541,0.0240926276892423,0.0363479815423488,False
soft_1mm_r1,Fx,108.16693344444442,0.0254795737564563,0.0251398030668497,0.0325250290334224,False
soft_1mm_r1,Fx,432.6677337777777,0.0313538238406181,0.0241276640444993,0.0394274145364761,False
soft_1mm_r1,Fx,766.7852505376562,0.0439843498170375,0.0286774802953004,0.0511654540896415,False
soft_1mm_r1,Fx,1730.6709351111108,0.0267467871308326,0.0249701607972383,0.029887069016695,False
soft_1mm_r1,Fx,3081.557626248767,0.0280664451420307,0.0223368853330612,0.0321569070219993,False
soft_1mm_r1,Fx,6922.683740444443,0.0284853614866733,0.0223618187010288,0.029588621109724,False
soft_1mm_r1,Fx,15576.038416000001,0.0245385710150003,0.0237956047058105,0.0258614644408226,False
soft_1mm_r1,Fy,0.27041733361111114,0.0785178542137146,0.0742074996232986,0.1074377745389938,False
soft_1mm_r1,Fy,1.0816693344444446,0.071932703256607,0.055438794195652,0.0801228657364845,False
soft_1mm_r1,Fy,4.326677337777778,0.0567593425512313,0.0494164153933525,0.0624781101942062,False
soft_1mm_r1,Fy,9.735024010000002,0.0514321960508823,0.0448203459382057,0.0572672151029109,False
soft_1mm_r1,Fy,27.041733361111106,0.0395285263657569,0.0389033630490303,0.0722888186573982,False
soft_1mm_r1,Fy,108.16693344444442,0.0436418056488037,0.0382748842239379,0.0474249869585037,False
soft_1mm_r1,Fy,432.6677337777777,0.0515925660729408,0.043403398245573,0.0567440688610076,False
soft_1mm_r1,Fy,766.7852505376562,0.0411679930984973,0.0402050837874412,0.0535370968282222,False
soft_1mm_r1,Fy,1730.6709351111108,0.0471007637679576,0.0463100597262382,0.0549637228250503,False
soft_1mm_r1,Fy,3081.557626248767,0.0432662479579448,0.0400322824716568,0.0466117188334465,False
soft_1mm_r1,Fy,6922.683740444443,0.0424190536141395,0.0400437898933887,0.0434534959495067,False
soft_1mm_r1,Fy,15576.038416000001,0.0400824286043643,0.0370678752660751,0.0428140573203563,False
soft_1mm_r1,Fz,0.27041733361111114,0.1709573566913604,0.1617510020732879,0.2209727466106414,False
soft_1mm_r1,Fz,1.0816693344444446,0.1485127210617065,0.1459174454212188,0.1630803197622299,False
soft_1mm_r1,Fz,4.326677337777778,0.1279975175857544,0.122700847685337,0.1343831717967987,False
soft_1mm_r1,Fz,9.735024010000002,0.1368992626667022,0.1222634464502334,0.142422467470169,False
soft_1mm_r1,Fz,27.041733361111106,0.1167736127972602,0.1146080419421196,0.1409494280815124,False
soft_1mm_r1,Fz,108.16693344444442,0.1421010196208953,0.1325660645961761,0.164202943444252,False
soft_1mm_r1,Fz,432.6677337777777,0.1528725624084472,0.1196187064051628,0.1810280680656433,False
soft_1mm_r1,Fz,766.7852505376562,0.1476753503084182,0.1289271861314773,0.1750468164682388,False
soft_1mm_r1,Fz,1730.6709351111108,0.1334322690963745,0.1325009167194366,0.1411145627498626,False
soft_1mm_r1,Fz,3081.557626248767,0.1380884349346161,0.1247464567422866,0.1438457518815994,False
soft_1mm_r1,Fz,6922.683740444443,0.1364728063344955,0.1330524832010269,0.1850737631320953,False
soft_1mm_r1,Fz,15576.038416000001,0.1156897842884063,0.1136501654982566,0.1329116970300674,False
soft_2mm_r1,Fx,0.22572001000000003,0.0673078820109367,0.0601972751319408,0.0770930871367454,False
soft_2mm_r1,Fx,0.9028800400000001,0.0563703812658786,0.0549452416598796,0.0578170008957386,False
soft_2mm_r1,Fx,3.6115201600000004,0.053205382078886,0.048153318464756,0.0562803596258163,False
soft_2mm_r1,Fx,8.12592036,0.0463943481445312,0.04014727845788,0.0474544577300548,False
soft_2mm_r1,Fx,22.572001000000004,0.0376543439924716,0.0350007712841033,0.0403442569077014,False
soft_2mm_r1,Fx,90.28800400000002,0.0362281017005443,0.0354087390005588,0.0451874807476997,False
soft_2mm_r1,Fx,361.15201600000006,0.0390657670795917,0.0381439588963985,0.0589466765522956,False
soft_2mm_r1,Fx,640.0431958556251,0.0371232107281684,0.0366054847836494,0.0525287240743637,False
soft_2mm_r1,Fx,1444.6080640000002,0.0440767295658588,0.0410949513316154,0.0452574901282787,False
soft_2mm_r1,Fx,2572.2064814556247,0.0424302816390991,0.0419853553175926,0.0433119051158428,False
soft_2mm_r1,Fx,5778.432256000001,0.0410091355443,0.0327738150954246,0.0415362752974033,False
soft_2mm_r1,Fx,13001.472576000004,0.0397170819342136,0.0396857932209968,0.0398895442485809,False
soft_2mm_r1,Fy,0.22572001000000003,0.1110227108001709,0.0969844385981559,0.1555757671594619,False
soft_2mm_r1,Fy,0.9028800400000001,0.0888766944408416,0.088216058909893,0.0889497846364975,False
soft_2mm_r1,Fy,3.6115201600000004,0.0626559481024742,0.0610879734158515,0.0712260156869888,False
soft_2mm_r1,Fy,8.12592036,0.0572062097489833,0.0553642362356185,0.0685716867446899,False
soft_2mm_r1,Fy,22.572001000000004,0.0603135265409946,0.05864729732275,0.0636958479881286,False
soft_2mm_r1,Fy,90.28800400000002,0.0522285513579845,0.0482571870088577,0.0530900433659553,False
soft_2mm_r1,Fy,361.15201600000006,0.0650447309017181,0.0645536556839943,0.0671122968196868,False
soft_2mm_r1,Fy,640.0431958556251,0.0657320097088813,0.0655871033668518,0.0683141946792602,False
soft_2mm_r1,Fy,1444.6080640000002,0.0651952177286148,0.0617058165371418,0.0794418379664421,False
soft_2mm_r1,Fy,2572.2064814556247,0.0616231374442577,0.061486717313528,0.0722710862755775,False
soft_2mm_r1,Fy,5778.432256000001,0.0648236945271492,0.0624628253281116,0.0653355419635772,False
soft_2mm_r1,Fy,13001.472576000004,0.055523294955492,0.0495206862688064,0.0604396872222423,False
soft_2mm_r1,Fz,0.22572001000000003,0.2210274934768676,0.1884926408529281,0.2712196409702301,False
soft_2mm_r1,Fz,0.9028800400000001,0.1733080446720123,0.149521917104721,0.1890940368175506,False
soft_2mm_r1,Fz,3.6115201600000004,0.1413386315107345,0.1369379758834839,0.1935396045446396,False
soft_2mm_r1,Fz,8.12592036,0.1242444589734077,0.1085394248366355,0.1317992359399795,False
soft_2mm_r1,Fz,22.572001000000004,0.1044399440288543,0.1022701412439346,0.134553000330925,False
soft_2mm_r1,Fz,90.28800400000002,0.1255119293928146,0.1110213622450828,0.1304821819067001,False
soft_2mm_r1,Fz,361.15201600000006,0.1345522701740265,0.1330855637788772,0.145297035574913,False
soft_2mm_r1,Fz,640.0431958556251,0.1206646189093589,0.1044949516654014,0.1426611542701721,False
soft_2mm_r1,Fz,1444.6080640000002,0.1255024969577789,0.1230545490980148,0.1265964806079864,False
soft_2mm_r1,Fz,2572.2064814556247,0.137761503458023,0.1287726163864135,0.1524749398231506,False
soft_2mm_r1,Fz,5778.432256000001,0.1409343630075454,0.1275630742311477,0.1654790937900543,False
soft_2mm_r1,Fz,13001.472576000004,0.1406678706407547,0.1259553283452987,0.2316523343324661,False
soft_3mm_r1,Fx,0.17921111111111107,0.1323895454406738,0.1019893139600753,0.1723229140043258,False
soft_3mm_r1,Fx,0.7168444444444443,0.0936143770813942,0.0550558045506477,0.1000895723700523,False
soft_3mm_r1,Fx,2.867377777777777,0.0720267966389656,0.0463278479874134,0.0804551020264625,False
soft_3mm_r1,Fx,6.451599999999998,0.0733884871006012,0.059885635972023,0.1146995052695274,False
soft_3mm_r1,Fx,17.921111111111113,0.0397878028452396,0.0298992823809385,0.0915092751383781,False
soft_3mm_r1,Fx,71.68444444444445,0.0335409939289093,0.0323278307914733,0.0349452495574951,False
soft_3mm_r1,Fx,286.7377777777778,0.0357891470193862,0.0306588634848594,0.0449341759085655,False
soft_3mm_r1,Fx,508.16430625000004,0.0373127199709415,0.0347843170166015,0.0558755919337272,False
soft_3mm_r1,Fx,1146.9511111111112,0.0348180904984474,0.0313335694372653,0.0354638583958148,False
soft_3mm_r1,Fx,2042.2114173611108,0.0368729420006275,0.0340223461389541,0.0472902581095695,False
soft_3mm_r1,Fx,4587.804444444445,0.038953710347414,0.0278099495917558,0.0441038608551025,False
soft_3mm_r1,Fx,10322.56,0.0306995622813701,0.030164897441864,0.0359247736632823,False
soft_3mm_r1,Fy,0.17921111111111107,0.1126203313469886,0.094560794532299,0.1563744395971298,False
soft_3mm_r1,Fy,0.7168444444444443,0.0871031954884529,0.0636274889111518,0.0981556922197341,False
soft_3mm_r1,Fy,2.867377777777777,0.0713874772191047,0.0624357797205448,0.0891079008579254,False
