unit,probe,source,depth_mm,force_N,diameter_px,level,suspect_hardware
hard_1mm_r1,ball4,20260910_passA_calibgrid,0.1245171421117419,0.0175379945389607,144.10599215379804,10.974077224731444,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,0.1733653275430562,0.0524741168050866,171.71395219077831,11.182316780090332,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,0.2900580417949143,0.3851332023505477,242.37311343255655,11.52512264251709,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,0.3527166697278368,0.6745316843761543,307.358554885284,11.908936500549316,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,0.5014488028531794,1.541158151123375,369.8364927001114,12.766737937927246,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,0.5250720790964785,1.8204211991151709,408.4264997694599,13.262603759765623,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,0.6864222564357405,3.254213578919149,451.3587191529036,14.364805221557615,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,0.7320641410872497,3.924115161804557,480.933150964445,15.280108451843262,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,0.8210419409674614,4.875048804221441,506.4826394220952,16.235376358032227,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,0.9514141382204926,6.781439820998193,137.0829764804743,17.49384117126465,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,0.9723615365786956,6.897244035282151,137.37523987991642,17.65622329711914,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,0.984709738423824,7.0008368150129225,541.8852247155316,17.77912139892578,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,1.0303313637588865,7.441665651277489,244.91027277949937,18.312543869018555,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,1.050261413014539,7.920342895344552,139.1982736666648,18.450851440429688,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,1.0731834586117728,8.60419076732492,560.6682066606949,18.628517150878903,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,1.0936793130919007,8.467828042957041,141.25486506858707,18.72882843017578,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,1.120573194646024,9.516691124531722,140.9796768804493,18.891584396362305,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,1.1390196808473014,10.130983293079884,566.9709526058908,19.000141143798828,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,1.1734465279000403,10.800870363452788,143.25527907215618,19.16640281677246,False
hard_1mm_r1,ball4,20260910_passA_calibgrid,1.1950761616581609,11.648002198494003,163.12788383647015,19.171714782714844,False
soft_3mm_r1,ball4,20260910_passA_calibgrid,0.1078743532358821,0.0237341124087976,136.9156887180421,6.376878261566162,False
