unit,probe,depth_mm,diameter_px,level,suspect_hardware
soft_1mm_r1,ball4,0.1103518738151478,147.48135862783062,6.700160503387451,False
soft_1mm_r1,ball4,0.1698814624214222,175.72309307235963,6.890833854675293,False
soft_1mm_r1,ball4,0.3272637220408647,263.3454224448089,8.069820404052734,False
soft_1mm_r1,ball4,0.3375388801340762,236.87095013497205,7.621864318847656,False
soft_1mm_r1,ball4,0.5375531388366959,336.0240409057944,9.61066436767578,False
soft_1mm_r1,ball4,0.5561916197206074,366.384559174412,10.54305362701416,False
soft_1mm_r1,ball4,0.729634194384289,443.4802881709074,12.465452194213867,False
soft_1mm_r1,ball4,0.7417199467369358,468.1128267918969,13.292502403259276,False
soft_1mm_r1,ball4,0.8885075471134662,462.94359605463984,15.626297950744627,False
soft_1mm_r1,ball4,0.929233481890158,468.73392140855816,15.520516395568848,False
soft_1mm_r1,ball4,0.9382731204361044,475.35977423666,16.325775146484375,False
soft_1mm_r1,ball4,0.9414440969113294,527.0509192429803,16.479785919189453,False
soft_1mm_r1,ball4,0.974010360562243,484.2613747429754,16.979482650756836,False
soft_1mm_r1,ball4,0.9860912143863024,488.2297288449862,17.181154251098633,False
soft_1mm_r1,ball4,1.061225691933206,498.7729492736842,17.829164505004883,False
soft_1mm_r1,ball4,1.0789284165948845,510.0486026055097,18.41310310363769,False
soft_1mm_r1,ball4,1.2192671941849405,523.4159207362819,19.470516204833984,False
soft_1mm_r1,ball4,1.261039521738752,516.2257613806865,19.668333053588867,False
soft_1mm_r1,ball4,1.2727021687009383,521.6261469567968,19.72955894470215,False
soft_2mm_r1,ball4,0.111998611986305,137.35670196202892,6.749484062194824,False
soft_2mm_r1,ball4,0.1820025413788215,175.2587537819183,6.92357063293457,False
soft_2mm_r1,ball4,0.3279868362607629,224.779814159825,7.275635242462158,False
soft_2mm_r1,ball4,0.33546424032453,236.34089537685088,7.4934000968933105,False
soft_2mm_r1,ball4,0.5156146104965664,301.5475892232453,8.621834754943848,False
soft_2mm_r1,ball4,0.5323120997404907,274.06144198604807,8.120887756347656,False
soft_2mm_r1,ball4,0.7207920818776046,342.5220936086851,9.849721908569336,False
soft_2mm_r1,ball4,0.7352334119585144,361.43906403218494,10.407367706298828,False
soft_2mm_r1,ball4,0.909807555884278,399.16562555931375,11.554458618164062,False
soft_2mm_r1,ball4,0.9178859932027308,415.2787938430562,12.155311584472656,False
soft_2mm_r1,ball4,1.1101825661617897,433.8056606257536,13.463895797729492,False
soft_2mm_r1,ball4,1.1186955313151472,439.1627944609593,14.208345413208008,False
soft_2mm_r1,ball4,1.3044074950806852,462.00478759260943,16.014951705932617,False
soft_2mm_r1,ball4,1.3191636682838208,470.0833568911538,16.906124114990234,False
soft_2mm_r1,ball4,1.4515488521842528,524.6805394202066,18.78424644470215,False
soft_2mm_r1,ball4,1.4950662834644284,511.00379500655407,18.646900177001957,False
soft_2mm_r1,ball4,1.5635375478972549,549.7256706619329,20.297334671020508,False
soft_2mm_r1,ball4,1.5838240791572815,552.297514217919,20.00370979309082,False
soft_2mm_r1,ball4,1.6128872445980846,569.4872756403838,20.941713333129883,False
soft_2mm_r1,ball4,1.6184900423798505,567.7855519545288,20.828372955322266,False
soft_2mm_r1,ball4,1.6574005154373026,578.1167825753345,21.410085678100582,False
soft_2mm_r1,ball4,1.6749952399837973,566.6025401709369,21.48078727722168,False
soft_2mm_r1,ball4,1.6991150004703537,584.974005237393,21.85093116760254,False
soft_2mm_r1,ball4,1.7098010855143002,584.869520326699,21.836505889892575,False
soft_2mm_r1,ball4,1.7489714676157284,590.956204204795,22.25971221923828,False
soft_2mm_r1,ball4,1.7510165091962584,591.5010519836591,22.21852684020996,False
soft_2mm_r1,ball4,1.792168294674191,596.9605709071126,22.594757080078125,False
soft_2mm_r1,ball4,1.7932488237529114,598.630405863159,22.582706451416016,False
soft_2mm_r1,ball4,1.8724853439144056,610.1339294711803,22.982393264770508,False
soft_2mm_r1,ball4,1.93914702085884,614.8548331957148,23.42005920410156,False
soft_2mm_r1,ball4,1.9909762995799165,616.9273143501788,23.62813377380371,False
soft_2mm_r1,ball4,2.1654917587027995,627.7389425068595,23.921714782714844,False
soft_3mm_r1,ball4,0.1078743532358821,136.9156887180421,6.376878261566162,False
soft_3mm_r1,ball4,0.182179043863023,167.65071711754985,6.532907009124756,False
soft_3mm_r1,ball4,0.3240732370258925,209.3774361405173,6.91925573348999,False
soft_3mm_r1,ball4,0.3407338635732699,233.3017730277322,7.162541389465332,False
soft_3mm_r1,ball4,0.5161095077463287,282.8250363006109,8.014683723449707,False
soft_3mm_r1,ball4,0.5222373216737033,269.1911629484005,7.726380348205566,False
soft_3mm_r1,ball4,0.7144612617397144,317.26924201326625,8.797100067138672,False
soft_3mm_r1,ball4,0.7161543115269922,335.4760644788694,9.259034156799316,False
soft_3mm_r1,ball4,0.9098146858007894,364.2218485022718,9.95720386505127,False
soft_3mm_r1,ball4,0.9152256088434284,390.1320996504151,10.446526527404783,False
soft_3mm_r1,ball4,1.0921914479748054,424.3650880642712,11.371862411499023,False
soft_3mm_r1,ball4,1.1089194381477334,437.6031315789607,11.85166358947754,False
soft_3mm_r1,ball4,1.2973726778274006,466.11621155465457,13.0468168258667,False
soft_3mm_r1,ball4,1.3380656895607783,488.4331003290291,13.998611450195312,False
soft_3mm_r1,ball4,1.4654686405858437,509.0165823977466,15.022111892700195,False
soft_3mm_r1,ball4,1.5228544415589873,518.9648747065593,15.657255172729492,False
soft_3mm_r1,ball4,1.7014774957615977,540.1990785788113,16.847806930541992,False
soft_3mm_r1,ball4,1.742321125801741,549.2587709342325,17.648021697998047,False
soft_3mm_r1,ball4,1.826703951610007,561.7107308052173,18.514671325683597,False
soft_3mm_r1,ball4,1.9621118798617587,580.6056336826931,19.91654586791992,False
soft_3mm_r1,ball4,1.9711435743861152,574.6109570659675,19.552963256835938,False
soft_3mm_r1,ball4,2.0813178058811665,592.1948446281253,20.807178497314453,False
soft_3mm_r1,ball4,2.091915346137924,593.8255508754926,21.14709854125977,False
soft_3mm_r1,ball4,2.111266689017772,596.1879718573308,21.38675308227539,False
soft_3mm_r1,ball4,2.167823948645644,601.4673768098419,21.811559677124023,False
soft_3mm_r1,ball4,2.1700375040578628,602.6622321433981,21.95887756347656,False
soft_3mm_r1,ball4,2.184022342548353,603.3094246677949,22.118989944458008,False
soft_3mm_r1,ball4,2.2244566837513453,633.0649613574925,22.42131233215332,False
soft_3mm_r1,ball4,2.235483238809639,607.9367256293289,22.45499610900879,False
soft_3mm_r1,ball4,2.2837198132208627,635.6281138337237,22.78742408752441,False
soft_3mm_r1,ball4,2.3053805692824056,636.0656450216961,22.766334533691406,False
soft_3mm_r1,ball4,2.312547356315584,614.9500824800708,22.99841690063477,False
soft_3mm_r1,ball4,2.3202983873303538,651.9024484411174,23.14476776123047,False
soft_3mm_r1,ball4,2.3657272149442363,620.1108296935236,23.313093185424805,False
soft_3mm_r1,ball4,2.373111906082979,656.3220117108416,23.43610191345215,False
soft_3mm_r1,ball4,2.3961635265324723,658.4979516393244,23.54397773742676,False
soft_3mm_r1,ball4,2.4260490882433885,651.2351185819678,23.699731826782227,False
soft_3mm_r1,ball4,2.4451067865882976,661.9538071810726,23.766159057617188,False
soft_3mm_r1,ball4,2.485497538810275,652.2490339754477,23.946741104125977,False
soft_3mm_r1,ball4,2.488163425720721,665.9722139650437,23.94789123535156,False
soft_3mm_r1,ball4,2.541015831540747,670.6133109590442,24.136445999145508,False
medium_1mm_r1,ball4,0.1077135914686735,19.11595536035256,6.237812519073486,False
medium_1mm_r1,ball4,0.1692925275602128,109.09156715640107,6.317468166351318,False
medium_1mm_r1,ball4,0.3284580104025281,195.61682258300428,6.730562210083008,False
medium_1mm_r1,ball4,0.3330942599036426,224.34039476717408,6.985472202301025,False
medium_1mm_r1,ball4,0.4914840662427266,287.6658786352188,8.271411895751953,False
medium_1mm_r1,ball4,0.5179369041754924,267.3496742522755,7.821572780609131,False
medium_1mm_r1,ball4,0.7013497212322584,343.6539840193407,10.559484481811523,False
medium_1mm_r1,ball4,0.7082686589284215,324.4536520354772,9.839113235473633,False
medium_1mm_r1,ball4,0.8988296088169108,376.71137484491624,12.43752670288086,False
medium_1mm_r1,ball4,1.01914330777133,476.990846040996,14.660526275634766,False
medium_1mm_r1,ball4,1.2788830172442474,563.9559606902213,17.236682891845703,False
medium_1mm_r1,ball4,1.3528965136565745,587.863887708339,18.0449161529541,False
medium_1mm_r1,ball4,1.4166093065568646,607.0281407674809,18.572296142578125,False
medium_1mm_r1,ball4,1.4305571864332336,609.8980732506318,18.802059173583984,False
medium_1mm_r1,ball4,1.4728207895575132,614.3306981540921,19.033849716186523,False
medium_1mm_r1,ball4,1.4872694498755763,618.4042880340738,19.239200592041016,False
medium_1mm_r1,ball4,1.5039299456654938,621.6519284446298,19.39005470275879,False
medium_1mm_r1,ball4,1.536213808819337,626.6061319582707,19.58390235900879,False
medium_1mm_r1,ball4,1.584271278353402,631.3692342086598,19.92593765258789,False
medium_1mm_r1,ball4,1.5904558974496084,627.138279910537,19.87403106689453,False
medium_1mm_r1,ball4,1.6037119787833518,633.481149261826,20.038619995117188,False
medium_2mm_r1,ball4,0.1158583438339881,135.00998971346004,6.928541660308838,False
medium_2mm_r1,ball4,0.1721768566041639,182.30570982890785,7.0858964920043945,False
medium_2mm_r1,ball4,0.3302150174283689,230.54860232609113,7.497340202331543,False
medium_2mm_r1,ball4,0.3321139943942945,252.72670718009743,7.7713623046875,False
medium_2mm_r1,ball4,0.5180414988442337,311.0419695261418,8.770064353942871,False
medium_2mm_r1,ball4,0.5405361670537836,296.2871021338176,8.475251197814941,False
medium_2mm_r1,ball4,0.7311948944737523,360.08911224409366,9.839478492736816,False
medium_2mm_r1,ball4,0.7419957842588794,379.50630769699654,10.422682762145996,False
medium_2mm_r1,ball4,0.8862558391971156,403.4898358411353,11.435410499572754,False
