width_px,v,R,rep,metric
854,0.1149261966347694,2572.2064814556247,colour — 마커 남김,res
1280,0.1081495061516761,5778.432256000001,colour — 마커 남김,res
1920,0.1137429401278495,13001.472576000004,colour — 마커 남김,res
8,0.2410095483064651,0.22572001000000003,grey — 마커 남김,res
16,0.1961840540170669,0.9028800400000001,grey — 마커 남김,res
32,0.1521776765584945,3.6115201600000004,grey — 마커 남김,res
48,0.1390802711248397,8.12592036,grey — 마커 남김,res
80,0.1282779723405838,22.572001000000004,grey — 마커 남김,res
160,0.0962963923811912,90.28800400000002,grey — 마커 남김,res
320,0.1183411926031112,361.15201600000006,grey — 마커 남김,res
426,0.1309670954942703,640.0431958556251,grey — 마커 남김,res
640,0.1465224325656891,1444.6080640000002,grey — 마커 남김,res
854,0.1182101145386695,2572.2064814556247,grey — 마커 남김,res
1280,0.1129534170031547,5778.432256000001,grey — 마커 남김,res
1920,0.1142956539988517,13001.472576000004,grey — 마커 남김,res
