sensor,width_px,height_px,split,seed,fx_mae,fy_mae,fz_mae,fz_rmse,res_mae,res_rmse,mag_mae,res_mae_shear,res_mae_normal,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds,sh,res,res_kind,density_px_per_mm2
hard_1mm_r1,1920,1080,cycle,0,0.0217834245413541,0.023322744295001,0.0981520563364029,0.1240167394280433,0.1102405562996864,0.1317424923181533,0.0963330864906311,0.1174732595682144,0.1039377823472023,0.4310285151004791,0.9475429058074952,0.0229617618024349,0.1646454185247421,0.9716132283210754,0.0345768891274929,0.0997246503829956,61,70,none,grey,735,134,131,2.8247201442718506,0.000486397446366,0.0004176140355411,0.0001438213366782,30,30,24,0.1441214552541979,0.2252178550211351,64,4,16,267.9,0.02255308441817755,0.1102405562996864,실측,16384.0
hard_1mm_r1,1920,1080,cycle,1,0.0230856742709875,0.0248752944171428,0.0892146527767181,0.1145896464586258,0.1016923785209655,0.1228345483541488,0.0861636772751808,0.1320071518421173,0.075275219976902,0.4310285151004791,0.95521479845047,0.0255268737673759,0.1646454185247421,0.9677210450172424,0.0346586443483829,0.0686713233590126,61,70,none,grey,735,134,131,2.8247201442718506,0.0005201539606787,0.0004753874673042,0.0001474599121138,30,30,30,0.1361224956050211,0.2206257079074632,64,4,16,267.6,0.023980484344065148,0.1016923785209655,실측,16384.0
hard_1mm_r1,1920,1080,cycle,2,0.0207139793783426,0.0211810786277055,0.1484506875276565,0.1857302784919738,0.1555643230676651,0.1905733048915863,0.143747866153717,0.2282036244869232,0.0922643914818763,0.4310285151004791,0.8823453187942505,0.0232370886951684,0.1646454185247421,0.9681336879730223,0.0378649942576885,0.0880023688077926,61,70,none,grey,735,134,131,2.8247201442718506,0.0006342875421978,0.0004583740665111,0.0001337838039034,30,30,30,0.1255447970361125,0.2145592679283512,64,4,16,266.3,0.020947529003024053,0.1555643230676651,실측,16384.0
hard_1mm_r1,1280,720,cycle,0,0.0260965637862682,0.0211333185434341,0.1188131421804428,0.1505745202302932,0.1295393109321594,0.1574010998010635,0.11326265335083,0.1759747564792633,0.0890741273760795,0.4310285151004791,0.9226702451705932,0.0301751364022493,0.1646454185247421,0.9553133845329284,0.0426107458770275,0.0804996117949485,61,70,none,grey,735,134,131,2.8247201442718506,0.0005434879567474,0.0005078031681478,0.0001459898921893,30,30,29,0.1179932096377522,0.2407347035052171,64,8,8,117.2,0.02361494116485115,0.1295393109321594,실측,7281.777777777777
hard_1mm_r1,1280,720,cycle,1,0.0261767264455556,0.0303090699017047,0.1426103264093399,0.1734824329614639,0.153083398938179,0.1814376413822174,0.1377133429050445,0.215593159198761,0.0986105948686599,0.4310285151004791,0.8973509669303894,0.029749309644103,0.1646454185247421,0.955547571182251,0.043635819107294,0.0908314287662506,61,70,none,grey,735,134,131,2.8247201442718506,0.0007391183171421,0.0004316698177717,0.0001454933662898,30,30,29,0.1328868675394123,0.2395916394333341,64,8,8,116.2,0.02824289817363015,0.153083398938179,실측,7281.777777777777
hard_1mm_r1,1280,720,cycle,2,0.0191789232194423,0.0248327460139989,0.1438990235328674,0.1783539652824401,0.1516880989074707,0.1827998161315918,0.1400067061185836,0.2128201425075531,0.0984158888459205,0.4310285151004791,0.8915051221847534,0.0272790230810642,0.1646454185247421,0.9692774415016174,0.029624281451106,0.0906241312623024,61,70,none,grey,735,134,131,2.8247201442718506,0.0006162411882542,0.0004686424799729,0.0001503206440247,30,30,30,0.1074181646311364,0.242157129209433,64,8,8,116.2,0.0220058346167206,0.1516880989074707,실측,7281.777777777777
hard_1mm_r1,854,480,cycle,0,0.017889130860567,0.0289889816194772,0.098429687321186,0.1287348121404647,0.1113459765911102,0.1357211619615554,0.0951069220900535,0.1416547745466232,0.0849340036511421,0.4310285151004791,0.943475604057312,0.0245087631046772,0.1646454185247421,0.9715978503227234,0.0299807768315076,0.0719352066516876,61,70,none,grey,735,134,131,2.8247201442718506,0.001118070911616,0.0004397323937155,0.0001407555682817,30,30,21,0.1945981171666359,0.2496231625329202,64,16,4,54.6,0.0234390562400221,0.1113459765911102,실측,3241.404444444444
hard_1mm_r1,854,480,cycle,1,0.0174327120184898,0.0304840672761201,0.1474185734987259,0.1808345019817352,0.1557342410087585,0.1874787360429763,0.141611635684967,0.2151756584644317,0.1039352864027023,0.4310285151004791,0.8884662389755249,0.0262900982052087,0.1646454185247421,0.9585648775100708,0.0422560460865497,0.1000594720244407,61,70,none,grey,735,134,131,2.8247201442718506,0.0007746479823254,0.0004748812352772,0.0001421695778844,30,30,28,0.1691987203091991,0.2438704398140978,64,16,4,53.3,0.02395838964730495,0.1557342410087585,실측,3241.404444444444
hard_1mm_r1,854,480,cycle,2,0.0271437130868434,0.0246006064116954,0.1038904711604118,0.1323860138654709,0.1182101145386695,0.1407621502876281,0.1015717461705207,0.1422704011201858,0.0972433164715766,0.4310285151004791,0.9402238130569458,0.0292678922414779,0.1646454185247421,0.960160791873932,0.0334696508944034,0.085454486310482,61,70,none,grey,735,134,131,2.8247201442718506,0.0005798536003567,0.0007923036464489,0.000139183117426,30,30,26,0.1758941470360269,0.2416761134987446,64,16,4,53.2,0.025872159749269402,0.1182101145386695,실측,3241.404444444444
hard_1mm_r1,640,360,cycle,0,0.0304776206612586,0.0382143221795558,0.1830132603645324,0.2204100042581558,0.1961035579442978,0.2292390018701553,0.1764611154794693,0.2649794220924377,0.1360832005739212,0.4310285151004791,0.8343061208724976,0.0387086346745491,0.1646454185247421,0.9267370700836182,0.0545997098088264,0.1246767863631248,61,70,none,grey,735,134,131,2.8247201442718506,0.0008421435486525,0.0006142155034467,0.0001584255514899,30,30,26,0.1981122493743896,0.2836970784770908,64,32,2,30.6,0.0343459714204072,0.1961035579442978,실측,1820.4444444444443
