axis,width_px,density_px_per_mm2,mae
Fx,8,0.22572001000000003,0.0626962482929229
Fx,16,0.9028800400000001,0.0478797033429145
Fx,32,3.6115201600000004,0.0401299446821212
Fx,48,8.12592036,0.0334300249814987
Fx,80,22.572001000000004,0.0292462836951017
Fx,160,90.28800400000002,0.0307934787124395
Fx,320,361.15201600000006,0.0343028157949447
Fx,426,640.0431958556251,0.0337652489542961
Fx,640,1444.6080640000002,0.0324509479105472
Fx,854,2572.2064814556247,0.0321569070219993
Fx,1280,5778.432256000001,0.0278099495917558
Fx,1920,13001.472576000004,0.0258614644408226
Fy,8,0.22572001000000003,0.0767328143119812
Fy,16,0.9028800400000001,0.055438794195652
Fy,32,3.6115201600000004,0.0423224978148937
Fy,48,8.12592036,0.0384977087378501
Fy,80,22.572001000000004,0.0389033630490303
Fy,160,90.28800400000002,0.0346565581858158
Fy,320,361.15201600000006,0.0435387901961803
Fy,426,640.0431958556251,0.0411679930984973
Fy,640,1444.6080640000002,0.0373680405318737
Fy,854,2572.2064814556247,0.0385218746960163
Fy,1280,5778.432256000001,0.0360680259764194
Fy,1920,13001.472576000004,0.0348123423755168
Fz,8,0.22572001000000003,0.1694247871637344
Fz,16,0.9028800400000001,0.1413367241621017
Fz,32,3.6115201600000004,0.1168259233236312
Fz,48,8.12592036,0.1115237474441528
Fz,80,22.572001000000004,0.0932724699378013
Fz,160,90.28800400000002,0.0962661281228065
Fz,320,361.15201600000006,0.087947778403759
Fz,426,640.0431958556251,0.1024371087551117
Fz,640,1444.6080640000002,0.1091124787926673
Fz,854,2572.2064814556247,0.1055187955498695
Fz,1280,5778.432256000001,0.0943896993994712
Fz,1920,13001.472576000004,0.0991878658533096
