sensor,width_px,height_px,split,seed,fx_mae,fy_mae,fz_mae,fz_rmse,res_mae,res_rmse,mag_mae,res_mae_shear,res_mae_normal,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds,sh,res,res_kind,density_px_per_mm2
hard_1mm_r1,1920,1080,cycle,0,0.0197345186024904,0.0268450807780027,0.0943101420998573,0.1240912526845932,0.1077291667461395,0.1330440491437912,0.0913950726389885,0.150075078010559,0.0708277225494384,0.4310285151004791,0.9474798440933228,0.0263089034706354,0.1646454185247421,0.957828938961029,0.0439983531832695,0.0652978792786598,61,70,none,colour,735,134,131,2.8247201442718506,0.0005182343884371,0.0003831364156212,0.0001423789653927,30,30,22,0.1609122717258881,0.2278789844530732,64,4,16,270.6,0.02328979969024655,0.1077291667461395,실측,16384.0
hard_1mm_r1,1920,1080,cycle,1,0.0212679952383041,0.0233391821384429,0.1126636117696762,0.1451258361339569,0.1232485771179199,0.1505553424358368,0.1088229492306709,0.1679013222455978,0.0843368917703628,0.4310285151004791,0.9281654357910156,0.0262452904134988,0.1646454185247421,0.9690448045730592,0.035478688776493,0.0756168067455291,61,70,none,colour,735,134,131,2.8247201442718506,0.0005869105807505,0.0006534987478516,0.0001454041484976,30,30,25,0.1666203915261898,0.224114524339562,64,4,16,269.9,0.0223035886883735,0.1232485771179199,실측,16384.0
hard_1mm_r1,1920,1080,cycle,2,0.0183224324136972,0.0269528347998857,0.1064076721668243,0.1387397944927215,0.1169331446290016,0.1459231227636337,0.1058434918522834,0.1568463742733001,0.0821516066789627,0.4310285151004791,0.9343483448028564,0.0260392036288976,0.1646454185247421,0.9621235132217408,0.0427610613405704,0.0781068950891494,61,70,none,colour,735,134,131,2.8247201442718506,0.0005933374050073,0.0004359551530797,0.0001506779517512,30,30,29,0.1302654602292443,0.2090298773637458,64,4,16,269.4,0.02263763360679145,0.1169331446290016,실측,16384.0
hard_1mm_r1,1280,720,cycle,0,0.0181944202631711,0.0222829040139913,0.0986601263284683,0.1273639500141143,0.1077926978468895,0.1326424181461334,0.0976413115859031,0.1316814720630645,0.0869753658771514,0.4310285151004791,0.9446730613708496,0.0245760791003704,0.1646454185247421,0.9743862748146056,0.0309358797967433,0.0800749063491821,61,70,none,colour,735,134,131,2.8247201442718506,0.0005162357119843,0.0003825591702479,0.0001418315951013,30,30,22,0.1440213371296318,0.2204365383333234,64,8,8,116.5,0.0202386621385812,0.1077926978468895,실측,7281.777777777777
hard_1mm_r1,1280,720,cycle,1,0.0157513506710529,0.0240903291851282,0.1479568481445312,0.1805557906627655,0.1544410735368728,0.1845806688070297,0.1443725526332855,0.2212243229150772,0.0962442457675933,0.4310285151004791,0.8888098001480103,0.0221660993993282,0.1646454185247421,0.9756476283073424,0.0312365181744098,0.0910104364156723,61,70,none,colour,735,134,131,2.8247201442718506,0.0006916101556271,0.0003858993004541,0.0001495469623478,30,30,24,0.132954863220656,0.2273636656021004,64,8,8,116.2,0.01992083992809055,0.1544410735368728,실측,7281.777777777777
hard_1mm_r1,1280,720,cycle,2,0.0163837522268295,0.0198922865092754,0.1226321086287498,0.1531118899583816,0.1297623664140701,0.1571437716484069,0.1192030161619186,0.1751187741756439,0.0902375280857086,0.4310285151004791,0.9200420379638672,0.0213766135275363,0.1646454185247421,0.9760034084320068,0.0311418771743774,0.0862618759274482,61,70,none,colour,735,134,131,2.8247201442718506,0.0005096276290714,0.0003802399442065,0.0001524886029073,30,30,30,0.1010404583548202,0.2189062184362269,64,8,8,116.0,0.01813801936805245,0.1297623664140701,실측,7281.777777777777
hard_1mm_r1,854,480,cycle,0,0.0174091327935457,0.0191926974803209,0.1064508110284805,0.1406364440917968,0.114506259560585,0.1452241688966751,0.1043378859758377,0.1602623462677002,0.0746331214904785,0.4310285151004791,0.9325410723686218,0.0208074636757373,0.1646454185247421,0.9778967499732972,0.0289696808904409,0.0695134550333023,61,70,none,colour,735,134,131,2.8247201442718506,0.0005381081718951,0.0004358294245321,0.0001604764693183,30,30,30,0.1340620194973588,0.2403121163595968,64,16,4,54.6,0.0183009151369333,0.114506259560585,실측,3241.404444444444
hard_1mm_r1,854,480,cycle,1,0.0141845047473907,0.0202538575977087,0.0917369648814201,0.1154336184263229,0.1005059108138084,0.1206007897853851,0.0893532037734985,0.1322870552539825,0.072810910642147,0.4310285151004791,0.9545526504516602,0.0199397895485162,0.1646454185247421,0.97776997089386,0.0291390027850866,0.0681381747126579,61,70,none,colour,735,134,131,2.8247201442718506,0.0004861497727688,0.0003695386694744,0.0001398828462697,30,30,29,0.1152598428077438,0.2067314795593717,64,16,4,53.2,0.0172191811725497,0.1005059108138084,실측,3241.404444444444
hard_1mm_r1,854,480,cycle,2,0.0145076774060726,0.0190332718193531,0.1084140464663505,0.140880137681961,0.1149261966347694,0.1449895799160003,0.1048495769500732,0.1680943518877029,0.0685939416289329,0.4310285151004791,0.9323070645332336,0.0215486697852611,0.1646454185247421,0.9747183918952942,0.0331189297139644,0.0643424913287162,61,70,none,colour,735,134,131,2.8247201442718506,0.0004989828448742,0.0003554878931026,0.000149162922753,30,30,28,0.1285724682872798,0.2206579918292031,64,16,4,53.2,0.01677047461271285,0.1149261966347694,실측,3241.404444444444
hard_1mm_r1,640,360,cycle,0,0.0207121018320322,0.0206340681761503,0.1322954893112182,0.163781851530075,0.1400604844093322,0.1689833402633667,0.1277393847703933,0.1804421544075012,0.1048707291483879,0.4310285151004791,0.9085096120834352,0.0237381123006343,0.1646454185247421,0.9675353765487672,0.0361642874777317,0.1007925346493721,61,70,none,colour,735,134,131,2.8247201442718506,0.0008042828994803,0.0008400915539823,0.0001449137344025,30,30,29,0.1961777764923718,0.2546834287358753,64,32,2,30.6,0.02067308500409125,0.1400604844093322,실측,1820.4444444444443
