approach,depth_mm,force_N,area_px,base_height_mm,step_mm,fine
1,0.10660973068783619,0.021950138988549382,0,26.01959112307621,0.1,False
1,0.1556980426119452,0.009282420876721176,0,26.01959112307621,0.1,False
1,0.3027774961649605,-0.012934366164134303,0,26.01959112307621,0.1,False
1,0.3538182876880889,0.09042698257977974,4755,26.01959112307621,0.1,False
1,0.43533315239498194,0.1887526775239195,16249,26.01959112307621,0.02,True
1,0.4140724831588898,0.16370791410412835,22838,26.01959112307621,0.02,True
1,0.43179208026441174,0.20564997565954002,35590,26.01959112307621,0.02,True
1,0.471877753522854,0.28839163777287524,67470,26.01959112307621,0.02,True
1,0.462855377666763,0.26998149432314167,68925,26.01959112307621,0.02,True
1,0.4735200781539355,0.3061550626751227,85330,26.01959112307621,0.02,True
1,0.5389168361052654,0.4388780302758818,102337,26.01959112307621,0.02,True
1,0.5002646751444644,0.3519609406897814,104688,26.01959112307621,0.02,True
1,0.5284945937357435,0.4052613186869422,114636,26.01959112307621,0.02,True
1,0.5690354999984812,0.506720104553736,122909,26.01959112307621,0.02,True
1,0.5516911559580819,0.44333871046789,123782,26.01959112307621,0.02,True
1,0.5715451063866297,0.5144785232877893,126221,26.01959112307621,0.02,True
1,0.6236914407589644,0.6287829183704445,131945,26.01959112307621,0.02,True
1,0.6027824860980715,0.5782496025802061,131966,26.01959112307621,0.02,True
1,0.6180496062627157,0.6435981231596628,135657,26.01959112307621,0.02,True
1,0.6699179223970297,0.7541481318401452,138725,26.01959112307621,0.02,True
1,0.642372831849567,0.6831759170951557,139187,26.01959112307621,0.02,True
1,0.6668325272169326,0.7230235833478418,141737,26.01959112307621,0.02,True
1,0.7081637907112217,0.8175740316626673,144327,26.01959112307621,0.02,True
1,0.6935613352662244,0.7837427794248868,145463,26.01959112307621,0.02,True
1,0.7109390752546965,0.8421249961866721,147221,26.01959112307621,0.02,True
1,0.7596713018076429,0.9487728527743172,148948,26.01959112307621,0.02,True
1,0.7383488030692362,0.9142368211192234,150478,26.01959112307621,0.02,True
1,0.7660718485665257,0.9837784304732053,151744,26.01959112307621,0.02,True
1,0.8076158037971126,1.061521737112659,155028,26.01959112307621,0.02,True
2,0.05729399770055821,0.016967071760677754,0,26.02014924641036,0.1,False
2,0.2126876598738079,-0.0017625089015268713,0,26.02014924641036,0.1,False
2,0.25747114555009176,0.00825422678142047,0,26.02014924641036,0.1,False
2,0.40987490977621377,0.15806536495692,4396,26.02014924641036,0.1,False
2,0.39995247508208465,0.13130986809599107,9785,26.02014924641036,0.02,True
