t,x,y,z,rx,ry,rz
1788453661.027401,37.9015,362.8683,39.8152,-179.2429,-0.5675,-118.0183
1788453661.047556,37.9033,362.8659,39.8152,-179.2426,-0.5679,-118.0185
1788453661.067713,37.9021,362.8699,39.8139,-179.2432,-0.5675,-118.0185
1788453661.087901,37.9021,362.8698,39.8156,-179.2432,-0.5675,-118.0185
1788453661.108090,37.9022,362.8693,39.816,-179.2431,-0.5677,-118.0183
1788453661.128257,37.9011,362.8678,39.8139,-179.243,-0.5679,-118.0181
1788453661.148422,37.9016,362.8679,39.8139,-179.2428,-0.5677,-118.0183
1788453661.168620,37.9008,362.8695,39.8143,-179.2431,-0.5677,-118.0183
1788453661.188832,37.9029,362.8682,39.8152,-179.2429,-0.5675,-118.0185
1788453661.208908,37.901,362.8682,39.8152,-179.2431,-0.5677,-118.018
1788453661.228982,37.9029,362.8682,39.8152,-179.2429,-0.5675,-118.0185
1788453661.249057,37.9038,362.8679,39.8152,-179.2431,-0.5677,-118.0187
1788453661.269130,37.9028,362.869,39.8147,-179.2428,-0.5677,-118.0185
1788453661.289284,37.9019,362.8707,39.8134,-179.2431,-0.5677,-118.0183
1788453661.309439,37.9015,362.8733,39.8165,-179.2435,-0.5672,-118.0185
1788453661.329593,37.9017,362.872,39.8157,-179.2435,-0.5672,-118.0187
1788453661.349808,37.9003,362.8721,39.8174,-179.2435,-0.5672,-118.018
1788453661.370015,37.9004,362.8717,39.8161,-179.2433,-0.5673,-118.0183
1788453661.390087,37.9002,362.8729,39.8169,-179.2433,-0.5673,-118.0183
1788453661.410240,37.9018,362.8716,39.8161,-179.2433,-0.5673,-118.0183
1788453661.430394,37.9012,362.8701,39.8156,-179.243,-0.5674,-118.0183
1788453661.450547,37.9021,362.8724,39.8156,-179.243,-0.5674,-118.0185
1788453661.470722,37.9023,362.8717,39.8143,-179.2432,-0.5672,-118.0183
1788453661.490797,37.9019,362.8706,39.8151,-179.2431,-0.5677,-118.0183
1788453661.510911,37.9004,362.8717,39.8161,-179.2433,-0.5673,-118.0183
1788453661.530983,37.9019,362.8711,39.8147,-179.2432,-0.5675,-118.0183
1788453661.551122,37.901,362.8714,39.8147,-179.243,-0.5674,-118.0183
1788453661.571252,37.9008,362.8722,39.8174,-179.2433,-0.567,-118.018
1788453661.591393,37.9014,362.8738,39.8161,-179.2436,-0.567,-118.0185
1788453661.611548,37.9018,362.8715,39.8178,-179.2433,-0.5673,-118.0185
1788453661.631709,37.9015,362.8733,39.8165,-179.2435,-0.5672,-118.0185
1788453661.651870,37.9019,362.8711,39.8147,-179.2432,-0.5675,-118.0185
1788453661.672030,37.9018,362.8716,39.8161,-179.2433,-0.5673,-118.0185
1788453661.692203,37.8996,362.8733,39.8165,-179.2437,-0.5673,-118.0183
1788453661.712365,37.9005,362.8712,39.8165,-179.2432,-0.5675,-118.0183
1788453661.732529,37.9032,362.8714,39.8161,-179.2433,-0.5673,-118.0187
1788453661.752700,37.9008,362.8723,39.8157,-179.2433,-0.567,-118.0183
1788453661.772871,37.9001,362.8735,39.8148,-179.2435,-0.5672,-118.0183
1788453661.792948,37.9002,362.8725,39.8156,-179.2432,-0.5675,-118.0183
1788453661.813056,37.9028,362.8731,39.8165,-179.2435,-0.5672,-118.0187
1788453661.833244,37.9008,362.8726,39.8156,-179.243,-0.5674,-118.0183
1788453661.853409,37.9004,362.8717,39.8161,-179.2433,-0.5673,-118.0183
