principle,unit,hardness,thickness_mm,rep,metric,value
9DTact,hard_1mm_r2,hard,1,2,자국 지름 기울기 ball4 (px/mm),543.7658857963745
9DTact,hard_1mm_r2,hard,1,2,밝기 기울기 ball4 (lvl/mm),8.852777659503378
9DTact,hard_2mm_r1,hard,2,1,자국 지름 기울기 ball4 (px/mm),551.4473065960135
9DTact,hard_2mm_r1,hard,2,1,밝기 기울기 ball4 (lvl/mm),11.328599543775782
9DTact,hard_2mm_r2,hard,2,2,자국 지름 기울기 ball4 (px/mm),562.3999424790886
9DTact,hard_2mm_r2,hard,2,2,밝기 기울기 ball4 (lvl/mm),12.35962670822491
9DTact,medium_1mm_r1,medium,1,1,자국 지름 기울기 ball4 (px/mm),230.46942839600987
9DTact,medium_1mm_r1,medium,1,1,밝기 기울기 ball4 (lvl/mm),11.382722390796436
9DTact,soft_1mm_r1,soft,1,1,자국 지름 기울기 ball4 (px/mm),463.48144747126673
9DTact,soft_1mm_r1,soft,1,1,밝기 기울기 ball4 (lvl/mm),6.172384517705332
9DTact,soft_1mm_r2,soft,1,2,자국 지름 기울기 ball4 (px/mm),317.096680715374
9DTact,soft_1mm_r2,soft,1,2,밝기 기울기 ball4 (lvl/mm),10.50876969478133
9DTact,soft_2mm_r1,soft,2,1,자국 지름 기울기 ball4 (px/mm),386.26037876180334
9DTact,soft_2mm_r1,soft,2,1,밝기 기울기 ball4 (lvl/mm),12.881748191199078
9DTact,soft_2mm_r2,soft,2,2,자국 지름 기울기 ball4 (px/mm),686.9356376224753
9DTact,soft_2mm_r2,soft,2,2,밝기 기울기 ball4 (lvl/mm),12.45367289308304
9DTact,soft_3mm_r1,soft,3,1,자국 지름 기울기 ball4 (px/mm),589.0393115146466
9DTact,soft_3mm_r1,soft,3,1,밝기 기울기 ball4 (lvl/mm),11.17260591566694
9DTact,hard_1mm_r1,hard,1,1,자국 지름 기울기 ball8 (px/mm),332.84009243365017
9DTact,hard_1mm_r1,hard,1,1,밝기 기울기 ball8 (lvl/mm),4.799222613106607
9DTact,hard_2mm_r1,hard,2,1,자국 지름 기울기 ball8 (px/mm),464.3170110553484
9DTact,hard_2mm_r1,hard,2,1,밝기 기울기 ball8 (lvl/mm),6.97427211681875
9DTact,hard_2mm_r2,hard,2,2,자국 지름 기울기 ball8 (px/mm),359.00298230499305
9DTact,hard_2mm_r2,hard,2,2,밝기 기울기 ball8 (lvl/mm),6.458208614233602
9DTact,hard_3mm_r1,hard,3,1,자국 지름 기울기 ball8 (px/mm),546.7287949619356
9DTact,hard_3mm_r1,hard,3,1,밝기 기울기 ball8 (lvl/mm),8.031789595361621
9DTact,hard_3mm_r2,hard,3,2,자국 지름 기울기 ball8 (px/mm),452.6197215362564
9DTact,hard_3mm_r2,hard,3,2,밝기 기울기 ball8 (lvl/mm),5.5322376118694025
9DTact,medium_1mm_r1,medium,1,1,자국 지름 기울기 ball8 (px/mm),229.18549413362493
9DTact,medium_1mm_r1,medium,1,1,밝기 기울기 ball8 (lvl/mm),4.910811014935804
9DTact,medium_1mm_r2,medium,1,2,자국 지름 기울기 ball8 (px/mm),259.0377411144692
9DTact,medium_1mm_r2,medium,1,2,밝기 기울기 ball8 (lvl/mm),3.448248287555014
9DTact,medium_2mm_r2,medium,2,2,자국 지름 기울기 ball8 (px/mm),307.9337853480856
9DTact,medium_2mm_r2,medium,2,2,밝기 기울기 ball8 (lvl/mm),9.33789119885151
9DTact,medium_3mm_r1,medium,3,1,자국 지름 기울기 ball8 (px/mm),305.6760833313709
9DTact,medium_3mm_r1,medium,3,1,밝기 기울기 ball8 (lvl/mm),10.164772080759615
9DTact,medium_3mm_r2,medium,3,2,자국 지름 기울기 ball8 (px/mm),324.0219609554625
9DTact,medium_3mm_r2,medium,3,2,밝기 기울기 ball8 (lvl/mm),9.706811717520663
9DTact,soft_1mm_r1,soft,1,1,자국 지름 기울기 ball8 (px/mm),321.3600716641024
9DTact,soft_1mm_r1,soft,1,1,밝기 기울기 ball8 (lvl/mm),5.391922172531981
9DTact,soft_1mm_r2,soft,1,2,자국 지름 기울기 ball8 (px/mm),295.19740075522066
9DTact,soft_1mm_r2,soft,1,2,밝기 기울기 ball8 (lvl/mm),5.350642287070761
9DTact,soft_2mm_r1,soft,2,1,자국 지름 기울기 ball8 (px/mm),285.0996825752356
9DTact,soft_2mm_r1,soft,2,1,밝기 기울기 ball8 (lvl/mm),9.610293216784026
9DTact,soft_2mm_r2,soft,2,2,자국 지름 기울기 ball8 (px/mm),293.5394590128184
9DTact,soft_2mm_r2,soft,2,2,밝기 기울기 ball8 (lvl/mm),11.452704934225387
9DTact,soft_3mm_r1,soft,3,1,자국 지름 기울기 ball8 (px/mm),256.0518805833023
9DTact,soft_3mm_r1,soft,3,1,밝기 기울기 ball8 (lvl/mm),11.192304847092997
9DTact,soft_3mm_r2,soft,3,2,자국 지름 기울기 ball8 (px/mm),271.9648329024181
9DTact,soft_3mm_r2,soft,3,2,밝기 기울기 ball8 (lvl/mm),11.42851487898156
9DTact,hard_1mm_r1,hard,1,1,Fz MAE 중앙 (N),0.0375372618436813
9DTact,hard_1mm_r1,hard,1,1,Fx MAE 중앙 (N),0.020607940852641997
9DTact,hard_1mm_r1,hard,1,1,Fy MAE 중앙 (N),0.024276015348732402
9DTact,hard_1mm_r1,hard,1,1,Fz 최솟값 (N),0.0242258328944444
9DTact,hard_1mm_r2,hard,1,2,Fz MAE 중앙 (N),0.0428644102066755
9DTact,hard_1mm_r2,hard,1,2,Fx MAE 중앙 (N),0.021814760752022197
9DTact,hard_1mm_r2,hard,1,2,Fy MAE 중앙 (N),0.025923122651874998
9DTact,hard_1mm_r2,hard,1,2,Fz 최솟값 (N),0.034729354083538
9DTact,hard_2mm_r1,hard,2,1,Fz MAE 중앙 (N),0.041900122538208906
9DTact,hard_2mm_r1,hard,2,1,Fx MAE 중앙 (N),0.031572610139846746
9DTact,hard_2mm_r1,hard,2,1,Fy MAE 중앙 (N),0.028852987103164147
9DTact,hard_2mm_r1,hard,2,1,Fz 최솟값 (N),0.0312153156846761
9DTact,hard_2mm_r2,hard,2,2,Fz MAE 중앙 (N),0.037121117115020696
9DTact,hard_2mm_r2,hard,2,2,Fx MAE 중앙 (N),0.024182255379855598
9DTact,hard_2mm_r2,hard,2,2,Fy MAE 중앙 (N),0.024992484599351848
9DTact,hard_2mm_r2,hard,2,2,Fz 최솟값 (N),0.0261730086058378
9DTact,hard_3mm_r1,hard,3,1,Fz MAE 중앙 (N),0.05058903060853475
9DTact,hard_3mm_r1,hard,3,1,Fx MAE 중앙 (N),0.03402043692767615
9DTact,hard_3mm_r1,hard,3,1,Fy MAE 중앙 (N),0.0361562371253967
9DTact,hard_3mm_r1,hard,3,1,Fz 최솟값 (N),0.0412977263331413
9DTact,hard_3mm_r2,hard,3,2,Fz MAE 중앙 (N),0.055311543866991955
9DTact,hard_3mm_r2,hard,3,2,Fx MAE 중앙 (N),0.0314176538959145
9DTact,hard_3mm_r2,hard,3,2,Fy MAE 중앙 (N),0.037691893056035
9DTact,hard_3mm_r2,hard,3,2,Fz 최솟값 (N),0.0430141352117061
9DTact,medium_1mm_r1,medium,1,1,Fz MAE 중앙 (N),0.0542378984391689
9DTact,medium_1mm_r1,medium,1,1,Fx MAE 중앙 (N),0.0239716842770576
9DTact,medium_1mm_r1,medium,1,1,Fy MAE 중앙 (N),0.02589713409543035
9DTact,medium_1mm_r1,medium,1,1,Fz 최솟값 (N),0.0478156991302967
9DTact,medium_1mm_r2,medium,1,2,Fz MAE 중앙 (N),0.0566767323762178
9DTact,medium_1mm_r2,medium,1,2,Fx MAE 중앙 (N),0.032670989632606506
9DTact,medium_1mm_r2,medium,1,2,Fy MAE 중앙 (N),0.0356953870505094
9DTact,medium_1mm_r2,medium,1,2,Fz 최솟값 (N),0.0453462414443492
9DTact,medium_2mm_r2,medium,2,2,Fz MAE 중앙 (N),0.055620718747377354
9DTact,medium_2mm_r2,medium,2,2,Fx MAE 중앙 (N),0.0258097844198346
9DTact,medium_2mm_r2,medium,2,2,Fy MAE 중앙 (N),0.02774149551987645
9DTact,medium_2mm_r2,medium,2,2,Fz 최솟값 (N),0.0422314368188381
9DTact,medium_3mm_r1,medium,3,1,Fz MAE 중앙 (N),0.0528630372136831
9DTact,medium_3mm_r1,medium,3,1,Fx MAE 중앙 (N),0.03123032767325635
9DTact,medium_3mm_r1,medium,3,1,Fy MAE 중앙 (N),0.03520426526665685
9DTact,medium_3mm_r1,medium,3,1,Fz 최솟값 (N),0.0428206585347652
9DTact,medium_3mm_r2,medium,3,2,Fz MAE 중앙 (N),0.0538079477846622
9DTact,medium_3mm_r2,medium,3,2,Fx MAE 중앙 (N),0.03518140688538545
9DTact,medium_3mm_r2,medium,3,2,Fy MAE 중앙 (N),0.03070663753896945
9DTact,medium_3mm_r2,medium,3,2,Fz 최솟값 (N),0.0416482985019683
9DTact,soft_1mm_r1,soft,1,1,Fz MAE 중앙 (N),0.05180347152054305
9DTact,soft_1mm_r1,soft,1,1,Fx MAE 중앙 (N),0.0289314799010753
9DTact,soft_1mm_r1,soft,1,1,Fy MAE 중앙 (N),0.02621948253363365
9DTact,soft_1mm_r1,soft,1,1,Fz 최솟값 (N),0.0446228422224521
9DTact,soft_1mm_r2,soft,1,2,Fz MAE 중앙 (N),0.06558683514595025
