width_px,lo,hi,fz_share,fx_mae,fy_mae,fz_mae,principle,density_px_per_mm2
8,0.10900985578423818,0.1776653453707694,0.6899794832243068,0.0440719984471797,0.0454352796077728,0.0885070040822029,9DTact,0.1359291827311094
16,0.08519969271617837,0.1350510790944098,0.6164005858158216,0.0334223732352256,0.0340087376534938,0.0679261609911918,9DTact,0.5437167309244376
32,0.07630910381649526,0.1157951410859822,0.6447081991159253,0.0274498686194419,0.0307916272431612,0.0584669895470142,9DTact,2.1748669236977505
48,0.06557442978859392,0.1095756348222493,0.6211265950608864,0.0246032159775495,0.0279667489230632,0.0509831011295318,9DTact,4.893450578319937
80,0.059717677097309754,0.0976577326655386,0.6366603776199213,0.0238886792212724,0.0257141608744859,0.0478156991302967,9DTact,13.592918273110941
160,0.0690847514630107,0.115841619670391,0.5745477628838712,0.0270174480974674,0.0294820498675107,0.0513167567551136,9DTact,54.371673092443764
320,0.06484875435839883,0.10486812144517879,0.5736934757993833,0.0284765865653753,0.0268809385597705,0.0458286888897419,9DTact,217.48669236977506
426,0.06727627466705417,0.113687703385949,0.503761424286872,0.0293292682617902,0.0327549092471599,0.050867848098278,9DTact,385.43569320798133
640,0.060698461858095416,0.10006537288427339,0.5559724565729989,0.0310172494500875,0.0294529926031827,0.0471390560269355,9DTact,869.9467694791002
854,0.06695530409983637,0.1111401896923779,0.5355283079554926,0.0317674167454242,0.0284099001437425,0.0506737753748893,9DTact,1548.989497386278
1280,0.06491807659082317,0.10832139477133729,0.6064008720596955,0.0298707094043493,0.0268583614379167,0.0476368144154548,9DTact,3479.787077916401
1920,0.07072805768987028,0.1164696291089056,0.5272548837596466,0.0313747487962245,0.0315006114542484,0.0520202070474624,9DTact,7829.520925311901
8,0.14647606892978815,0.24594257585704318,0.6950503241482684,0.056690363213419845,0.06010455079376695,0.11736071482300756,DIGIT,0.18037916856054437
16,0.10518614118858682,0.16714745573699455,0.7342159689091452,0.03369360044598575,0.04034543782472605,0.08454346656799315,DIGIT,0.7215166742421775
32,0.08401673626093212,0.14022261276841147,0.7187520457108895,0.0290838694199919,0.03672356158494945,0.06641542911529535,DIGIT,2.88606669696871
48,0.07837454255160478,0.1259319176897405,0.739790690284755,0.02753399219363925,0.0333046652376651,0.0602749958634376,DIGIT,6.493650068179597
80,0.07190144546658989,0.1190270269289611,0.7217767285270581,0.0273280758410692,0.03274341672658915,0.0585962291806936,DIGIT,18.037916856054437
160,0.08389265138232563,0.13318109139800055,0.7024912764522638,0.0294440202414989,0.0365183595567941,0.0669514425098896,DIGIT,72.15166742421775
320,0.08759098330389331,0.1409737030044196,0.739892259689479,0.030119606293737798,0.033220807090401594,0.07218293100595469,DIGIT,288.606669696871
426,0.07843377906598886,0.12761362083256234,0.6817740563831429,0.02770347520709035,0.03329733014106745,0.0644280575215816,DIGIT,511.47640615145855
640,0.08541001207328801,0.13213704526424397,0.7183362289493593,0.03017371054738755,0.03219966590404505,0.069246981292963,DIGIT,1154.426678787484
854,0.08421984867507054,0.13205391447991122,0.677825845744253,0.03096604440361255,0.03608157671988005,0.0658934265375137,DIGIT,2055.5220890297182
1280,0.08543097532111721,0.13919095322489725,0.6833148548301073,0.0331209115684032,0.03622652776539325,0.0642537102103233,DIGIT,4617.706715149936
1920,0.08942171135626355,0.148310825228691,0.6259083457369075,0.0358557235449552,0.04270746186375615,0.06792567297816274,DIGIT,10389.840109087356
8,0.20088894581738787,0.31224947236478323,0.734247309867595,0.06398110091686246,0.0739391520619392,0.17316855490207667,DIGIT_Marker,0.2240523334722222
16,0.13484991405763636,0.21814302727580054,0.757326845896979,0.042030189186334596,0.055658940225839545,0.11217615008354184,DIGIT_Marker,0.8962093338888888
32,0.12390187492133434,0.19539785757660855,0.7711698139360796,0.04017926752567285,0.046106167137622805,0.10726202651858324,DIGIT_Marker,3.584837335555555
48,0.1061345614286819,0.16505418531596644,0.7627805266196468,0.03437245264649385,0.0405315868556499,0.09092964231967925,DIGIT_Marker,8.065884004999997
80,0.09085860446566657,0.14673299342393858,0.7811963375603128,0.02851122617721555,0.0371250417083501,0.07742184400558465,DIGIT_Marker,22.40523334722222
160,0.0932294063427548,0.14792954269796593,0.7729545983898853,0.02813057694584125,0.03603230044245715,0.07819100841879839,DIGIT_Marker,89.62093338888889
320,0.09427642530073962,0.1501493528485297,0.7936930517748775,0.031436452642083154,0.043044367805123246,0.0809264406561851,DIGIT_Marker,358.48373355555555
426,0.10057445436067464,0.15969733241945488,0.7371281250851838,0.02968071959912775,0.03998713567852965,0.08759382739663116,DIGIT_Marker,635.3143948313282
640,0.1059604927565796,0.16243426501750924,0.7491835249808814,0.0312790302559733,0.03601539880037305,0.09102259576320645,DIGIT_Marker,1433.9349342222222
854,0.11100405096635199,0.1655109599232672,0.8135632078526684,0.0308951381593942,0.03443466499447815,0.10259453952312465,DIGIT_Marker,2553.2023693535502
1280,0.10361592592037065,0.15684015396982415,0.8026201372646361,0.02793557383120055,0.03498806618154045,0.08864220231771465,DIGIT_Marker,5735.739736888889
1920,0.09506303260296992,0.14467026572674496,0.8165656521116624,0.02765395212918515,0.0321286963298916,0.0879876688122749,DIGIT_Marker,12905.414408
