principle,metric,hardness,thickness_mm,r1,r2,rel_diff,worse_rep,typical,ratio
9DTact,골 깊이 best_dip,soft,3,0.289,0.639,0.7543103448275863,2,0.09407086002830692,8.018533524628204
DIGIT_Marker,밝기 기울기 ball4 (lvl/mm),medium,1,10.340161457117755,4.866797382786714,0.7198499229140315,1,0.09690582021862136,7.428345596683837
9DTact,밝기 기울기 ball8 (lvl/mm),hard,3,8.031789595361621,5.5322376118694025,0.36855602621612255,1,0.06146506843624443,5.99618670559869
9DTact,밝기 기울기 ball4 (lvl/mm),soft,1,6.172384517705332,10.50876969478133,0.5199142843281194,2,0.08704975657365212,5.972610433301143
DIGIT_Marker,자국 지름 기울기 ball4 (px/mm),medium,3,72.20882555959831,168.62542123803928,0.8006884150446891,2,0.13828322936808882,5.79020622170588
9DTact,천장 (N),soft,2,30.238843978677988,24.610286158155468,0.2052378153119592,1,0.04212935352686701,4.871610839721848
DIGIT_Marker,Fy MAE 중앙 (N),soft,2,0.06385033950209615,0.0241568386554718,0.9020514389305188,1,0.1881921753839065,4.793246249958907
DIGIT,포화 깊이 (mm),soft,1,0.9599031401923668,1.3153767166200367,0.3124658053499207,2,0.07525334836490453,4.152184748441619
DIGIT,자국 지름 기울기 ball8 (px/mm),medium,3,242.6391616914896,361.0045309616525,0.3921696547508746,2,0.101088910340412,3.87945278498168
DIGIT,Fz 최솟값 (N),medium,1,0.0492114089429378,0.089378722012043,0.5796561817544285,2,0.14988335919893356,3.8673818418032413
DIGIT,밝기 기울기 ball8 (lvl/mm),medium,3,7.856433029172784,9.852365827526947,0.22541707255306548,2,0.06085184408540695,3.704358938353413
9DTact,Fz 최솟값 (N),hard,2,0.0332561768591403,0.0261730086058378,0.23837339172271316,1,0.06647558808922101,3.5858786446955153
9DTact,자국 지름 기울기 ball8 (px/mm),hard,2,464.3170110553484,359.00298230499305,0.2558276966420338,1,0.07257067989129314,3.525221164046548
DIGIT,Fz MAE 중앙 (N),medium,1,0.06314604356884951,0.0988574065268039,0.44087163497899523,2,0.13080010482388335,3.3705755478759722
DIGIT,자국 지름 기울기 ball4 (px/mm),medium,3,151.35543345658985,289.1306730406684,0.6255599781780455,2,0.1858684173417542,3.365606632501935
DIGIT_Marker,Fy MAE 중앙 (N),medium,3,0.0259902765974402,0.049185989424586254,0.6171020204794361,2,0.1881921753839065,3.279105622859006
DIGIT,천장 (N),medium,2,14.138581849754152,22.590942160303705,0.4602488346015589,2,0.14419759758872605,3.1917926671306973
DIGIT_Marker,Fz MAE 중앙 (N),soft,2,0.1315062418580055,0.0973256602883338,0.29873965342308806,1,0.09460956054521281,3.1576053382081173
DIGIT,자국 지름 기울기 ball8 (px/mm),soft,1,321.5622522053266,440.4323477477473,0.31199721244675777,2,0.101088910340412,3.086364383552284
9DTact,Fz 최솟값 (N),soft,1,0.0446228422224521,0.0546674169600009,0.2023274955721723,2,0.06647558808922101,3.04363603824935
9DTact,밝기 기울기 ball8 (lvl/mm),soft,2,9.610293216784026,11.452704934225387,0.17494296910936838,2,0.06146506843624443,2.846217755225159
9DTact,천장 (N),medium,3,38.477407292298594,34.182887472624984,0.11820815848786702,1,0.04212935352686701,2.8058384141233623
DIGIT,Fy MAE 중앙 (N),medium,1,0.02135932445526115,0.0507675446569919,0.8154581105125172,2,0.295848206281573,2.7563395457480193
DIGIT,자국 지름 기울기 ball4 (px/mm),hard,1,413.5452667618863,251.9298492994843,0.4857143822865278,1,0.1858684173417542,2.6132163238547954
9DTact,자국 지름 기울기 ball8 (px/mm),hard,3,546.7287949619356,452.6197215362564,0.1883408478064208,1,0.07257067989129314,2.595274676888035
DIGIT_Marker,Fz 최솟값 (N),hard,1,0.087947778403759,0.1088357791304588,0.21229416713911864,2,0.08213838221246406,2.5845915322508524
9DTact,형상 MAE cube4 최솟값 (mm),soft,2,0.1310601267416568,0.052946142521024,0.8490361174501077,1,0.34490154858227634,2.461676733375321
DIGIT,Fz MAE 중앙 (N),hard,1,0.0790803655982017,0.10936468094587325,0.3214126972617285,2,0.13080010482388335,2.4572816489290794
DIGIT_Marker,Fx MAE 중앙 (N),soft,2,0.03939142450690265,0.0194652006030082,0.6771106520866104,1,0.28095233124225294,2.4100552897806975
DIGIT_Marker,밝기 기울기 ball4 (lvl/mm),hard,3,7.94597290565095,6.310953705674358,0.2293648897200296,1,0.09690582021862136,2.36688456072688
DIGIT,밝기 기울기 ball4 (lvl/mm),hard,1,10.430811784115168,14.75348118366535,0.3432829664966479,2,0.15464114830814032,2.219868193248391
DIGIT_Marker,포화 깊이 (mm),medium,2,1.5152520646213397,1.9627252858517004,0.25731807665136164,2,0.11625779010460295,2.213340511804325
DIGIT_Marker,Fz 최솟값 (N),medium,1,0.1114101260900497,0.1336043328046798,0.18116650596661996,2,0.08213838221246406,2.205625446797866
9DTact,형상 MAE cyl4 최솟값 (mm),hard,2,0.0975424545996847,0.0432631555928541,0.7709820501130408,1,0.35432879280448837,2.175894439768132
9DTact,형상 MAE cyl4 최솟값 (mm),medium,3,0.1047841592014676,0.0484627937184541,0.7350405918014422,1,0.35432879280448837,2.0744591089638686
DIGIT_Marker,자국 지름 기울기 ball4 (px/mm),hard,1,530.5080495218044,397.5337655708648,0.28656959587033604,1,0.13828322936808882,2.0723380353486798
9DTact,Fx MAE 중앙 (N),soft,1,0.02932806313037865,0.04691039212048045,0.4612456779783368,2,0.22386308910174413,2.0603918217563058
DIGIT,Fz 최솟값 (N),hard,1,0.0695246458053588,0.0948507860302925,0.3081499460364091,2,0.14988335919893356,2.0559316770277034
DIGIT,밝기 기울기 ball4 (lvl/mm),hard,3,4.717036766435144,6.354326479567449,0.2957702094587967,2,0.15464114830814032,1.912622951230551
DIGIT_Marker,천장 (N),soft,1,20.516453738273636,12.330521853015586,0.49842834768805316,1,0.2621539484850342,1.9012811005458015
DIGIT_Marker,Fz MAE 중앙 (N),medium,3,0.07201109454035756,0.08570563048124305,0.1736599075210306,2,0.09460956054521281,1.8355429041237386
DIGIT,자국 지름 기울기 ball8 (px/mm),soft,3,306.24021822393007,254.7504727036609,0.18356720121373682,1,0.101088910340412,1.8158985055391654
DIGIT,포화 깊이 (mm),hard,2,1.68118929727925,1.467904162329777,0.1354581168740245,1,0.07525334836490453,1.8000277704214065
9DTact,분해 가능한 최소 간격 (mm),soft,3,2.0,1.25,0.46153846153846156,1,0.25757575757575757,1.7918552036199096
DIGIT,밝기 기울기 ball8 (lvl/mm),hard,2,13.90868376388371,15.5106648635808,0.10890663284105186,2,0.06085184408540695,1.7897014376129492
DIGIT_Marker,천장 (N),medium,2,6.226042374151303,10.027504378909551,0.46777015041869063,2,0.2621539484850342,1.7843337974571634
DIGIT,Fx MAE 중앙 (N),medium,1,0.025309131480753352,0.0399447754025459,0.4485752538301525,2,0.25233855683794215,1.777672264798749
DIGIT,밝기 기울기 ball4 (lvl/mm),medium,3,4.824211840582126,6.343847280059633,0.272139576458507,2,0.15464114830814032,1.7598134742005247
9DTact,골 깊이 best_dip,medium,3,0.656,0.556,0.16501650165016496,1,0.09407086002830692,1.754172350508008
DIGIT,포화 깊이 (mm),hard,1,1.0952844868099518,0.9620606494110469,0.12951044047341034,1,0.07525334836490453,1.7209923981775856
