unit,probe,width_px,depth_mm,dip,dip_sd,imprint_lvl,mtf,verdict,density_px_per_mm2
hard_1mm_r1,pair025,1920,0.1,0.783397357636464,0.01581826546247456,18.156875610351562,0.6439221240836128,분해,12352.154597550414
hard_1mm_r1,pair025,1920,0.2,0.8180179728395274,0.017805677564027053,16.89673614501953,0.6920731060561791,분해,12352.154597550414
hard_1mm_r1,pair025,1920,0.3,0.8885705085517871,0.02250912028681635,14.474364280700684,0.7994843716032435,분해,12352.154597550414
hard_1mm_r1,pair025,1920,0.4,0.9281348624749621,0.021252700949246525,13.176512718200684,0.8659063812990948,분해,12352.154597550414
hard_1mm_r1,pair025,1920,0.5,0.9694911444595412,0.023999766262283905,12.628494262695312,0.9407887562024722,분해,12352.154597550414
hard_1mm_r1,pair025,1920,0.6,0.9743244556213689,0.027956782215153287,11.2620849609375,0.9499343734588394,분해,12352.154597550414
hard_1mm_r1,pair025,1280,0.1,0.7959441317337159,0.014889531111361208,18.120647430419922,0.6610524915922656,분해,5489.846487800184
hard_1mm_r1,pair025,1280,0.2,0.8532598919684954,0.01707812652998334,17.103574752807617,0.7440743425580556,분해,5489.846487800184
hard_1mm_r1,pair025,1280,0.3,0.9060533117640889,0.017991529738615106,14.546585083007812,0.8282426570760797,분해,5489.846487800184
hard_1mm_r1,pair025,1280,0.4,0.9461562724635239,0.021916165642939568,13.509770393371582,0.8978145883880824,분해,5489.846487800184
hard_1mm_r1,pair025,1280,0.5,0.9817125253190299,0.02120493817205154,13.025479316711426,0.9640819019467962,분해,5489.846487800184
hard_1mm_r1,pair025,1280,0.6,0.9824088764626003,0.02084354783036527,12.266181945800781,0.9654259493218679,분해,5489.846487800184
hard_1mm_r1,pair025,854,0.1,0.8242466599545942,0.01266674469429716,17.961240768432617,0.7010370558868777,분해,2443.745654966113
hard_1mm_r1,pair025,854,0.2,0.871245835596798,0.013398281313459423,17.5310001373291,0.7718650022057243,분해,2443.745654966113
hard_1mm_r1,pair025,854,0.3,0.938814459407884,0.015609097357159476,15.304923057556152,0.884684556561191,분해,2443.745654966113
hard_1mm_r1,pair025,854,0.4,0.964377659724254,0.017731800911418575,13.88528823852539,0.9312059253834538,분해,2443.745654966113
hard_1mm_r1,pair025,854,0.5,0.9942937936858746,0.017293259138807016,13.856352806091309,0.9886523394639505,분해,2443.745654966113
