unit,principle,hard,thick,fx_knee,fx_min,fy_knee,fy_min,fz_knee,fz_min
hard_1mm_r1,9DTact,hard,1,32,0.0166076887398958,80,0.0180518180131912,426,0.0235499925911426
hard_1mm_r2,9DTact,hard,1,48,0.0192075483500957,48,0.0179633200168609,48,0.034729354083538
hard_2mm_r1,9DTact,hard,2,80,0.0211611706763505,80,0.021136974915862,854,0.0332561768591403
hard_2mm_r2,9DTact,hard,2,320,0.0203861966729164,320,0.0210974644869565,160,0.0261730086058378
hard_3mm_r1,9DTact,hard,3,32,0.0246032159775495,80,0.0237204935401678,32,0.0412977263331413
hard_3mm_r2,9DTact,hard,3,320,0.022916717454791,48,0.0300724040716886,640,0.0426033437252044
medium_1mm_r1,9DTact,medium,1,48,0.0224101152271032,80,0.0227186251431703,80,0.0478156991302967
medium_1mm_r2,9DTact,medium,1,80,0.0290769301354885,160,0.0317247509956359,32,0.0453462414443492
medium_2mm_r2,9DTact,medium,2,32,0.0229793228209018,48,0.0257141608744859,640,0.042677741497755
medium_3mm_r1,9DTact,medium,3,48,0.0236876811832189,32,0.028925571590662,854,0.0410246513783931
medium_3mm_r2,9DTact,medium,3,48,0.0207862108945846,80,0.0243738461285829,48,0.0416482985019683
soft_1mm_r1,9DTact,soft,1,48,0.0229709930717945,48,0.0206896010786294,80,0.0446228422224521
soft_1mm_r2,9DTact,soft,1,8,0.0431970618665218,80,0.0273357816040515,640,0.0546674169600009
soft_2mm_r1,9DTact,soft,2,32,0.0210334677249193,80,0.0202709529548883,320,0.0351876318454742
soft_2mm_r2,9DTact,soft,2,80,0.0189994107931852,1280,0.0201912298798561,426,0.0345242470502853
soft_3mm_r1,9DTact,soft,3,160,0.0317748598754406,1280,0.0274274367839097,160,0.0520221218466758
soft_3mm_r2,9DTact,soft,3,160,0.0264690518379211,80,0.0265758633613586,80,0.0469814352691173
hard_1mm_r1,DIGIT,hard,1,160,0.0230525061488151,80,0.031699065119028,80,0.0695246458053588
hard_1mm_r2,DIGIT,hard,1,32,0.0282106790691614,48,0.0445942692458629,80,0.0948507860302925
hard_2mm_r1,DIGIT,hard,2,320,0.017738688737154,32,0.0236619152128696,48,0.056309524923563
hard_2mm_r2,DIGIT,hard,2,48,0.0256347209215164,48,0.0354304686188697,48,0.0628333464264869
hard_3mm_r1,DIGIT,hard,3,48,0.0234348587691783,48,0.0307908952236175,80,0.0573203340172767
hard_3mm_r2,DIGIT,hard,3,48,0.0157873071730136,16,0.0267449356615543,32,0.0490000694990158
medium_1mm_r1,DIGIT,medium,1,48,0.0163375344127416,32,0.0162208955734968,80,0.0492114089429378
medium_1mm_r2,DIGIT,medium,1,32,0.0358526669442653,32,0.0469404123723506,32,0.089378722012043
medium_2mm_r1,DIGIT,medium,2,80,0.0250818077474832,48,0.0329609587788581,80,0.0471034236252307
medium_2mm_r2,DIGIT,medium,2,32,0.0236365664750337,32,0.023394901305437,640,0.0524851642549037
medium_3mm_r1,DIGIT,medium,3,48,0.0214987155050039,32,0.0262680575251579,32,0.0460463054478168
medium_3mm_r2,DIGIT,medium,3,320,0.0213545840233564,320,0.0329005680978298,32,0.0539338067173957
soft_1mm_r1,DIGIT,soft,1,320,0.0233392473310232,32,0.0242281910032033,48,0.0717098638415336
soft_1mm_r2,DIGIT,soft,1,426,0.0230014715343713,16,0.0312652848660945,80,0.0819605216383934
soft_2mm_r1,DIGIT,soft,2,32,0.027690639719367,48,0.0193750113248825,320,0.0487581752240657
soft_2mm_r2,DIGIT,soft,2,48,0.0175814982503652,80,0.0226080697029829,48,0.0550210326910018
soft_3mm_r1,DIGIT,soft,3,48,0.0278037991374731,32,0.0455778241157531,48,0.057066049426794
soft_3mm_r2,DIGIT,soft,3,48,0.0228869933634996,160,0.0352137386798858,80,0.0491091050207614
