unit,probe,width_px,depth_mm,dip,dip_sd,imprint_lvl,mtf,verdict,density_px_per_mm2
hard_1mm_r1,pair100,1920,0.1,0.2623082189116309,0.1087820099030854,1.896837592124939,0.1509520973548826,신호부족,9423.044923543315
hard_1mm_r1,pair100,1920,0.2,0.4309378041833501,0.0579815625483357,3.243212938308716,0.2746467318709823,분해,9423.044923543315
hard_1mm_r1,pair100,1920,0.3,0.5246507958070123,0.0317671096589536,6.483412265777588,0.3556112643135189,분해,9423.044923543315
hard_1mm_r1,pair100,1280,0.1,0.3425831250001905,0.0689388695164086,2.3459455966949463,0.2066970176107504,신호부족,4188.019966019251
hard_1mm_r1,pair100,1280,0.2,0.5793477750223586,0.0354585225414789,4.943007946014404,0.4078040809963019,분해,4188.019966019251
hard_1mm_r1,pair100,1280,0.3,0.5031917459181994,0.0273608691864882,6.732499599456787,0.3361764905731872,분해,4188.019966019251
hard_1mm_r1,pair100,854,0.1,0.4627238020579921,0.0438920487542774,3.0042941570281982,0.3010023850479521,분해,1864.2516903914163
hard_1mm_r1,pair100,854,0.2,0.5281542211816606,0.0269498135816795,5.14339542388916,0.3588380173945162,분해,1864.2516903914163
hard_1mm_r1,pair100,854,0.3,0.5201614415940026,0.0211917789939705,6.825520992279053,0.3514987757544934,분해,1864.2516903914163
hard_1mm_r1,pair100,640,0.1,0.4640930784075848,0.0401100994828106,3.0445661544799805,0.30216224165877,분해,1047.0049915048128
hard_1mm_r1,pair100,640,0.2,0.5220997198713297,0.0192920563651785,5.334548473358154,0.3532712774273744,분해,1047.0049915048128
hard_1mm_r1,pair100,640,0.3,0.5105913230028074,0.0192853992699543,6.805853843688965,0.3428147901167154,분해,1047.0049915048128
hard_1mm_r1,pair100,426,0.1,0.4641511800555756,0.0305835732747025,3.2180850505828857,0.3022115028693848,분해,463.88251425372886
hard_1mm_r1,pair100,426,0.2,0.5215171397163105,0.0165340999788706,5.265507221221924,0.3527380355401905,분해,463.88251425372886
hard_1mm_r1,pair100,426,0.3,0.5312478352241513,0.0163860478943234,6.835281848907471,0.3617001206634659,분해,463.88251425372886
hard_1mm_r1,pair100,320,0.1,-0.3190318503077691,0.0443421009180645,1.8946421146392824,-0.1375711378286714,신호부족,261.7512478762032
hard_1mm_r1,pair100,320,0.2,0.4749785489750568,0.0142681832140953,5.142148494720459,0.3114569625599897,분해,261.7512478762032
hard_1mm_r1,pair100,320,0.3,0.5106237988996478,0.0140634271625793,6.789200782775879,0.3428440702371895,분해,261.7512478762032
hard_1mm_r1,pair100,160,0.1,,,,,접촉 없음,65.4378119690508
hard_1mm_r1,pair100,160,0.2,0.4363418401045991,0.0121620506660293,4.974833965301514,0.2790519381383125,분해,65.4378119690508
hard_1mm_r1,pair100,160,0.3,0.4755283456111211,0.0119651575137729,6.465129852294922,0.3119299360156015,분해,65.4378119690508
hard_1mm_r1,pair100,80,0.1,,,,,접촉 없음,16.3594529922627
hard_1mm_r1,pair100,80,0.2,0.3905088584620999,0.0100993720820147,4.768526554107666,0.2426287715314551,분해,16.3594529922627
hard_1mm_r1,pair100,80,0.3,0.4292303052067026,0.0110963982970159,6.295315265655518,0.2732611321885646,분해,16.3594529922627
hard_1mm_r1,pair100,48,0.1,,,,,접촉 없음,5.889403077214571
hard_1mm_r1,pair100,48,0.2,0.4387754291118851,0.0091182818405158,4.680147647857666,0.2810456850946717,분해,5.889403077214571
hard_1mm_r1,pair100,48,0.3,0.4685541771435089,0.0099737815051399,6.655582427978516,0.3059554377637401,분해,5.889403077214571
hard_1mm_r1,pair100,32,0.1,,,,,접촉 없음,2.6175124787620323
hard_1mm_r1,pair100,32,0.2,0.2319136191414653,0.0085792528938263,4.294693470001221,0.1311664529811345,미분해,2.6175124787620323
hard_1mm_r1,pair100,32,0.3,0.3125604829468924,0.0070498792560513,5.857191562652588,0.1852276658144988,분해,2.6175124787620323
hard_1mm_r1,pair100,16,0.1,,,,,접촉 없음,0.6543781196905081
hard_1mm_r1,pair100,16,0.2,,,,,접촉 없음,0.6543781196905081
hard_1mm_r1,pair100,16,0.3,,,,,접촉 없음,0.6543781196905081
hard_1mm_r1,pair100,8,0.1,,,,,접촉 없음,0.16359452992262702
hard_1mm_r1,pair100,8,0.2,,,,,접촉 없음,0.16359452992262702
hard_1mm_r1,pair100,8,0.3,,,,,접촉 없음,0.16359452992262702
hard_1mm_r2,pair100,1920,0.1,0.6869326178414166,0.1083938206347678,1.4477219581604004,0.5231510790498438,신호부족,7797.586904401702
hard_1mm_r2,pair100,1920,0.2,0.5626594251500571,0.0983628818348774,1.986383438110352,0.3914586667873049,신호부족,7797.586904401702
hard_1mm_r2,pair100,1920,0.3,0.261660691476186,0.0916908720506374,2.628638982772827,0.1505233703185292,미분해,7797.586904401702
