unit,peak_lvl,median_lvl,suspect_hardware
medium_1mm_r2,5.822003364562988,5.251654624938965,True
hard_1mm_r2,6.076326370239258,5.060226202011108,True
hard_1mm_r1,6.949924945831299,4.943313360214233,False
soft_1mm_r2,8.139480590820312,6.3134472370147705,False
medium_1mm_r1,8.207159042358398,6.332418203353882,False
soft_1mm_r1,8.486907005310059,5.8949809074401855,False
medium_3mm_r1,9.521800994873049,0.0,False
soft_3mm_r2,9.53469181060791,0.0,False
medium_3mm_r2,9.629695892333984,0.0,False
hard_3mm_r2,10.120305061340332,7.705402851104736,False
hard_3mm_r1,10.141809463500977,8.488929748535156,False
hard_2mm_r2,10.978926658630373,7.86535120010376,False
hard_2mm_r1,11.640983581542969,8.465584754943848,False
soft_2mm_r2,13.51583766937256,8.69907283782959,False
medium_2mm_r2,14.107747077941896,9.888171195983888,False
soft_2mm_r1,14.429401397705078,9.695637702941896,False
