principle,unit,probe,centre_gap_mm,edge_gap_mm,hardness,thickness_mm,rep,depth_mm,dip,dip_sd,imprint_lvl,symmetry,verdict,mtf,verdict_mtf
9DTact,soft_2mm_r1,pair010,1.1,0.1,soft,2,1,0.2,0.263,0.045,4.98,0.81,미분해,0.151,미분해
9DTact,soft_2mm_r1,pair010,1.1,0.1,soft,2,1,0.3,0.117,0.033,8.13,0.91,미분해,0.062,미분해
9DTact,soft_2mm_r1,pair010,1.1,0.1,soft,2,1,0.4,0.05,0.024,10.35,0.9,미분해,0.025,미분해
9DTact,soft_2mm_r1,pair010,1.1,0.1,soft,2,1,0.5,0.029,0.02,13.17,0.94,미분해,0.015,미분해
9DTact,soft_2mm_r1,pair010,1.1,0.1,soft,2,1,0.6,0.065,0.02,17.0,0.98,미분해,0.034,미분해
9DTact,soft_2mm_r1,pair010,1.1,0.1,soft,2,1,0.7,0.046,0.015,20.14,0.96,미분해,0.024,미분해
9DTact,soft_2mm_r1,pair010,1.1,0.1,soft,2,1,0.8,0.048,0.015,23.45,0.98,미분해,0.024,미분해
9DTact,soft_2mm_r1,pair010,1.1,0.1,soft,2,1,0.9,0.047,0.014,26.87,0.98,미분해,0.024,미분해
9DTact,soft_2mm_r2,pair010,1.1,0.1,soft,2,2,0.1,0.669,0.075,2.43,0.95,신호부족,0.503,신호부족
9DTact,soft_2mm_r2,pair010,1.1,0.1,soft,2,2,0.2,0.14,0.06,4.55,0.78,미분해,0.076,미분해
9DTact,soft_2mm_r2,pair010,1.1,0.1,soft,2,2,0.3,0.132,0.039,7.79,0.98,미분해,0.071,미분해
9DTact,soft_2mm_r2,pair010,1.1,0.1,soft,2,2,0.4,0.094,0.031,10.64,0.97,미분해,0.049,미분해
9DTact,soft_2mm_r2,pair010,1.1,0.1,soft,2,2,0.5,0.045,0.025,13.48,0.96,미분해,0.023,미분해
9DTact,soft_2mm_r2,pair010,1.1,0.1,soft,2,2,0.6,0.074,0.021,16.98,0.99,미분해,0.038,미분해
