probe,repeat,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,Tx,Ty,Tz,tcp_x,tcp_y,tcp_z,area_px,radius_px,enclosing_radius_px,centroid_px,mean_abs_diff_in_region,dark_area_px,bright_area_px,diff_level
cyl4,1,0.1,0.0891985000937332,0.24616154553399383,cyl4_d0.10_r1.png,1788608434.66171,0.007224911204627205,0.018349936197452798,-0.24616154553399383,-0.00036479315041639817,7.943992307991587e-05,-0.00017813060353639721,37.9021759033203,363.0551452636718,38.32862472534179,0,0.0,0.0,None,0.0,0,0,3
cyl4,1,0.2,0.17080577373222994,0.49890796522007863,cyl4_d0.20_r1.png,1788608439.8217669,-0.0010147340806209825,-0.004746697720577941,-0.49890796522007863,0.00037038473118927717,1.4318689166414878e-05,-8.466728073854845e-05,37.90272903442383,363.0549926757812,38.22188186645508,60077,138.28630818798942,165.40135192871094,"[944.118714316627, 588.6308570667643]",4.856048107147217,59533,0,3
cyl4,1,0.3,0.271821948632855,0.790261204418826,cyl4_d0.30_r1.png,1788608445.1856422,0.0028430493262643353,-0.004092715283690396,-0.790261204418826,0.0002626933551935495,-6.501772288960427e-05,-0.0001011064265516115,37.9012870788574,363.045196533203,38.11869049072265,106633,184.2344649989142,212.34735107421875,"[939.5243592508886, 589.706451098628]",6.450653076171875,106290,0,3
cyl4,1,0.4,0.3703719405498731,1.0691972607124598,cyl4_d0.40_r1.png,1788608450.7622693,0.006156595755573946,-0.007404218135037155,-1.0691972607124598,0.00038801370398751643,-0.00016925447450330533,-0.00011158899380898646,37.90143585205078,363.0472717285156,38.0219383239746,136590,208.51366227143,233.7247314453125,"[930.0078409839666, 584.7276960245991]",7.618775844573975,136093,0,3
cyl4,1,0.5,0.47324498485184563,1.358803653848227,cyl4_d0.50_r1.png,1788608456.3347888,0.010299231950558863,-0.01400056329134749,-1.358803653848227,0.0006354127146813909,-6.673364521138647e-05,-0.00035776443328310313,37.89990234375,363.0557250976562,37.92050170898437,154860,222.02132549469619,247.9801025390625,"[928.3147875500453, 585.6104739764949]",9.200252532958984,154473,201,3
cyl4,1,0.6,0.5766089699675732,1.6581034596352993,cyl4_d0.60_r1.png,1788608462.1150064,0.014451591257649454,-0.015367938133749348,-1.6581034596352993,0.0006864112424002395,-0.000156071875897007,-0.00034763659023102634,37.89757537841797,363.0552978515625,37.8186569213867,167892,231.17457345298376,258.50396728515625,"[926.5558573368594, 587.8986193505349]",10.497048377990723,167470,239,3
cyl4,2,0.1,0.07105712854707491,0.11812563326747635,cyl4_d0.10_r2.png,1788608467.687121,0.005462548738573503,0.004709698273582497,-0.11812563326747635,-4.1199459363325254e-05,0.00021468000163164526,-0.0006695287784321379,37.89358901977539,363.0714416503906,38.3234062194824,0,0.0,0.0,None,0.0,0,0,3
cyl4,2,0.2,0.17391303010704107,0.4798318285869357,cyl4_d0.20_r2.png,1788608472.8471851,0.004667172516527174,-0.00804942047163575,-0.4798318285869357,0.00036771348300029263,0.00010028531557909059,-0.00014896283431236056,37.893985748291,363.0721435546875,38.21932220458984,55715,133.17145080207658,171.04197692871094,"[938.5198600017949, 589.6079511801131]",4.773855209350586,54963,0,3
cyl4,2,0.3,0.2703960600050479,0.7515821001805705,cyl4_d0.30_r2.png,1788608478.2155647,0.007394154817178489,0.002886187645730942,-0.7515821001805705,0.0003172286873365515,0.00034831083274526885,-0.0003662146857417614,37.8914108276367,363.078887939453,38.1209030151367,101052,179.3484056763383,202.7218017578125,"[941.16359893916, 590.6903970233147]",6.290191650390625,100603,0,3
cyl4,2,0.4,0.374897728525589,1.0636416093303978,cyl4_d0.40_r2.png,1788608483.787863,0.0038316053200802003,-0.0066013723511536785,-1.0636416093303978,0.000456829426017541,0.00027048871730826486,-0.0002029706200075587,37.89128494262695,363.0824584960937,38.02296447753906,132377,205.27276439740285,235.37655639648438,"[929.5387869493945, 587.561615688526]",7.5413289070129395,131181,0,3
cyl4,2,0.5,0.47577020814802395,1.3782149511405692,cyl4_d0.50_r2.png,1788608489.3603868,0.005827195857962053,0.0036850499254097004,-1.3782149511405692,0.0005947619370027607,0.00039950453808043076,-0.00020377062686987023,37.88840866088867,363.0805358886718,37.9175224304199,153238,220.85554178926938,251.63916015625,"[929.0733564781582, 588.1282057975176]",9.177748680114746,152579,245,3
