index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
1,2026-09-01T15:34:44.153038,0001.png,step1,-0.01643,0.04231,-0.00974,-0.002475,0.001476,-0.000125,-0.0353,0.02827,-0.01044,0.04642,37.8668,362.8972,41.6161,-0.0,-1.5518,151.528,254.083,0.9777,0.018
2,2026-09-01T15:34:45.338584,0002.png,step2,-0.01818,0.04342,-0.02274,-0.002538,0.001334,-7.7e-05,-0.03728,0.02815,-0.02345,0.05227,37.8669,362.8922,41.5184,0.0978,-1.454,58.683,111.615,0.9005,0.018
3,2026-09-01T15:34:46.439707,0003.png,step3,-0.01695,0.04146,-0.01292,-0.002453,0.001347,-0.000156,-0.03531,0.02723,-0.0136,0.04662,37.8644,362.8985,41.4307,0.1854,-1.3665,104.23,189.882,0.9608,0.018
4,2026-09-01T15:34:47.534988,0004.png,step4,-0.01814,0.04279,-0.03022,-0.002491,0.001327,-4.1e-05,-0.03689,0.02751,-0.03092,0.05544,37.8648,362.8966,41.3319,0.2842,-1.2677,43.901,82.448,0.8384,0.018
5,2026-09-01T15:34:48.740009,0005.png,step5,-0.01864,0.0429,-0.02548,-0.002509,0.001332,-8e-05,-0.0374,0.02743,-0.02619,0.05326,37.8638,362.8988,41.2352,0.3808,-1.171,52.26,98.46,0.8781,0.018
6,2026-09-01T15:34:49.935720,0006.png,step6,-0.01956,0.04783,-0.05667,-0.002296,0.001437,0.000166,-0.04045,0.03074,-0.05745,0.07669,37.8638,362.9016,41.1399,0.4761,-1.0757,25.354,40.519,0.6738,0.018
7,2026-09-01T15:34:51.140568,0007.png,step7,-0.02071,0.04553,-0.03499,-0.002345,0.001284,-0.000162,-0.04044,0.02852,-0.03573,0.06104,37.8652,362.9015,41.0431,0.5728,-0.979,36.686,67.017,0.8194,0.018
8,2026-09-01T15:34:52.328929,0008.png,step8,-0.01659,0.04053,-0.01787,-0.002484,0.001453,-0.000133,-0.0345,0.02652,-0.01854,0.0473,37.8638,362.9017,40.9464,0.6695,-0.8823,81.28,138.987,0.9259,0.018
9,2026-09-01T15:34:53.433908,0009.png,step9,-0.01777,0.04361,0.0091,-0.002375,0.001275,-0.000568,-0.03724,0.02904,0.00838,0.04796,37.8639,362.9011,40.8518,0.7641,-0.7877,-140.124,-261.016,0.9818,0.018
10,2026-09-01T15:34:54.535242,0010.png,step10,-0.01871,0.04111,-0.0054,-0.002482,0.001343,-0.00024,-0.03671,0.02617,-0.00608,0.04549,37.8655,362.9003,40.7589,0.857,-0.6949,248.749,459.626,0.9929,0.018
11,2026-09-01T15:34:55.629174,0011.png,step11,-0.01704,0.04402,-0.01639,-0.002592,0.001123,-0.000118,-0.03664,0.02934,-0.01712,0.04997,37.8672,362.8907,40.6574,0.9587,-0.5932,68.501,158.102,0.9446,0.018
12,2026-09-01T15:34:56.834570,0012.png,step12,-0.01597,0.04697,0.00578,-0.002621,0.001157,-0.000271,-0.03734,0.0328,0.005,0.04995,37.8664,362.8953,40.5641,1.0519,-0.5,-199.956,-453.069,0.9933,0.018
13,2026-09-01T15:34:57.928672,0013.png,step13,-0.0184,0.03934,-0.0066,-0.002305,0.001657,-0.000386,-0.03555,0.02477,-0.00725,0.04393,37.8674,362.8926,40.466,1.15,-0.4019,250.811,349.03,0.9886,0.018
