t,at,where,Fx,Fy,Fz,Tx,Ty,Tz
1788792927.026593,2026-09-07T23:55:27.026585,tare,0.0,0.0,0.0,0.0,0.0,0.0
1788793108.851945,2026-09-07T23:58:28.851934,between normal and shear blocks,-0.02279,-0.00622,-0.108,0.00072,0.0001,-0.00077
1788793335.676913,2026-09-08T00:02:15.676901,end of collect,-0.02708,-0.01469,-0.09942,0.00113,0.00077,-0.00025
