t,at,where,Fx,Fy,Fz,Tx,Ty,Tz
1788874363.130223,2026-09-08T22:32:43.130213,tare,0.0,0.0,0.0,0.0,0.0,0.0
1788874593.826588,2026-09-08T22:36:33.826578,between normal and shear blocks,-0.0125,0.02035,-0.00058,0.00193,8e-05,0.00034
