t,Fx,Fy,Fz,Tx,Ty,Tz
1788791879.603806,0.00139,-0.0001,0.01298,-3e-05,-2e-05,-8e-05
1788791879.623345,-0.00235,-0.00364,0.0255,-1e-05,0.0001,-0.00025
1788791879.643811,-0.00031,-0.00255,0.05007,-4e-05,-0.00011,-0.00041
1788791879.663691,0.00065,-0.00223,0.00818,8e-05,-1e-05,-0.00021
1788791879.683915,0.00073,-0.00204,0.02929,-1e-05,-6e-05,-0.00025
1788791879.708972,-0.00089,-0.00085,-0.00026,-6e-05,-4e-05,-0.0
1788791879.723912,0.00321,0.00246,0.01712,3e-05,-1e-05,-0.00013
1788791879.743720,0.00436,-0.00429,0.00193,-6e-05,-0.0002,-4e-05
1788791879.763826,-0.00813,-0.00381,-0.00394,0.0,9e-05,9e-05
1788791879.782952,-0.00219,0.00612,-0.02409,0.00011,0.00015,0.00025
1788791879.803089,0.00437,0.00774,-0.01608,-9e-05,2e-05,0.00013
1788791879.823375,-0.0018,-0.0033,-0.01365,-0.00012,-7e-05,-9e-05
1788791879.843084,-0.00047,-0.00141,-0.02411,3e-05,0.00018,-8e-05
1788791879.863584,-0.00228,0.00478,-0.05104,-8e-05,0.00013,1e-05
1788791879.883745,-0.00146,0.00855,-0.06932,6e-05,2e-05,-0.00013
1788791879.903919,-0.00467,0.00672,-0.07641,-0.00015,3e-05,-0.0001
1788791879.923034,0.00269,0.01254,-0.03892,-0.00019,1e-05,-0.00022
1788791879.943235,-0.00625,-0.00443,-0.07205,0.00023,0.00012,-2e-05
1788791879.963552,0.00163,-5e-05,-0.04877,-1e-05,-0.0,-0.00011
1788791879.983659,0.00124,-0.0094,-0.06142,0.00011,-6e-05,-7e-05
1788791880.003707,-0.00544,0.00212,-0.05167,0.00021,-9e-05,-0.00017
1788791880.023259,-0.00295,-0.00983,-0.07335,0.00026,3e-05,6e-05
1788791880.043725,-0.00181,-0.00501,-0.07182,0.00013,-8e-05,0.00015
1788791880.062980,-0.0068,-0.00534,-0.07324,0.00032,9e-05,-2e-05
1788791880.083751,-0.00361,-0.00311,-0.04803,0.00021,-7e-05,-0.00011
1788791880.103792,-0.00618,-0.00466,-0.05547,6e-05,-0.00022,-4e-05
1788791880.123687,-0.00412,-0.00419,-0.06095,0.00022,-3e-05,-3e-05
1788791880.145307,3e-05,-0.00775,-0.07214,0.00025,-0.00019,5e-05
1788791880.163394,-0.00618,-0.00625,-0.06709,0.00023,-0.0001,1e-05
1788791880.183306,-0.00579,-0.00891,-0.08625,0.00039,-7e-05,4e-05
1788791880.203021,-0.00539,-0.0067,-0.08088,0.00031,-0.00012,-5e-05
1788791880.223171,-0.00509,-0.00943,-0.08811,0.00026,-7e-05,8e-05
1788791880.243152,-0.00772,-0.00593,-0.0756,0.00011,-0.00012,4e-05
1788791880.263556,-0.0048,-0.00701,-0.08959,0.00015,-0.00016,2e-05
1788791880.283850,-0.00067,-0.00416,-0.08856,0.00016,-9e-05,-0.0
1788791880.303602,-0.00516,-0.00652,-0.09582,0.00039,1e-05,7e-05
1788791880.323017,-0.00105,-0.00733,-0.08814,0.00028,-3e-05,-0.0001
1788791880.343472,-0.00206,-0.00798,-0.08352,4e-05,-0.00013,-1e-05
1788791880.363773,-0.00234,-0.00773,-0.10067,0.0002,-4e-05,2e-05
1788791880.383050,-0.00175,-0.00518,-0.09842,0.00018,-0.00016,6e-05
1788791880.403449,-0.00407,-0.00743,-0.10534,0.0002,-0.0002,3e-05
1788791880.423893,-0.00611,-0.00347,-0.10851,0.00028,-8e-05,-5e-05
1788791880.443188,-0.00578,-0.00559,-0.12162,2e-05,-3e-05,0.00016
1788791880.463549,-0.00469,-0.00054,-0.13203,0.00022,-0.0,0.00011
1788791880.483938,-0.00277,-0.00716,-0.13646,0.00026,0.0,2e-05
1788791880.503240,0.00053,-0.00709,-0.11919,6e-05,-0.00022,-0.0
1788791880.523554,-0.0019,-0.00798,-0.12166,0.00031,-0.0001,-6e-05
1788791880.543857,-0.00259,-0.00118,-0.13346,0.00024,-0.00014,9e-05
1788791880.563317,-0.00283,-0.00377,-0.1139,0.00029,-9e-05,-3e-05
1788791880.585876,-9e-05,-0.00077,-0.1519,0.00024,3e-05,0.00032
1788791880.603246,-0.00174,-0.00782,-0.13284,0.00023,-0.00022,0.00011
1788791880.623613,-0.00269,-0.00512,-0.14281,0.00027,-0.00018,3e-05
1788791880.643907,-0.00591,-0.00603,-0.1631,0.00037,-0.0001,0.00021
1788791880.663252,-0.0059,-0.00761,-0.1423,0.00044,-2e-05,-0.00014
1788791880.683731,-0.00976,-0.00926,-0.14941,0.0004,-6e-05,-0.00012
