probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,0,-6.546708775437898,0.07634681327103099,362.2624311044692,278.2624311044692,0.15,0.12234183705089663,0.08379764502799389,ball4_x-6.55_y+0.08_d0.15.png,1789042936.4911723,-0.007098344818989233,0.008283953443722503,-0.08379764502799389,32.21999740600586,359.5180358886718,36.20525741577148,717,15.10722305368455,"[245.22454672245468, 190.2147838214784]",12
ball4,0,0,-6.546708775437898,0.07634681327103099,362.2624311044692,278.2624311044692,0.3,0.30489921542860543,0.33697900444833523,ball4_x-6.55_y+0.08_d0.30.png,1789042937.8552427,-0.01587426016493616,0.013937264038058218,-0.33697900444833523,32.21536254882812,359.527862548828,36.06276321411133,11295,59.96090530041984,"[261.5022576361222, 186.36378928729528]",12
ball4,1,0,-3.5888548332270673,-1.5841158997013243,661.1312155522346,278.2624311044692,0.15,0.15132709244465659,0.08088592986379979,ball4_x-3.59_y-1.58_d0.15.png,1789042940.9754531,-0.0021170124397666967,0.00016255753383696004,-0.08088592986379979,35.61075210571289,359.5697326660156,36.20756530761718,10000,56.41895835477563,"[630.2959, 202.5815]",12
ball4,1,0,-3.5888548332270673,-1.5841158997013243,661.1312155522346,278.2624311044692,0.3,0.32924689201065505,0.3159899798738081,ball4_x-3.59_y-1.58_d0.30.png,1789042942.3435166,0.003546093386387383,-0.002541939537472082,-0.3159899798738081,35.62001800537109,359.570343017578,36.0609016418457,23797,87.03344392539955,"[639.1377904777913, 194.82174223641636]",12
ball4,2,0,-0.6310008910162371,-3.2445786126736795,960.0,278.2624311044692,0.15,0.17268367467591617,0.07207104266278463,ball4_x-0.63_y-3.24_d0.15.png,1789042945.4636676,0.011721615607218894,-0.008795959775594043,-0.07207104266278463,39.0142021179199,359.6086120605468,36.20085144042968,18945,77.65552648557548,"[898.3617313275271, 306.76574294008975]",12
ball4,2,0,-0.6310008910162371,-3.2445786126736795,960.0,278.2624311044692,0.3,0.3550849415377826,0.3388409484052829,ball4_x-0.63_y-3.24_d0.30.png,1789042946.8316674,0.010165779584232482,-0.010801856960018164,-0.3388409484052829,39.01309967041015,359.6102600097656,36.05746459960937,70214,149.49852958644337,"[934.6286068305466, 263.97749736519785]",12
ball4,3,0,2.326853051194593,-4.905041325646035,1258.8687844477654,278.2624311044692,0.15,0.19854290331544533,0.09939533495684713,ball4_x+2.33_y-4.91_d0.15.png,1789042950.1479821,0.011707911701370222,-0.0010716968593351694,-0.09939533495684713,42.407657623291,359.646484375,36.19518661499023,24649,88.57776461699774,"[888.6431903931194, 608.904986003489]",12
ball4,3,0,2.326853051194593,-4.905041325646035,1258.8687844477654,278.2624311044692,0.3,0.38395551082403756,0.3364488828829053,ball4_x+2.33_y-4.91_d0.30.png,1789042951.511936,0.013980495211378851,-0.005947265385857747,-0.3364488828829053,42.40943527221679,359.6438903808593,36.05579757690429,31823,100.64579230164951,"[853.949061999183, 598.730603651447]",12
ball4,4,0,5.284706993405424,-6.565504038618391,1557.7375688955308,278.2624311044692,0.15,0.22127174819381423,0.07427650031962685,ball4_x+5.28_y-6.57_d0.15.png,1789042954.6321142,0.006186359341873881,-0.0031339440282202704,-0.07427650031962685,45.79972076416015,359.6888122558593,36.19251632690429,23544,86.56955562038637,"[893.9765545361876, 607.36459395175]",12
ball4,4,0,5.284706993405424,-6.565504038618391,1557.7375688955308,278.2624311044692,0.3,0.4065755788061658,0.3223707542536829,ball4_x+5.28_y-6.57_d0.30.png,1789042956.0001912,0.00830085324560308,-0.00543129416658239,-0.3223707542536829,45.80024337768554,359.6854858398437,36.05033874511718,26816,92.38938200845664,"[893.8594122911694, 605.2297136038186]",12
