t,Fx,Fy,Fz,Tx,Ty,Tz
1788869005.530301,-0.0029,0.00104,0.00907,9e-05,0.00014,-5e-05
1788869005.551086,-0.00207,0.00114,-0.01236,-8e-05,7e-05,0.00017
1788869005.570780,0.00213,0.00891,-0.00276,-0.00011,-6e-05,0.00014
1788869005.590231,2e-05,-0.01461,-0.01493,2e-05,-6e-05,0.00012
1788869005.611006,-0.00382,-0.0052,-0.02966,5e-05,-0.0,0.00013
1788869005.630181,0.00803,0.01477,-0.0247,0.00011,6e-05,0.0002
1788869005.650616,-0.00122,0.00887,-0.00055,-7e-05,1e-05,0.0001
1788869005.670762,-0.00886,-0.00711,0.00762,-0.0001,-3e-05,-2e-05
1788869005.690968,0.00097,-0.00972,-0.0333,0.0002,1e-05,0.00018
1788869005.710151,0.00373,0.00528,0.00019,-0.0002,-0.00011,9e-05
1788869005.731068,0.00167,0.00759,-0.02673,0.00015,0.00023,0.00017
1788869005.751081,-0.00232,0.00352,-0.00796,4e-05,5e-05,-8e-05
1788869005.770982,0.00205,-0.006,-0.01888,7e-05,-5e-05,0.00015
1788869005.790910,0.00426,-0.00314,-0.02099,-0.00012,0.0001,0.00036
1788869005.810922,0.00713,0.0007,-0.01012,-2e-05,0.0001,0.00011
1788869005.830446,0.00115,0.00407,-0.02573,-0.00016,-9e-05,0.00033
1788869005.850557,-0.0051,0.0018,-0.02277,-0.00019,9e-05,0.00046
1788869005.871071,-0.00156,-0.07021,-0.05701,4e-05,0.00016,0.001
1788869005.890440,0.00633,1e-05,-0.02692,0.00012,2e-05,0.00016
1788869005.910162,0.00199,0.00664,-0.05536,0.00035,0.00022,0.00031
1788869005.931102,-0.00615,0.00689,-0.0396,-4e-05,-6e-05,0.00044
1788869005.950376,0.00156,-0.00216,-0.03083,0.00021,0.00013,0.00024
1788869005.970736,0.0024,0.00162,-0.03635,0.00026,0.00019,0.00017
1788869005.990099,0.00058,-0.00019,-0.00982,-6e-05,0.00014,0.00018
1788869006.011191,-0.00299,0.00104,-0.01107,-0.00014,0.0,0.00019
1788869006.030519,-0.0017,0.00588,-0.0362,0.00011,0.00012,0.00033
1788869006.050788,-0.00202,0.00279,-0.03701,0.00021,0.00017,0.00026
1788869006.070176,0.00075,0.00242,0.00384,-0.0003,-9e-05,0.00022
1788869006.090480,-0.00247,0.00489,0.00774,-0.00028,-2e-05,0.00011
1788869006.110824,0.0023,0.00312,-0.0114,-9e-05,-0.00017,0.00023
1788869006.130998,0.0014,-0.00021,-0.03433,2e-05,1e-05,0.00025
1788869006.150935,0.0028,-0.00472,-0.01467,5e-05,-3e-05,0.00015
1788869006.170140,0.0033,0.00502,-0.03581,0.00013,7e-05,0.00029
1788869006.190532,0.00112,-0.00178,-0.0023,-0.00014,-0.00011,0.00013
1788869006.210919,-0.00184,0.00028,-0.01202,-0.00014,-4e-05,0.00014
1788869006.230709,-0.00323,0.00014,0.00266,-0.00012,-2e-05,0.00011
1788869006.250800,-0.00178,-0.00317,0.00907,-0.0001,-8e-05,0.0001
1788869006.270686,-0.00497,0.00912,-0.01395,-0.00017,0.0,0.00016
1788869006.291055,-0.00043,0.002,0.01162,-0.0003,-0.00021,0.00014
1788869006.311046,0.00136,-0.00305,-0.01319,0.00015,0.00013,4e-05
1788869006.331656,0.00084,-0.00336,0.00549,-0.00014,-1e-05,3e-05
1788869006.350194,0.00567,0.00645,-0.0106,1e-05,-6e-05,0.00014
1788869006.370808,-0.00099,0.0025,-0.01228,0.00015,0.00015,0.0001
1788869006.390308,-0.00373,0.00292,0.00961,-0.00016,-5e-05,0.00012
1788869006.412584,0.00172,-0.00376,0.0019,-5e-05,-0.00018,5e-05
1788869006.431134,-0.00195,0.00501,-0.03328,5e-05,0.0002,0.00026
1788869006.450882,0.00071,-0.00241,-0.03523,-6e-05,-7e-05,0.00032
1788869006.470890,-0.00387,0.00483,-0.01169,1e-05,2e-05,8e-05
1788869006.490416,4e-05,-0.00253,-0.019,5e-05,3e-05,7e-05
1788869006.510914,-0.00149,0.00155,-0.00453,-6e-05,-7e-05,8e-05
1788869006.530433,0.00134,0.00205,-0.02134,-5e-05,8e-05,0.00018
1788869006.550981,-0.0022,0.00187,0.00027,3e-05,4e-05,9e-05
1788869006.570339,0.00309,-0.00075,-0.01707,0.00016,-0.00012,0.00011
1788869006.590532,0.00101,-0.00019,-0.00691,0.00013,6e-05,6e-05
1788869006.611046,0.00155,0.00305,-0.00844,6e-05,8e-05,4e-05
1788869006.630485,0.00242,-0.00183,-0.0018,-8e-05,3e-05,0.00011
1788869006.650378,-0.00154,-0.00232,-0.00085,0.00025,0.00022,-8e-05
1788869006.670277,-0.00209,-0.0007,5e-05,-4e-05,0.00016,3e-05
1788869006.690672,0.0011,-0.00478,0.03026,-0.00014,-0.00011,-9e-05
1788869006.710669,-0.00119,0.00165,0.02237,-0.00021,-7e-05,1e-05
1788869006.730181,-0.00491,-0.00502,0.01151,-9e-05,-3e-05,-1e-05
1788869006.750576,0.00085,-0.00392,-0.00502,0.00029,9e-05,-6e-05
