sample_index,t_rel_s,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm
0,0.000000,-61.207348924,39.362769163,106.116432586,0.370095119,0.617868382,-0.202733644
1,0.000500,-61.193349961,39.362547765,106.060682725,0.370465677,0.617977926,-0.202777883
2,0.001000,-61.214911964,39.350028228,106.096927423,0.369814308,0.617805460,-0.203447996
3,0.001500,-61.205419587,39.338383394,106.106143311,0.369380951,0.617302921,-0.203100250
4,0.002000,-61.200536066,39.345134394,106.091064169,0.370338406,0.616758828,-0.202324156
5,0.002500,-61.239883372,39.346786132,106.149921441,0.370312708,0.617465097,-0.202843336
6,0.003000,-61.238561959,39.352463794,106.034867178,0.370004665,0.616608618,-0.202277833
7,0.003500,-61.239401537,39.338614967,106.128447623,0.370074020,0.617346598,-0.203095717
8,0.004000,-61.238557373,39.340284676,106.028119845,0.369730607,0.617329733,-0.203185750
9,0.004500,-61.252982642,39.367343502,106.130091677,0.369729630,0.617154026,-0.203453000
10,0.005000,-61.231965271,39.346176941,106.079986242,0.370321522,0.616773181,-0.202346100
11,0.005500,-61.218437797,39.341208671,106.113997265,0.370832812,0.617620988,-0.202286906
12,0.006000,-61.176166682,39.347488465,106.060436090,0.370011914,0.617211004,-0.202906172
13,0.006500,-61.208990695,39.355180739,106.072520404,0.370399103,0.617666513,-0.203012909
14,0.007000,-61.213380027,39.358712990,106.130989897,0.369516877,0.617802008,-0.203531211
15,0.007500,-61.197492752,39.335053889,106.153740407,0.369357846,0.616834979,-0.203877330
16,0.008000,-61.174524911,39.355076890,106.104348272,0.369707930,0.617412873,-0.202626907
17,0.008500,-61.201193730,39.336634181,106.152508084,0.370265340,0.618435736,-0.203258721
18,0.009000,-61.202059657,39.315232707,106.049682763,0.370297297,0.617473507,-0.203032804
19,0.009500,-61.208793350,39.342874733,106.162948707,0.370305371,0.618078634,-0.203147829
20,0.010000,-61.221999518,39.358631943,106.138873371,0.369873936,0.616821349,-0.202979949
21,0.010500,-61.223939884,39.368864521,106.139147841,0.370485316,0.616540226,-0.203108860
22,0.011000,-61.239196660,39.331306910,106.138703833,0.370022611,0.616920545,-0.202982326
23,0.011500,-61.216354768,39.343009639,106.015169419,0.370129811,0.617593104,-0.202720609
24,0.012000,-61.267392430,39.336613178,106.098750155,0.368954522,0.618157020,-0.203797554
25,0.012500,-61.223770222,39.321631080,106.057349910,0.369971767,0.617207217,-0.202230838
26,0.013000,-61.222475829,39.340428604,106.083597994,0.369743073,0.617011535,-0.203138378
27,0.013500,-61.192197294,39.355116355,106.115482322,0.370233110,0.617441822,-0.202625700
28,0.014000,-61.214013107,39.350431948,106.106552428,0.369640074,0.617691326,-0.203094132
29,0.014500,-61.229872834,39.349255260,106.119447325,0.369616059,0.618014489,-0.203425859
30,0.015000,-61.228411468,39.375424988,106.131048041,0.369445667,0.618235254,-0.203409418
31,0.015500,-61.221222174,39.345675248,106.094541132,0.369421790,0.617837210,-0.202870477
32,0.016000,-61.204913543,39.359678526,106.153372732,0.369349394,0.618471911,-0.203370912
33,0.016500,-61.184904863,39.339204583,106.083792584,0.370122073,0.617999880,-0.202980356
34,0.017000,-61.238424015,39.341583408,106.164945054,0.369730442,0.618595723,-0.203486016
35,0.017500,-61.215462119,39.342716635,106.159815881,0.370124384,0.617180463,-0.202600400
36,0.018000,-61.229653840,39.343064922,106.118390107,0.369573500,0.617379913,-0.203329158
37,0.018500,-61.233233042,39.339812578,106.080356531,0.370633955,0.616156029,-0.202597310
38,0.019000,-61.225995068,39.350802380,106.090497606,0.370899393,0.616638317,-0.202226085
39,0.019500,-61.225750104,39.356741642,106.081966031,0.370758897,0.617372805,-0.202674529
40,0.020000,-61.237492227,39.320989372,106.081369743,0.369413930,0.617405226,-0.202552371
41,0.020500,-61.246076076,39.316122225,106.129309293,0.369545642,0.617368177,-0.203323461
42,0.021000,-61.262149279,39.384737134,106.150996512,0.370207816,0.618282416,-0.202829358
43,0.021500,-61.239419414,39.346535056,106.140332649,0.370129654,0.617565009,-0.203195080
44,0.022000,-61.213705918,39.360103168,106.127801543,0.369711079,0.617490371,-0.202850368
45,0.022500,-61.230804509,39.358795220,106.139196508,0.370046652,0.617824553,-0.202838425
