principle,metric,n,rho_thickness,p_thickness,rho_hardness,p_hardness,q_thickness,q_hardness
9DTact,fz,9,-0.5270462766947299,0.14483925554394786,0.21081851067789192,0.5861141333812968,0.4827975184798262,0.99208804769416
9DTact,shear,9,-0.15811388300841894,0.6845283355605285,-0.3689323936863109,0.32853035182439455,0.99208804769416,0.8213258795609863
DIGIT,fz,9,-0.5797509043642028,0.10178621499687125,0.05270462766947298,0.892879242924744,0.4827975184798262,0.99208804769416
DIGIT,shear,9,-0.5797509043642028,0.10178621499687125,0.0,1.0,0.4827975184798262,1.0
DIGIT_Marker,fz,9,-0.5797509043642028,0.10178621499687125,-0.05270462766947298,0.892879242924744,0.4827975184798262,0.99208804769416
DIGIT_Marker,shear,9,-0.05270462766947298,0.892879242924744,0.15811388300841894,0.6845283355605285,0.99208804769416,0.99208804769416
9DTact,cyl4,9,-0.05270462766947298,0.892879242924744,-0.5797509043642028,0.10178621499687125,0.99208804769416,0.4827975184798262
9DTact,cube4,9,0.42163702135578385,0.25833942502696056,-0.15811388300841894,0.6845283355605285,0.738112642934173,0.99208804769416
DIGIT,cyl4,9,0.0,1.0,-0.5270462766947299,0.14483925554394786,1.0,0.4827975184798262
DIGIT,cube4,9,-0.3162277660168379,0.40708382206558924,-0.05270462766947298,0.892879242924744,0.9046307157013095,0.99208804769416
