width_px,density_px_per_mm2,resolved_pct,contact_lost_pct,median_dip,median_imprint_lvl,median_dip_sd,rayleigh,imprint_floor
8,0.13648472575547244,0.0,100.0,,,,0.265,2.5
16,0.5459389030218897,0.0,85.18518518518519,-0.16219873480762345,3.703012466430664,0.0081575215060964,0.265,2.5
32,2.183755612087559,18.51851851851852,59.25925925925925,0.2319136191414653,5.433695316314697,0.0096703651669966,0.265,2.5
48,4.913450127197007,25.925925925925924,55.55555555555556,0.30735905896796956,5.034965991973877,0.0099032687782666,0.265,2.5
80,13.648472575547242,40.74074074074074,44.44444444444444,0.3240310028774981,5.22265625,0.0108437587510211,0.265,2.5
160,54.59389030218897,48.148148148148145,37.03703703703704,0.3918843893581432,5.487475395202637,0.0116979842987357,0.265,2.5
320,218.37556120875587,59.25925925925925,11.11111111111111,0.41660773024643594,4.371086597442627,0.01862752877344095,0.265,2.5
426,387.01097017500166,70.37037037037037,0.0,0.4718307668055025,4.104727745056152,0.023180205657194,0.265,2.5
640,873.5022448350235,70.37037037037037,0.0,0.4964406336063912,4.32981014251709,0.0352618821590786,0.265,2.5
854,1555.3202226418462,70.37037037037037,0.0,0.501311368388375,4.3392839431762695,0.0383660967998993,0.265,2.5
1280,3494.008979340094,66.66666666666666,0.0,0.5159422402466385,4.515380859375,0.0463275164687515,0.265,2.5
1920,7861.5202035152115,44.44444444444444,0.0,0.3836520166498836,2.146500825881958,0.1087820099030854,0.265,2.5
