principle,probe,measure,x_name,group_by,group,n_units,x,median,q1,q3
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,0.683761756600282,331.4228128908957,226.82317384432662,350.41785775129574
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,0.7329391264974552,361.4462574184397,254.08601385816524,367.4543836470131
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,0.7821164963946283,374.2145854114542,272.7212956047391,378.63740960438577
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,0.8312938662918016,383.2975428445188,301.4279069862913,392.66250211490456
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,0.8804712361889747,392.7248572732498,322.56328179771333,406.85977312325656
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,0.9296486060861479,413.41577499880316,341.23118063819913,415.42275248844317
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,0.9788259759833211,420.2353472664281,352.9634067497208,427.43903876313567
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,1.0280033458804942,427.05491953405306,374.04467394907164,439.4553250378282
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,1.0771807157776674,433.87449180167795,384.0014928189139,451.47161131252074
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,1.1263580856748405,456.6955993754073,400.86216813367264,460.098110541663
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,1.1755354555720137,463.79375592839557,409.8613679380609,471.57106057023236
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,1.224712825469187,470.8919124813838,425.4238107221189,483.0440105988018
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,1.2738901953663602,482.0427808377987,434.7901327189362,496.54331652908445
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,1.3230675652635333,491.6471128700527,443.383186553673,497.3121310243048
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,1.3722449351607064,496.81951285516374,449.7602743648383,511.1530414176094
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,1.4214223050578796,501.9919128402747,465.8031142618223,524.9939518109139
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,1.4705996749550527,507.1643128253857,472.6101370153144,538.8348622042184
9DTact,ball8,diameter_px,depth_mm,hardness,soft,3,1.519777044852226,525.8957896581857,486.19669819265107,559.4553110213676
9DTact,ball8,diameter_px,depth_mm,hardness,medium,3,0.9296486060861479,319.4561374723686,236.19827388443827,365.19651408535606
9DTact,ball8,diameter_px,depth_mm,hardness,medium,3,0.9788259759833211,343.03946655563976,255.12208781041323,375.44881095094723
9DTact,ball8,diameter_px,depth_mm,hardness,medium,3,1.0280033458804942,366.6227956389108,288.9291778646748,396.713461170038
9DTact,ball8,diameter_px,depth_mm,hardness,medium,3,1.0771807157776674,390.12478777848554,322.69559944708817,417.9374429172806
9DTact,ball8,diameter_px,depth_mm,hardness,medium,3,1.1263580856748405,377.90853620295076,308.97806910340256,414.73544107700104
9DTact,ball8,diameter_px,depth_mm,hardness,medium,3,1.1755354555720137,397.4690782644609,335.11207334918026,423.5849620923774
9DTact,ball8,diameter_px,depth_mm,hardness,medium,3,1.224712825469187,417.02962032597117,361.246077594958,442.00815536518996
