principle,metric,n,median_R,min_R,max_R,median_px,min_px,max_px
9DTact,fz,9,17.317,1.66,880.333,80.0,32,640
9DTact,shear,9,5.889,1.88,44.74,48.0,32,160
DIGIT,fz,9,13.254,2.186,293.234,80.0,32,320
DIGIT,shear,9,6.252,2.383,589.897,48.0,32,426
DIGIT_Marker,fz,9,23.04,2.823,455.111,80.0,32,320
DIGIT_Marker,shear,9,71.684,16.542,5898.24,160.0,80,1280
9DTact,cyl4,9,55.021,16.359,7829.521,160.0,80,1920
9DTact,cube4,9,55.021,13.648,7829.521,160.0,80,1920
DIGIT,cyl4,9,14.893,0.842,83.214,80.0,16,160
DIGIT,cube4,9,17.749,0.211,85.779,80.0,8,160
