width_px,lo,hi,fz_share,fx_mae,fy_mae,fz_mae,res_mae_exact,principle,density_px_per_mm2
8,0.11200519956068533,0.1796742863953112,0.6622004812323177,0.041476484388113,0.0436299182474613,0.0867453143000602,0.1308180838823318,9DTact,0.13648472575547244
16,0.07800067376946217,0.1282357461750506,0.6459552191034104,0.0296677406877279,0.0344468764960765,0.0645307675004005,0.0903895944356918,9DTact,0.5459389030218897
32,0.06711614827812885,0.1107441037893294,0.6998057477997122,0.0262221805751323,0.0266393218189477,0.0576862692832946,0.0797955393791198,9DTact,2.183755612087559
48,0.06998169849958343,0.10984913818538171,0.7053127908512694,0.0247180145233869,0.0231428053230047,0.0618151575326919,0.0788074359297752,9DTact,4.913450127197007
80,0.06278461542036438,0.10181979648768891,0.6374757555265592,0.0243985690176486,0.026470998302102,0.0496324375271797,0.0739253610372543,9DTact,13.648472575547242
160,0.06606741099055383,0.1088593024760484,0.6029082801696598,0.0278034601360559,0.0261573363095521,0.047664824873209,0.0728072300553321,9DTact,54.59389030218897
320,0.06319179014261268,0.1041368804872034,0.6219999110776295,0.0277499966323375,0.0263488236814737,0.0466442182660102,0.0716407895088195,9DTact,218.37556120875587
426,0.06521730629279551,0.1087035797536371,0.677677196032652,0.0282603669911623,0.0264320541173219,0.0537283346056938,0.0743626654148101,9DTact,387.01097017500166
640,0.06471461579078452,0.1055552791804074,0.5821983098552702,0.0315804369747638,0.0270705521106719,0.0492094196379184,0.0734978392720222,9DTact,873.5022448350235
854,0.06615567000014098,0.10756751894950858,0.5809359567037354,0.0346499346196651,0.0261278096586465,0.0509828925132751,0.0745505988597869,9DTact,1555.3202226418462
1280,0.06546595952056168,0.1067545115947723,0.5833760131141114,0.0255672894418239,0.0290860310196876,0.0522271804511547,0.0752326026558876,9DTact,3494.008979340094
1920,0.07601346523714597,0.12457467056810839,0.4824291236280059,0.0370397455990314,0.0342809930443763,0.0555346310138702,0.0800806805491447,9DTact,7861.5202035152115
8,0.1395145066545293,0.235709998756647,0.5965988176147559,0.0644481554627418,0.0577330105006694,0.1078306660056114,0.1663879603147506,DIGIT,0.1832714063117097
16,0.1006315266120386,0.1615209169685839,0.6934485281586054,0.036269973963499,0.04534313082695,0.0837994515895843,0.1140839383006095,DIGIT,0.7330856252468388
32,0.08238843551547778,0.131344450637698,0.7022778833158061,0.028602585196495,0.0322271175682544,0.0669610053300857,0.0927156060934066,DIGIT,2.9323425009873554
48,0.07933899131865724,0.1283384431153534,0.6890322336960034,0.0273773446679115,0.0326541252434253,0.0609112158417701,0.0926761031150817,DIGIT,6.597770627221551
80,0.07781412761016258,0.126120926812291,0.6830015526668022,0.0265770647674798,0.0320395082235336,0.0653954073786735,0.0884255766868591,DIGIT,18.327140631170973
160,0.08979587218893205,0.14115290343761427,0.6900773008213368,0.0290791578590869,0.0337207280099391,0.0664233788847923,0.0996937006711959,DIGIT,73.3085625246839
320,0.08323214501104688,0.1307613458484409,0.6784442817296242,0.0287486128509044,0.0336295627057552,0.0659698098897934,0.0974715501070022,DIGIT,293.2342500987356
426,0.0790092076315182,0.1287168078124521,0.6560271903926141,0.03112637065351,0.0316288657486438,0.0643418207764625,0.0903829708695411,DIGIT,519.6775270597474
640,0.09337134550256175,0.1504151187837123,0.7079805503716492,0.0311322174966335,0.0349765159189701,0.0781131237745285,0.1044824868440628,DIGIT,1172.9370003949423
854,0.08620970634069015,0.14212788641452778,0.7377895148394805,0.0278000924736261,0.0363888032734394,0.0664036348462104,0.1018745228648185,DIGIT,2088.480765087983
1280,0.08679707773231124,0.13472397625446308,0.6259851381872261,0.0353960804641246,0.040600337088108,0.0732482373714447,0.094765804708004,DIGIT,4691.748001579769
1920,0.09448834253450562,0.1581681892275809,0.586839939955003,0.0400054119527339,0.0407495461404323,0.0723832473158836,0.1047687530517578,DIGIT,10556.43300355448
8,0.18441261362477127,0.2940903194248675,0.7254180781769644,0.056598026305437,0.0816834867000579,0.1561518311500549,0.2213998585939407,DIGIT_Marker,0.22572001000000003
16,0.11738540352434385,0.1793136224150657,0.7568081608160745,0.0469279326498508,0.0459729544818401,0.1081112772226333,0.1292897462844848,DIGIT_Marker,0.9028800400000001
32,0.13829642283109972,0.2087277900427578,0.7582806256666503,0.0412379205226898,0.0466626957058906,0.1230922564864158,0.1475400328636169,DIGIT_Marker,3.6115201600000004
48,0.12302297855993113,0.16078563965857018,0.7797439564543558,0.0333463586866855,0.0370490960776805,0.1193685457110405,0.1267584264278412,DIGIT_Marker,8.12592036
80,0.1102476836452419,0.151295632123947,0.8305190108930931,0.0333937518298625,0.034907117486,0.1016884967684745,0.1153530105948448,DIGIT_Marker,22.572001000000004
160,0.09671589489205915,0.1474575717002152,0.8256589703308465,0.0281585101038217,0.0298842191696167,0.0864213109016418,0.105846107006073,DIGIT_Marker,90.28800400000002
320,0.1144151309513243,0.1784998439252375,0.7545323982804768,0.0317237935960292,0.040794339030981,0.0993853583931922,0.126675546169281,DIGIT_Marker,361.15201600000006
426,0.12486264084278897,0.1914734989404677,0.7874387989896636,0.0320167019963264,0.0392308346927166,0.1108002960681915,0.1350220143795013,DIGIT_Marker,640.0431958556251
640,0.11524746019797777,0.1769534274935721,0.7752336781613759,0.0329174920916557,0.0448233969509601,0.1045243069529533,0.1299709230661392,DIGIT_Marker,1444.6080640000002
854,0.11988942083049463,0.1700305845588444,0.79045568101229,0.0329807177186012,0.0377981103956699,0.1048856750130653,0.1308653801679611,DIGIT_Marker,2572.2064814556247
1280,0.11394999384140339,0.1804560646414755,0.8193530117267609,0.0282360538840293,0.0354004278779029,0.1071111857891082,0.1197466850280761,DIGIT_Marker,5778.432256000001
1920,0.10184469175063421,0.1582417357712983,0.8150735546988587,0.0270789116621017,0.031402014195919,0.0870564505457878,0.1156447827816009,DIGIT_Marker,13001.472576000004
