principle,unit,task,mae_cyl4,mae_cube4,r2_cyl4,r2_cube4,thickness_mm,hardness,hard_n
9DTact,hard_1mm_r1,형상,0.0431958114762861,0.1238222248231161,0.9198480188665104,0.45063933295341463,1,hard,3
9DTact,hard_2mm_r1,형상,0.09148565903289049,0.0767999545069758,0.665660596619776,0.7298547136604897,2,hard,3
9DTact,hard_3mm_r1,형상,0.06454800366078961,0.06184327797114715,0.8223120925897819,0.8305262468730557,3,hard,3
9DTact,medium_1mm_r1,형상,0.0908471556197419,0.17222684934529686,0.7003798134208149,-0.1017351760494964,1,medium,2
9DTact,medium_2mm_r2,형상,0.05911818924813155,0.07599818182852945,0.8143119889245882,0.7257508442961152,2,medium,2
9DTact,medium_3mm_r1,형상,0.0868045796019109,0.07769871549721635,0.6055962733855075,0.674537221963396,3,medium,2
9DTact,soft_1mm_r1,형상,0.07229769263897365,0.1170383017947172,0.7543347095454946,0.49834734785005064,1,soft,1
9DTact,soft_2mm_r1,형상,0.0639508782816301,0.13097282722784243,0.8408978343706737,0.35616230018672757,2,soft,1
9DTact,soft_3mm_r1,형상,0.04679711698210455,0.053212183663506496,0.8763663258798974,0.8640179098048142,3,soft,1
DIGIT,hard_1mm_r1,형상,0.03988076451610284,0.07323161188566552,0.23507601059417416,-0.7576381662572071,1,hard,3
DIGIT,hard_2mm_r2,형상,0.027126628555433307,0.030561802155491882,0.882621493907467,0.5809471980350769,2,hard,3
DIGIT,hard_3mm_r1,형상,0.0836529563299946,0.10146789656581608,0.35109823489453584,-0.9851321019879766,3,hard,3
DIGIT,medium_1mm_r1,형상,0.04211170231172688,0.046671033427848854,0.11470097828301995,-0.06403101158912361,1,medium,2
DIGIT,medium_2mm_r1,형상,0.04876381977531354,0.02433295496545611,0.6651951886361473,0.7899423669740637,2,medium,2
DIGIT,medium_3mm_r1,형상,0.0760071341515122,0.05626033735148186,0.4983534161364028,0.36171883467169585,3,medium,2
DIGIT,soft_1mm_r2,형상,0.0438533559735735,0.08808578571214985,0.38330224185478956,-0.7882177642173211,1,soft,1
DIGIT,soft_2mm_r1,형상,0.08661486698696826,0.030255996283654142,0.11026982281321351,0.4945110582401274,2,soft,1
DIGIT,soft_3mm_r1,형상,0.12133736149625633,0.09602840003905659,-0.08089127904432858,-0.8377479514993211,3,soft,1
