principle,unit,hardness,thickness_mm,rep,suspect_hardware,fz_knee_px,fz_best,shear_knee_px,shear_best
9DTact,hard_1mm_r1,hard,1,1,False,426,0.0242258328944444,48,0.020529718138277447
9DTact,hard_2mm_r1,hard,2,1,False,640,0.0312153156846761,80,0.020047194324433748
9DTact,hard_3mm_r1,hard,3,1,False,32,0.0412977263331413,48,0.02412620093673465
9DTact,medium_1mm_r1,medium,1,1,False,80,0.0478156991302967,48,0.02270524017512795
9DTact,medium_2mm_r2,medium,2,2,False,640,0.0422314368188381,48,0.02454769611358635
9DTact,medium_3mm_r1,medium,3,1,False,48,0.0428206585347652,32,0.02547765430063005
9DTact,soft_1mm_r1,soft,1,1,False,80,0.0446228422224521,48,0.0227107806131243
9DTact,soft_2mm_r1,soft,2,1,False,320,0.0351876318454742,80,0.0217960504814982
9DTact,soft_3mm_r1,soft,3,1,False,48,0.0553495548665523,160,0.0331020429730415
DIGIT,hard_1mm_r1,hard,1,1,False,80,0.0695246458053588,160,0.026539633050560903
DIGIT,hard_2mm_r1,hard,2,1,False,48,0.0546161495149135,48,0.021537565626204
DIGIT,hard_3mm_r1,hard,3,1,False,80,0.0568446181714534,48,0.02794299833476535
DIGIT,medium_1mm_r1,medium,1,1,False,80,0.0492114089429378,32,0.01669234037399285
DIGIT,medium_2mm_r1,medium,2,1,False,80,0.0471034236252307,48,0.0301967961713671
DIGIT,medium_3mm_r1,medium,3,1,False,32,0.0460463054478168,48,0.025316432118415798
DIGIT,soft_1mm_r2,soft,1,2,False,48,0.090093232691288,426,0.02738834451884025
DIGIT,soft_2mm_r1,soft,2,1,False,320,0.0487581752240657,48,0.0239169811829924
DIGIT,soft_3mm_r1,soft,3,1,False,48,0.057066049426794,32,0.0387370521202683
DIGIT_Marker,hard_1mm_r1,hard,1,1,False,320,0.087947778403759,320,0.0201660199090838
DIGIT_Marker,hard_2mm_r1,hard,2,1,False,80,0.0707534551620483,1280,0.0243600960820913
DIGIT_Marker,hard_3mm_r1,hard,3,1,False,80,0.0633693858981132,80,0.03118835482746355
DIGIT_Marker,medium_1mm_r1,medium,1,1,False,160,0.1114101260900497,80,0.042084649205207755
DIGIT_Marker,medium_2mm_r1,medium,2,1,False,80,0.0642960518598556,80,0.0242104465141892
DIGIT_Marker,medium_3mm_r1,medium,3,1,False,32,0.0641959533095359,640,0.0187994353473186
DIGIT_Marker,soft_1mm_r1,soft,1,1,False,80,0.1156897842884063,160,0.0319390166550874
DIGIT_Marker,soft_2mm_r1,soft,2,1,False,80,0.1044399440288543,80,0.0442283265292644
DIGIT_Marker,soft_3mm_r1,soft,3,1,False,320,0.0766184628009796,160,0.03574576601386065
