unit,sep_mm,width_px,density_px_per_mm2,n_ok,n,principle
medium_1mm_r1,1.1,640,1347.7966131149203,6,6,DIGIT
medium_1mm_r1,1.1,854,2399.8282096936555,6,6,DIGIT
medium_1mm_r1,1.1,1280,5391.186452459681,6,6,DIGIT
medium_1mm_r1,1.1,1920,12130.169518034289,6,6,DIGIT
medium_1mm_r1,1.25,8,0.2105932207992063,0,6,DIGIT
medium_1mm_r1,1.25,16,0.8423728831968254,5,6,DIGIT
medium_1mm_r1,1.25,32,3.3694915327873014,6,6,DIGIT
medium_1mm_r1,1.25,48,7.581355948771427,6,6,DIGIT
medium_1mm_r1,1.25,80,21.05932207992063,6,6,DIGIT
medium_1mm_r1,1.25,160,84.23728831968252,6,6,DIGIT
medium_1mm_r1,1.25,320,336.9491532787301,6,6,DIGIT
medium_1mm_r1,1.25,426,597.1502396524494,6,6,DIGIT
medium_1mm_r1,1.25,640,1347.7966131149203,6,6,DIGIT
medium_1mm_r1,1.25,854,2399.8282096936555,6,6,DIGIT
medium_1mm_r1,1.25,1280,5391.186452459681,6,6,DIGIT
medium_1mm_r1,1.25,1920,12130.169518034289,6,6,DIGIT
medium_2mm_r1,1.1,8,0.1736710977330496,4,9,DIGIT
medium_2mm_r1,1.1,16,0.6946843909321986,5,9,DIGIT
medium_2mm_r1,1.1,32,2.7787375637287943,4,9,DIGIT
medium_2mm_r1,1.1,48,6.252159518389789,4,9,DIGIT
medium_2mm_r1,1.1,80,17.367109773304964,4,9,DIGIT
medium_2mm_r1,1.1,160,69.46843909321986,4,9,DIGIT
medium_2mm_r1,1.1,320,277.8737563728794,5,9,DIGIT
medium_2mm_r1,1.1,426,492.45525206567055,5,9,DIGIT
medium_2mm_r1,1.1,640,1111.4950254915177,6,9,DIGIT
medium_2mm_r1,1.1,854,1979.079848660576,6,9,DIGIT
medium_2mm_r1,1.1,1280,4445.980101966071,6,9,DIGIT
medium_2mm_r1,1.1,1920,10003.45522942366,7,9,DIGIT
medium_2mm_r1,1.25,8,0.1736710977330496,4,9,DIGIT
medium_2mm_r1,1.25,16,0.6946843909321986,1,9,DIGIT
medium_2mm_r1,1.25,32,2.7787375637287943,5,9,DIGIT
medium_2mm_r1,1.25,48,6.252159518389789,7,9,DIGIT
medium_2mm_r1,1.25,80,17.367109773304964,5,9,DIGIT
medium_2mm_r1,1.25,160,69.46843909321986,5,9,DIGIT
medium_2mm_r1,1.25,320,277.8737563728794,5,9,DIGIT
medium_2mm_r1,1.25,426,492.45525206567055,5,9,DIGIT
medium_2mm_r1,1.25,640,1111.4950254915177,8,9,DIGIT
medium_2mm_r1,1.25,854,1979.079848660576,8,9,DIGIT
medium_2mm_r1,1.25,1280,4445.980101966071,9,9,DIGIT
medium_2mm_r1,1.25,1920,10003.45522942366,9,9,DIGIT
medium_3mm_r1,1.1,8,0.1366479789414849,0,9,DIGIT
medium_3mm_r1,1.1,16,0.5465919157659396,2,9,DIGIT
medium_3mm_r1,1.1,32,2.1863676630637583,4,9,DIGIT
medium_3mm_r1,1.1,48,4.919327241893458,6,9,DIGIT
medium_3mm_r1,1.1,80,13.66479789414849,6,9,DIGIT
medium_3mm_r1,1.1,160,54.65919157659396,7,9,DIGIT
medium_3mm_r1,1.1,320,218.63676630637585,7,9,DIGIT
medium_3mm_r1,1.1,426,387.4738847872644,7,9,DIGIT
medium_3mm_r1,1.1,640,874.5470652255034,8,9,DIGIT
medium_3mm_r1,1.1,854,1557.1805845263752,8,9,DIGIT
medium_3mm_r1,1.1,1280,3498.1882609020136,8,9,DIGIT
medium_3mm_r1,1.1,1920,7870.9235870295315,8,9,DIGIT
medium_3mm_r1,1.25,8,0.1366479789414849,0,9,DIGIT
medium_3mm_r1,1.25,16,0.5465919157659396,6,9,DIGIT
medium_3mm_r1,1.25,32,2.1863676630637583,7,9,DIGIT
medium_3mm_r1,1.25,48,4.919327241893458,8,9,DIGIT
medium_3mm_r1,1.25,80,13.66479789414849,8,9,DIGIT
medium_3mm_r1,1.25,160,54.65919157659396,8,9,DIGIT
medium_3mm_r1,1.25,320,218.63676630637585,8,9,DIGIT
medium_3mm_r1,1.25,426,387.4738847872644,8,9,DIGIT
medium_3mm_r1,1.25,640,874.5470652255034,8,9,DIGIT
medium_3mm_r1,1.25,854,1557.1805845263752,8,9,DIGIT
medium_3mm_r1,1.25,1280,3498.1882609020136,8,9,DIGIT
medium_3mm_r1,1.25,1920,7870.9235870295315,8,9,DIGIT
soft_1mm_r2,1.1,8,0.2080352428834098,0,6,DIGIT
soft_1mm_r2,1.1,16,0.8321409715336393,4,6,DIGIT
soft_1mm_r2,1.1,32,3.328563886134557,5,6,DIGIT
soft_1mm_r2,1.1,48,7.489268743802754,5,6,DIGIT
soft_1mm_r2,1.1,80,20.803524288340984,5,6,DIGIT
soft_1mm_r2,1.1,160,83.21409715336394,6,6,DIGIT
soft_1mm_r2,1.1,320,332.8563886134557,6,6,DIGIT
soft_1mm_r2,1.1,426,589.8969333985889,6,6,DIGIT
soft_1mm_r2,1.1,640,1331.425554453823,6,6,DIGIT
soft_1mm_r2,1.1,854,2370.678612480577,6,6,DIGIT
soft_1mm_r2,1.1,1280,5325.702217815292,6,6,DIGIT
soft_1mm_r2,1.1,1920,11982.829990084409,6,6,DIGIT
soft_1mm_r2,1.25,8,0.2080352428834098,0,6,DIGIT
soft_1mm_r2,1.25,16,0.8321409715336393,5,6,DIGIT
soft_1mm_r2,1.25,32,3.328563886134557,6,6,DIGIT
soft_1mm_r2,1.25,48,7.489268743802754,6,6,DIGIT
soft_1mm_r2,1.25,80,20.803524288340984,6,6,DIGIT
soft_1mm_r2,1.25,160,83.21409715336394,6,6,DIGIT
soft_1mm_r2,1.25,320,332.8563886134557,6,6,DIGIT
soft_1mm_r2,1.25,426,589.8969333985889,6,6,DIGIT
soft_1mm_r2,1.25,640,1331.425554453823,6,6,DIGIT
soft_1mm_r2,1.25,854,2370.678612480577,6,6,DIGIT
soft_1mm_r2,1.25,1280,5325.702217815292,6,6,DIGIT
soft_1mm_r2,1.25,1920,11982.829990084409,6,6,DIGIT
soft_2mm_r1,1.1,8,0.1832714063117097,0,9,DIGIT
soft_2mm_r1,1.1,16,0.7330856252468388,4,9,DIGIT
soft_2mm_r1,1.1,32,2.9323425009873554,4,9,DIGIT
soft_2mm_r1,1.1,48,6.597770627221551,3,9,DIGIT
soft_2mm_r1,1.1,80,18.327140631170973,3,9,DIGIT
soft_2mm_r1,1.1,160,73.3085625246839,4,9,DIGIT
soft_2mm_r1,1.1,320,293.2342500987356,4,9,DIGIT
soft_2mm_r1,1.1,426,519.6775270597474,4,9,DIGIT
soft_2mm_r1,1.1,640,1172.9370003949423,4,9,DIGIT
soft_2mm_r1,1.1,854,2088.480765087983,4,9,DIGIT
soft_2mm_r1,1.1,1280,4691.748001579769,4,9,DIGIT
soft_2mm_r1,1.1,1920,10556.43300355448,5,9,DIGIT
soft_2mm_r1,1.25,8,0.1832714063117097,0,9,DIGIT
soft_2mm_r1,1.25,16,0.7330856252468388,7,9,DIGIT
soft_2mm_r1,1.25,32,2.9323425009873554,8,9,DIGIT
soft_2mm_r1,1.25,48,6.597770627221551,8,9,DIGIT
soft_2mm_r1,1.25,80,18.327140631170973,8,9,DIGIT
soft_2mm_r1,1.25,160,73.3085625246839,9,9,DIGIT
soft_2mm_r1,1.25,320,293.2342500987356,9,9,DIGIT
soft_2mm_r1,1.25,426,519.6775270597474,9,9,DIGIT
soft_2mm_r1,1.25,640,1172.9370003949423,9,9,DIGIT
soft_2mm_r1,1.25,854,2088.480765087983,9,9,DIGIT
soft_2mm_r1,1.25,1280,4691.748001579769,9,9,DIGIT
soft_2mm_r1,1.25,1920,10556.43300355448,9,9,DIGIT
soft_3mm_r1,1.1,8,0.1489288408012087,0,9,DIGIT
soft_3mm_r1,1.1,16,0.5957153632048351,5,9,DIGIT
soft_3mm_r1,1.1,32,2.3828614528193404,6,9,DIGIT
soft_3mm_r1,1.1,48,5.361438268843514,5,9,DIGIT
soft_3mm_r1,1.1,80,14.892884080120874,6,9,DIGIT
soft_3mm_r1,1.1,160,59.571536320483496,7,9,DIGIT
soft_3mm_r1,1.1,320,238.286145281934,7,9,DIGIT
soft_3mm_r1,1.1,426,422.2970361443775,8,9,DIGIT
soft_3mm_r1,1.1,640,953.144581127736,8,9,DIGIT
soft_3mm_r1,1.1,854,1697.1279134027243,8,9,DIGIT
soft_3mm_r1,1.1,1280,3812.578324510944,9,9,DIGIT
soft_3mm_r1,1.1,1920,8578.301230149624,9,9,DIGIT
soft_3mm_r1,1.25,8,0.1489288408012087,0,9,DIGIT
soft_3mm_r1,1.25,16,0.5957153632048351,0,9,DIGIT
soft_3mm_r1,1.25,32,2.3828614528193404,7,9,DIGIT
soft_3mm_r1,1.25,48,5.361438268843514,8,9,DIGIT
soft_3mm_r1,1.25,80,14.892884080120874,8,9,DIGIT
soft_3mm_r1,1.25,160,59.571536320483496,8,9,DIGIT
soft_3mm_r1,1.25,320,238.286145281934,8,9,DIGIT
soft_3mm_r1,1.25,426,422.2970361443775,8,9,DIGIT
soft_3mm_r1,1.25,640,953.144581127736,8,9,DIGIT
soft_3mm_r1,1.25,854,1697.1279134027243,8,9,DIGIT
soft_3mm_r1,1.25,1280,3812.578324510944,8,9,DIGIT
soft_3mm_r1,1.25,1920,8578.301230149624,8,9,DIGIT
