principle,metric,hardness,1mm,2mm,3mm
9DTact,fz,soft,17.3,218,4.03
9DTact,fz,medium,15.4,870,4.23
9DTact,fz,hard,464,880,1.66
9DTact,shear,soft,6.23,13.6,44.7
9DTact,shear,medium,5.53,4.89,1.88
9DTact,shear,hard,5.89,13.8,3.73
DIGIT,fz,soft,7.49,293,5.36
DIGIT,fz,medium,21.1,17.4,2.19
DIGIT,fz,hard,21.4,6.39,13.3
DIGIT,shear,soft,590,6.60,2.38
DIGIT,shear,medium,3.37,6.25,4.92
DIGIT,shear,hard,85.8,6.39,4.77
DIGIT_Marker,fz,soft,27.0,22.6,287
DIGIT_Marker,fz,medium,89.6,22.7,2.82
DIGIT_Marker,fz,hard,455,23.0,16.5
DIGIT_Marker,shear,soft,108,22.6,71.7
DIGIT_Marker,shear,medium,22.4,22.7,"1,129"
DIGIT_Marker,shear,hard,455,"5,898",16.5
9DTact,cyl4,soft,69.3,54.6,716
9DTact,cyl4,medium,61.4,"7,830",47.0
9DTact,cyl4,hard,16.4,55.0,41.5
9DTact,cube4,soft,69.3,13.6,"1,275"
9DTact,cube4,medium,15.4,"7,830",188
9DTact,cube4,hard,16.4,55.0,41.5
DIGIT,cyl4,soft,83.2,18.3,14.9
DIGIT,cyl4,medium,0.84,17.4,13.7
DIGIT,cyl4,hard,3.43,17.7,13.3
DIGIT,cube4,soft,83.2,18.3,14.9
DIGIT,cube4,medium,0.21,17.4,54.7
DIGIT,cube4,hard,85.8,17.7,13.3
