unit,hardness,thickness_mm,ball4_N,ball4_depth_mm,ball8_N,ball8_depth_mm,force_ratio,depth_ratio
soft_1mm_r2,soft,1,8.468353444083665,1.1716026180060624,22.449198933907432,1.3153767166200367,2.6509520513213056,1.1227157539632866
soft_2mm_r1,soft,2,6.405215407156595,1.4752321560684436,17.71834051220396,1.5753167070132683,2.7662364785432705,1.0678432547264658
soft_3mm_r1,soft,3,5.266272933010308,1.817245431635424,11.76112258608135,1.796520162529884,2.2332915015398678,0.9885952283908682
medium_1mm_r1,medium,1,7.521938639870854,1.1024184236638277,18.21929859107194,1.0912059627263702,2.4221546416901845,0.9898292148454908
medium_2mm_r1,medium,2,5.195311888728128,1.6014551979600462,14.138581849754152,1.6478677457603972,2.721411563457731,1.028981483752697
medium_3mm_r1,medium,3,6.634052774018221,2.2170745818890225,14.4159646485878,2.067055300283876,2.1730253194618627,0.9323345805185655
hard_1mm_r1,hard,1,9.84857194359586,1.1207383017064672,19.45536450623125,1.0952844868099518,1.9754503107308168,0.9772883510291754
hard_2mm_r1,hard,2,7.369257710949978,1.5522382917563746,22.41093170485956,1.68118929727925,3.041138277951545,1.0830742330012784
hard_3mm_r1,hard,3,7.880387980449271,2.201433003320613,11.83434462780252,1.8226737002265276,1.501746444104371,0.8279487486002209
