unit,sep_mm,width_px,density_px_per_mm2,n_ok,n,principle
hard_1mm_r1,1.1,8,0.163594529922627,0,6,9DTact
hard_1mm_r1,1.1,16,0.6543781196905081,0,6,9DTact
hard_1mm_r1,1.1,32,2.6175124787620323,0,6,9DTact
hard_1mm_r1,1.1,48,5.889403077214571,0,6,9DTact
hard_1mm_r1,1.1,80,16.3594529922627,0,6,9DTact
hard_1mm_r1,1.1,160,65.4378119690508,0,6,9DTact
hard_1mm_r1,1.1,320,261.7512478762032,0,6,9DTact
hard_1mm_r1,1.1,426,463.88251425372886,0,6,9DTact
hard_1mm_r1,1.1,640,1047.0049915048128,0,6,9DTact
hard_1mm_r1,1.1,854,1864.2516903914163,0,6,9DTact
hard_1mm_r1,1.1,1280,4188.019966019251,0,6,9DTact
hard_1mm_r1,1.1,1920,9423.044923543315,0,6,9DTact
hard_1mm_r1,1.25,8,0.163594529922627,0,3,9DTact
hard_1mm_r1,1.25,16,0.6543781196905081,0,3,9DTact
hard_1mm_r1,1.25,32,2.6175124787620323,0,3,9DTact
hard_1mm_r1,1.25,48,5.889403077214571,0,3,9DTact
hard_1mm_r1,1.25,80,16.3594529922627,0,3,9DTact
hard_1mm_r1,1.25,160,65.4378119690508,0,3,9DTact
hard_1mm_r1,1.25,320,261.7512478762032,0,3,9DTact
hard_1mm_r1,1.25,426,463.88251425372886,0,3,9DTact
hard_1mm_r1,1.25,640,1047.0049915048128,0,3,9DTact
hard_1mm_r1,1.25,854,1864.2516903914163,0,3,9DTact
hard_1mm_r1,1.25,1280,4188.019966019251,0,3,9DTact
hard_1mm_r1,1.25,1920,9423.044923543315,1,3,9DTact
hard_1mm_r1,1.5,8,0.163594529922627,0,3,9DTact
hard_1mm_r1,1.5,16,0.6543781196905081,0,3,9DTact
hard_1mm_r1,1.5,32,2.6175124787620323,0,3,9DTact
hard_1mm_r1,1.5,48,5.889403077214571,0,3,9DTact
hard_1mm_r1,1.5,80,16.3594529922627,0,3,9DTact
hard_1mm_r1,1.5,160,65.4378119690508,0,3,9DTact
hard_1mm_r1,1.5,320,261.7512478762032,1,3,9DTact
hard_1mm_r1,1.5,426,463.88251425372886,1,3,9DTact
hard_1mm_r1,1.5,640,1047.0049915048128,1,3,9DTact
hard_1mm_r1,1.5,854,1864.2516903914163,1,3,9DTact
hard_1mm_r1,1.5,1280,4188.019966019251,1,3,9DTact
hard_1mm_r1,1.5,1920,9423.044923543315,0,3,9DTact
hard_1mm_r1,1.75,8,0.163594529922627,0,3,9DTact
hard_1mm_r1,1.75,16,0.6543781196905081,0,3,9DTact
hard_1mm_r1,1.75,32,2.6175124787620323,1,3,9DTact
hard_1mm_r1,1.75,48,5.889403077214571,2,3,9DTact
hard_1mm_r1,1.75,80,16.3594529922627,2,3,9DTact
hard_1mm_r1,1.75,160,65.4378119690508,3,3,9DTact
hard_1mm_r1,1.75,320,261.7512478762032,3,3,9DTact
hard_1mm_r1,1.75,426,463.88251425372886,3,3,9DTact
hard_1mm_r1,1.75,640,1047.0049915048128,3,3,9DTact
hard_1mm_r1,1.75,854,1864.2516903914163,3,3,9DTact
hard_1mm_r1,1.75,1280,4188.019966019251,3,3,9DTact
hard_1mm_r1,1.75,1920,9423.044923543315,2,3,9DTact
hard_1mm_r1,2.0,8,0.163594529922627,0,3,9DTact
hard_1mm_r1,2.0,16,0.6543781196905081,0,3,9DTact
hard_1mm_r1,2.0,32,2.6175124787620323,1,3,9DTact
hard_1mm_r1,2.0,48,5.889403077214571,2,3,9DTact
hard_1mm_r1,2.0,80,16.3594529922627,2,3,9DTact
hard_1mm_r1,2.0,160,65.4378119690508,2,3,9DTact
hard_1mm_r1,2.0,320,261.7512478762032,2,3,9DTact
hard_1mm_r1,2.0,426,463.88251425372886,3,3,9DTact
hard_1mm_r1,2.0,640,1047.0049915048128,3,3,9DTact
hard_1mm_r1,2.0,854,1864.2516903914163,3,3,9DTact
hard_1mm_r1,2.0,1280,4188.019966019251,2,3,9DTact
hard_1mm_r1,2.0,1920,9423.044923543315,2,3,9DTact
hard_1mm_r1,2.5,8,0.163594529922627,0,6,9DTact
hard_1mm_r1,2.5,16,0.6543781196905081,0,6,9DTact
hard_1mm_r1,2.5,32,2.6175124787620323,4,6,9DTact
hard_1mm_r1,2.5,48,5.889403077214571,4,6,9DTact
hard_1mm_r1,2.5,80,16.3594529922627,4,6,9DTact
hard_1mm_r1,2.5,160,65.4378119690508,4,6,9DTact
hard_1mm_r1,2.5,320,261.7512478762032,4,6,9DTact
hard_1mm_r1,2.5,426,463.88251425372886,5,6,9DTact
hard_1mm_r1,2.5,640,1047.0049915048128,5,6,9DTact
hard_1mm_r1,2.5,854,1864.2516903914163,4,6,9DTact
hard_1mm_r1,2.5,1280,4188.019966019251,4,6,9DTact
hard_1mm_r1,2.5,1920,9423.044923543315,3,6,9DTact
hard_2mm_r1,1.1,8,0.1375519796455099,0,9,9DTact
hard_2mm_r1,1.1,16,0.5502079185820399,0,9,9DTact
hard_2mm_r1,1.1,32,2.2008316743281595,0,9,9DTact
hard_2mm_r1,1.1,48,4.95187126723836,0,9,9DTact
hard_2mm_r1,1.1,80,13.755197964550996,0,9,9DTact
hard_2mm_r1,1.1,160,55.02079185820399,0,9,9DTact
hard_2mm_r1,1.1,320,220.08316743281597,0,9,9DTact
