approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.3817867603904652,-0.0033527567956723667,0.014151625261473556,0,25.11484986125358,0.4,False
1,0.7559557372432764,0.013206532728497328,0.03065616282574126,331,25.11484986125358,0.4,False
1,1.1506965968957736,0.3487539395378977,0.36614957795225395,435,25.11484986125358,0.4,False
1,1.1549134243168417,0.35397685123700356,0.3712655063265714,78413,25.11484986125358,0.02,True
1,1.1887930440267986,0.38892491308879956,0.4061220960076895,79421,25.11484986125358,0.02,True
1,1.237083538584617,0.5133375118379203,0.5304420337631995,83542,25.11484986125358,0.02,True
1,1.2237012153339393,0.5055360606496564,0.522492622202489,91633,25.11484986125358,0.02,True
1,1.2344697121795285,0.5158325927567897,0.5326301280539724,91527,25.11484986125358,0.02,True
1,1.2735080133154,0.6163964133856413,0.6330677368997669,93380,25.11484986125358,0.02,True
1,1.2699892630304745,0.6057772853444836,0.622243054545001,101416,25.11484986125358,0.02,True
1,1.304320762500918,0.6967920304522349,0.7130349186171742,100723,25.11484986125358,0.02,True
1,1.310547197597657,0.7193006292039762,0.73524740972085,106411,25.11484986125358,0.02,True
1,1.3435245372919198,0.797722119794871,0.8135088016939249,109373,25.11484986125358,0.02,True
1,1.3468332104063805,0.8002169312672525,0.815781471045392,116678,25.11484986125358,0.02,True
1,1.4284892243600424,1.0577867059854658,1.073015554074064,115905,25.11484986125358,0.02,True
1,1.3877748093181168,0.9289951614852918,0.9438145259465927,127456,25.11484986125358,0.02,True
1,1.4377001125966586,1.0749842497327304,1.0894832493068491,123553,25.11484986125358,0.02,True
1,1.4362844255077754,1.0827279818784246,1.0966802991138622,132247,25.11484986125358,0.02,True
