t,Fx,Fy,Fz,Tx,Ty,Tz
1788772486.105027,0.00221,-0.00105,0.02115,-0.00016,-0.00013,-0.00016
1788772486.124591,-0.00094,0.00144,0.01725,0.00019,0.0,-0.00027
1788772486.144965,0.00289,0.00512,0.02609,-9e-05,4e-05,-0.00015
1788772486.164999,0.00431,-0.01049,0.00351,-0.00011,-0.00024,6e-05
1788772486.185172,-0.00541,-0.00042,0.01647,-0.00012,-6e-05,-9e-05
1788772486.205229,0.00262,0.00602,-0.01057,0.00017,-1e-05,2e-05
1788772486.224518,-0.0022,-0.00334,0.01176,-0.00011,-0.0001,-6e-05
1788772486.244896,0.00095,-0.00145,-0.01637,0.00028,-7e-05,-3e-05
1788772486.265248,-0.00384,-0.00253,0.00306,0.00014,0.00012,-8e-05
1788772486.285162,0.00101,0.00269,-0.00312,2e-05,-0.0001,3e-05
1788772486.304628,-0.00026,0.00251,0.01632,4e-05,-2e-05,-0.00018
1788772486.324971,-0.00402,-0.00203,0.0085,0.00019,0.00014,-0.00017
1788772486.345417,-0.00424,-0.0039,0.01448,0.00018,0.00011,-0.0002
1788772486.365311,-0.00411,-0.00161,0.01883,-0.00012,1e-05,-0.00011
1788772486.384422,0.00389,0.00043,0.00759,-3e-05,-6e-05,-5e-05
1788772486.404518,-0.00383,2e-05,-0.00512,6e-05,9e-05,1e-05
1788772486.424937,0.00019,0.00148,0.00624,-8e-05,-0.00011,0.0
1788772486.445239,-0.0,0.0021,0.01885,-8e-05,4e-05,-0.0001
1788772486.465366,0.00022,0.00168,0.02051,1e-05,-0.0,-0.00018
1788772486.485523,-0.00027,0.00087,0.01823,-2e-05,-4e-05,-0.00011
1788772486.504536,-0.00578,0.00132,0.01388,0.00013,8e-05,-0.00012
1788772486.524900,0.00228,-0.00043,-0.00265,0.00016,1e-05,-0.0
1788772486.545046,0.00062,-0.00106,0.00243,4e-05,-2e-05,5e-05
1788772486.565368,-0.00183,0.00343,0.02318,-0.00014,-0.00017,-0.00017
1788772486.584569,-0.00328,-0.00184,0.00156,-4e-05,-9e-05,-9e-05
1788772486.604826,0.00133,0.0027,0.02232,-0.00021,5e-05,-5e-05
1788772486.624930,0.0013,0.0005,0.02246,-2e-05,-3e-05,-0.00018
1788772486.645096,-0.00284,-0.00355,-0.01403,8e-05,-0.0,3e-05
1788772486.665403,0.00225,-0.00381,-0.00618,-0.0001,-0.00014,7e-05
1788772486.684623,-0.00215,0.00069,0.00051,9e-05,4e-05,-8e-05
1788772486.704894,0.00039,-0.004,0.02246,8e-05,-4e-05,-0.00013
1788772486.733222,-0.0023,0.00196,0.00992,9e-05,0.00011,-0.0001
1788772486.749485,-0.00228,0.00687,-0.00896,0.00021,0.00018,2e-05
1788772486.765099,-0.00039,0.00469,0.01734,-0.0001,-9e-05,-3e-05
1788772486.784522,-0.00459,-0.00021,0.01688,6e-05,3e-05,-0.00018
1788772486.804897,0.00036,-0.00901,0.0046,0.00013,-4e-05,-9e-05
1788772486.825465,0.00143,0.00254,0.01594,-4e-05,4e-05,-8e-05
1788772486.844595,0.00082,0.00204,0.00861,6e-05,-0.0,-8e-05
1788772486.864606,-0.00585,-0.00078,0.00342,4e-05,3e-05,9e-05
1788772486.884940,0.00244,-0.00383,0.01253,-5e-05,-0.0,-2e-05
1788772486.905164,0.00316,-0.00308,-0.00415,0.00011,-5e-05,-6e-05
1788772486.924403,0.00064,0.00311,0.02552,-0.00018,-7e-05,-0.00011
1788772486.944781,-0.00028,0.00023,0.02754,-6e-05,-0.0001,-0.00014
1788772486.964990,-0.00401,-0.00276,3e-05,-2e-05,0.00014,6e-05
1788772486.985108,-0.00107,-0.00458,-0.02204,0.00022,3e-05,7e-05
1788772487.005373,0.00079,-0.00413,-0.01223,-5e-05,1e-05,8e-05
1788772487.025540,-0.00193,0.00222,0.00207,-0.00014,-9e-05,7e-05
1788772487.045453,-0.00154,0.00367,-0.00437,2e-05,2e-05,0.00016
1788772487.064635,-0.00113,0.00112,0.0142,-0.00024,-8e-05,5e-05
1788772487.084959,0.00126,-0.00253,-0.01553,0.00015,-1e-05,0.00012
1788772487.105254,0.00193,0.00284,-0.00823,-2e-05,-7e-05,0.00012
1788772487.124520,-0.00052,-0.00199,0.01683,-3e-05,-8e-05,-0.00019
1788772487.144773,-0.00143,0.00563,-0.00218,0.00014,0.0002,1e-05
1788772487.165065,0.00051,0.00054,0.03497,-0.00021,-0.00011,-0.00024
1788772487.185370,0.00272,0.00051,0.00757,6e-05,3e-05,-0.0001
1788772487.204608,0.00253,-0.00197,0.00178,9e-05,-1e-05,0.0
1788772487.224675,-0.00322,0.00144,-0.0029,-8e-05,-2e-05,-0.0
1788772487.245032,-0.00084,0.00013,0.03045,-0.00012,-3e-05,-0.00015
1788772487.264545,0.00304,-0.00154,0.01257,5e-05,6e-05,-0.00021
