probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,rung_depth_mm,surface_offset_mm,force_wanted_N,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,2,1,0.988033656623528,-0.905353463095398,960.0,540.0,0.15,0.31262822753280517,0.3,0.0,0.0,0.43542775221266083,ball4_x+0.99_y-0.91_d0.15.png,1789060357.3892524,0.004787012333158458,0.02085273058889996,-0.43542775221266083,39.23456954956054,362.4639587402343,37.47637557983398,54990,132.30215660089087,"[898.905219130751, 567.1364975450082]",12
ball4,2,1,0.988033656623528,-0.905353463095398,960.0,540.0,0.3,0.4424369099232095,0.44999999999999996,0.0,0.0,0.7469483467682949,ball4_x+0.99_y-0.91_d0.30.png,1789060358.5613487,0.008332175102801287,0.02310005791171079,-0.7469483467682949,39.23321533203125,362.4639892578125,37.33747100830078,75523,155.04746864834144,"[902.1721727155966, 553.7401056631754]",12
ball4,0,0,-5.80623236533594,-0.4313722942876548,495.60682291754415,331.8155429759588,0.15,0.3725885742761861,0.3,0.0,0.43542775221266083,0.39228385427300055,ball4_x-5.81_y-0.43_d0.15.png,1789060363.049597,-0.00422819163966146,-0.003186456902217927,-0.39228385427300055,33.1152000427246,359.4788208007812,37.39036560058593,6202,44.43149687003432,"[455.37052563689133, 287.7092873266688]",12
ball4,0,0,-5.80623236533594,-0.4313722942876548,495.60682291754415,331.8155429759588,0.3,0.5578574799535332,0.44999999999999996,0.0,0.7469483467682949,0.7555782478588753,ball4_x-5.81_y-0.43_d0.30.png,1789060364.2215812,0.002863013897373179,0.02594578213763672,-0.7555782478588753,33.1083755493164,359.4849243164062,37.24997329711914,12736,63.67098798068676,"[297.928391959799, 293.1127512562814]",12
ball4,1,0,-3.0660309949115057,-1.8967774260849612,727.8034114587721,331.8155429759588,0.15,0.36314923567621804,0.3,0.0,0.43542775221266083,0.3541372929189038,ball4_x-3.07_y-1.90_d0.15.png,1789060367.1458595,0.004724603383553472,0.016943325432208133,-0.3541372929189038,36.21339797973633,359.5769958496093,37.4284439086914,14098,66.98904966797993,"[630.1797418073486, 353.4075046105831]",12
ball4,1,0,-3.0660309949115057,-1.8967774260849612,727.8034114587721,331.8155429759588,0.3,0.5602455625407288,0.44999999999999996,0.0,0.7469483467682949,0.8004100032416176,ball4_x-3.07_y-1.90_d0.30.png,1789060368.3179772,0.019315517355572354,-0.01061893058940271,-0.8004100032416176,36.220458984375,359.5778503417968,37.27177810668945,24867,88.96860086419434,"[619.081795150199, 353.47830458036753]",12
ball4,2,0,-0.32582962448707264,-3.362182557882268,960.0,331.8155429759588,0.15,0.3488393797507108,0.3,0.0,0.43542775221266083,0.3533031940819285,ball4_x-0.33_y-3.36_d0.15.png,1789060371.241986,0.021284150016668946,0.016845765550444192,-0.3533031940819285,39.32809829711914,359.6757507324218,37.43527603149414,35888,106.88079900227112,"[923.3357668301383, 354.00175546143555]",12
ball4,2,0,-0.32582962448707264,-3.362182557882268,960.0,331.8155429759588,0.3,0.5566181085473048,0.44999999999999996,0.0,0.7469483467682949,0.7869669993530181,ball4_x-0.33_y-3.36_d0.30.png,1789060372.414145,0.031142947194815206,-0.014482950543724194,-0.7869669993530181,39.32796478271484,359.6822814941406,37.29935455322265,77070,156.62740158792377,"[929.5698326196964, 352.38592188919165]",12
ball4,3,0,2.4143717459373595,-4.827587689679573,1192.1965885412278,331.8155429759588,0.15,0.34703077975522234,0.3,0.0,0.43542775221266083,0.3105483403000136,ball4_x+2.41_y-4.83_d0.15.png,1789060376.1222565,0.015732325827241666,0.01980782024506027,-0.3105483403000136,42.4303512573242,359.7725830078125,37.46493911743164,35583,106.42565799692208,"[1231.0237191917488, 321.18876991821935]",12
ball4,3,0,2.4143717459373595,-4.827587689679573,1192.1965885412278,331.8155429759588,0.3,0.5507164907564217,0.44999999999999996,0.0,0.7469483467682949,0.7219069637588348,ball4_x+2.41_y-4.83_d0.30.png,1789060377.2904496,0.025964943986005906,-0.01700676522061162,-0.7219069637588348,42.43286514282226,359.7779235839843,37.32323455810547,71703,151.07539101070148,"[1235.9437122575066, 321.9570450329833]",12
ball4,4,0,5.154573116361794,-6.292992821476881,1424.3931770824558,331.8155429759588,0.15,0.34444731675908713,0.3,0.0,0.43542775221266083,0.275297333026802,ball4_x+5.15_y-6.29_d0.15.png,1789060380.6066015,0.028743185942926887,0.0018371295805225784,-0.275297333026802,45.5391616821289,359.8746643066406,37.4876136779785,8619,52.37855390346407,"[1528.8965077155121, 351.79278338554354]",12
ball4,4,0,5.154573116361794,-6.292992821476881,1424.3931770824558,331.8155429759588,0.3,0.5515110772153768,0.44999999999999996,0.0,0.7469483467682949,0.6895703277039559,ball4_x+5.15_y-6.29_d0.30.png,1789060381.7786844,0.02898474059924965,-0.025865215088066763,-0.6895703277039559,45.53943634033203,359.876220703125,37.3531265258789,21183,82.1143003321056,"[1522.950904026814, 361.5677666052967]",12
ball4,0,1,-4.492369084225339,2.025456800499215,495.60682291754415,540.0,0.15,0.2958396309891391,0.3,0.0,0.43542775221266083,0.3958737010652243,ball4_x-4.49_y+2.03_d0.15.png,1789060387.827032,0.014375522144139907,0.021195840923305908,-0.3958737010652243,33.01692962646484,362.2676391601562,37.43828964233398,12994,64.31266330258899,"[452.9178082191781, 544.4522087117131]",12
ball4,0,1,-4.492369084225339,2.025456800499215,495.60682291754415,540.0,0.3,0.49071056728215723,0.44999999999999996,0.0,0.7469483467682949,0.8116934366828048,ball4_x-4.49_y+2.03_d0.30.png,1789060388.9989831,0.0030232119395986246,0.014780259256638218,-0.8116934366828048,33.0127487182617,362.26416015625,37.28140640258789,24659,88.59573061613123,"[468.6698974005434, 544.1116022547549]",12
ball4,1,1,-1.7521677138009053,0.5600516687019087,727.8034114587721,540.0,0.15,0.28955835366892657,0.3,0.0,0.43542775221266083,0.37946208634112677,ball4_x-1.75_y+0.56_d0.15.png,1789060391.9232225,0.020993903728978226,0.025294184305601597,-0.37946208634112677,36.12505722045898,362.3622131347656,37.45972824096679,39977,112.80547114377653,"[689.7685168972159, 562.4571628686494]",12
ball4,1,1,-1.7521677138009053,0.5600516687019087,727.8034114587721,540.0,0.3,0.48066796526388345,0.44999999999999996,0.0,0.7469483467682949,0.8242159062316518,ball4_x-1.75_y+0.56_d0.30.png,1789060393.0952814,0.042586121699439164,0.002059083663097994,-0.8242159062316518,36.13350296020508,362.3659362792968,37.30501174926758,65256,144.12366194629334,"[685.7375873482898, 566.0632125781538]",12
ball4,3,1,3.72823502704796,-2.370758594892704,1192.1965885412278,540.0,0.15,0.2862752267834203,0.3,0.0,0.43542775221266083,0.37633605354169786,ball4_x+3.73_y-2.37_d0.15.png,1789060397.191524,0.02934249313225905,0.036044876143768965,-0.37633605354169786,42.3391532897949,362.5621643066406,37.5085334777832,43191,117.25238715763574,"[1200.0923803570188, 563.1175939431826]",12
ball4,3,1,3.72823502704796,-2.370758594892704,1192.1965885412278,540.0,0.3,0.471825578503843,0.44999999999999996,0.0,0.7469483467682949,0.7785470590409063,ball4_x+3.73_y-2.37_d0.30.png,1789060398.3636005,0.04565657892847881,-0.001423744714477948,-0.7785470590409063,42.34553909301758,362.562530517578,37.35434341430664,83282,162.81733304890622,"[1202.602339040849, 562.2850075646598]",12
ball4,4,1,6.468436397472395,-3.8361637266900113,1424.3931770824558,540.0,0.15,0.27758954776774303,0.3,0.0,0.43542775221266083,0.3049367968077064,ball4_x+6.47_y-3.84_d0.15.png,1789060401.2878232,0.03319522435779767,0.022582797892182604,-0.3049367968077064,45.44739151000976,362.6672973632812,37.53632736206054,12061,61.96075804299605,"[1609.1411989055634, 493.55940635104884]",12
ball4,4,1,6.468436397472395,-3.8361637266900113,1424.3931770824558,540.0,0.3,0.46924321882342923,0.44999999999999996,0.0,0.7469483467682949,0.7290101461511427,ball4_x+6.47_y-3.84_d0.30.png,1789060402.4598243,0.04116100722756357,-0.010433554474014528,-0.7290101461511427,45.4506034851074,362.6641235351562,37.37961959838867,23832,87.09742365611109,"[1623.8770980194697, 478.82527693856997]",12
ball4,0,2,-3.1785058031147386,4.482285895286085,495.60682291754415,748.1844570240412,0.15,0.2155854409606377,0.3,0.0,0.43542775221266083,0.4085342139747411,ball4_x-3.18_y+4.48_d0.15.png,1789060408.5082073,0.018276429763269774,0.03169914559119054,-0.4085342139747411,32.93335723876953,365.0529479980468,37.4738311767578,11370,60.159649316711445,"[435.8588390501319, 806.6255936675461]",12
ball4,0,2,-3.1785058031147386,4.482285895286085,495.60682291754415,748.1844570240412,0.3,0.4118826743655646,0.44999999999999996,0.0,0.7469483467682949,0.8442893331225434,ball4_x-3.18_y+4.48_d0.30.png,1789060409.6761572,0.007418381237849303,0.017271659637068736,-0.8442893331225434,32.92473983764648,365.0483093261718,37.31534576416015,20766,81.30204853810633,"[452.50770490224403, 799.661417702013]",12
ball4,1,2,-0.4383044326903047,3.016880763488779,727.8034114587721,748.1844570240412,0.15,0.19845027024360107,0.3,0.0,0.43542775221266083,0.3794156859300756,ball4_x-0.44_y+3.02_d0.15.png,1789060412.6043174,0.01819010768442588,0.027506190848218637,-0.3794156859300756,36.02408218383789,365.1479187011718,37.48924255371093,27402,93.39340180766644,"[675.2087803809941, 782.6540763447923]",12
ball4,1,2,-0.4383044326903047,3.016880763488779,727.8034114587721,748.1844570240412,0.3,0.4128309776060348,0.44999999999999996,0.0,0.7469483467682949,0.8416658043403004,ball4_x-0.44_y+3.02_d0.30.png,1789060413.776477,0.032437892095805054,0.004859597382732517,-0.8416658043403004,36.0366744995117,365.1511840820312,37.34707260131836,48571,124.34077964140685,"[687.90461386424, 786.788804018859]",12
ball4,2,2,2.3018969377341287,1.5514756316914722,960.0,748.1844570240412,0.15,0.19108327734590347,0.3,0.0,0.43542775221266083,0.3531724464691507,ball4_x+2.30_y+1.55_d0.15.png,1789060416.7006376,0.04555111113182555,0.02821616315505242,-0.3531724464691507,39.1440315246582,365.2534790039062,37.5112838745117,44138,118.53084727774518,"[912.4090806108115, 787.177080973311]",12
ball4,2,2,2.3018969377341287,1.5514756316914722,960.0,748.1844570240412,0.3,0.40865454110969424,0.44999999999999996,0.0,0.7469483467682949,0.8192144493088506,ball4_x+2.30_y+1.55_d0.30.png,1789060417.8727145,0.04625980054275658,0.006325002924514855,-0.8192144493088506,39.14516067504883,365.2500915527343,37.3639907836914,72591,152.00800290763493,"[914.9376093455112, 771.6318689644722]",12
ball4,3,2,5.042098308158561,0.08607049989416637,1192.1965885412278,748.1844570240412,0.15,0.1875254997298086,0.3,0.0,0.43542775221266083,0.3441693933561368,ball4_x+5.04_y+0.09_d0.15.png,1789060421.3848174,0.035034656063549365,0.017340873095040975,-0.3441693933561368,42.25240325927734,365.3435974121093,37.52829360961914,38954,111.3527876005059,"[1224.4677568414027, 828.3324947373826]",12
ball4,3,2,5.042098308158561,0.08607049989416637,1192.1965885412278,748.1844570240412,0.3,0.4032912324270228,0.44999999999999996,0.0,0.7469483467682949,0.8059662905642255,ball4_x+5.04_y+0.09_d0.30.png,1789060422.5529764,0.040158815664996794,-0.0017127602076300263,-0.8059662905642255,42.25184249877929,365.3468933105468,37.38779067993164,63835,142.54582275374568,"[1219.9930289026397, 820.0173259183833]",12
ball4,4,2,7.782299678582995,-1.379334631903141,1424.3931770824558,748.1844570240412,0.15,0.18503408422817458,0.3,0.0,0.43542775221266083,0.3210587666700292,ball4_x+7.78_y-1.38_d0.15.png,1789060425.6770592,0.011403068720414921,0.022147429346501112,-0.3210587666700292,45.35032653808593,365.4468688964843,37.56189346313476,13451,65.433831303525,"[1532.8521299531633, 791.7922087577132]",12
ball4,4,2,7.782299678582995,-1.379334631903141,1424.3931770824558,748.1844570240412,0.3,0.39046250793060366,0.44999999999999996,0.0,0.7469483467682949,0.7343186839665407,ball4_x+7.78_y-1.38_d0.30.png,1789060426.845222,0.03499906004403073,0.003773212409588567,-0.7343186839665407,45.35956954956054,365.4518432617187,37.4128074645996,30049,97.8002748970407,"[1551.5463076974274, 785.8474491663616]",12
