approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.38845937525212193,-0.001666063286276838,0.008423694360541845,0,26.064983914426637,0.4,False
1,0.7786861042254998,-0.0062875079125649025,0.002946871028274245,0,26.064983914426637,0.4,False
1,1.166867272716324,0.3134505804212421,0.32181039912848064,12100,26.064983914426637,0.4,False
1,1.1715799401554712,0.30319719578107185,0.31075477340058344,62615,26.064983914426637,0.02,True
1,1.1934817381351195,0.32578616626373186,0.3326282163591259,62766,26.064983914426637,0.02,True
1,1.2305397468952144,0.3733705018691548,0.3794748686620636,73336,26.064983914426637,0.02,True
1,1.263080073247604,0.43445305533150974,0.439788285660731,71454,26.064983914426637,0.02,True
1,1.2734336744603354,0.4427338946214697,0.4469285707449103,82911,26.064983914426637,0.02,True
1,1.2876698335048289,0.46962533743784063,0.4728216730262744,80403,26.064983914426637,0.02,True
1,1.3202376810261605,0.5022660399601601,0.5045189671087116,82897,26.064983914426637,0.02,True
1,1.3375336476391695,0.560996385403275,0.5621352232953655,86878,26.064983914426637,0.02,True
1,1.354709862748134,0.5806203937107314,0.5808728306159707,90416,26.064983914426637,0.02,True
1,1.3761092486702644,0.6173211561226565,0.6166288720941736,94952,26.064983914426637,0.02,True
1,1.3872604382626044,0.6508740050336104,0.6492232306507362,96380,26.064983914426637,0.02,True
1,1.421241525970629,0.7149975440700064,0.7123401097058775,97452,26.064983914426637,0.02,True
1,1.4255153211923606,0.74810746737619,0.7445942065140656,102270,26.064983914426637,0.02,True
1,1.4350987549440681,0.774805458038152,0.7703283167734043,102457,26.064983914426637,0.02,True
1,1.4621985189367983,0.8157965160858547,0.8102499265315999,103400,26.064983914426637,0.02,True
