probe,repeat,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,Tx,Ty,Tz,tcp_x,tcp_y,tcp_z,area_px,radius_px,enclosing_radius_px,centroid_px,mean_abs_diff_in_region,dark_area_px,bright_area_px,diff_level
cyl4,1,0.1,0.0894872793794157,0.21186530124199976,cyl4_d0.10_r1.png,1788592510.3254647,0.00674822915122526,0.002084512641557268,-0.21186530124199976,1.5836767684501708e-05,-0.00011789684027721514,-0.00014934394110062145,37.78002548217773,363.4674377441406,38.0052146911621,78643,158.2177119640903,196.86618041992188,"[918.3104281372786, 624.489388756787]",4.827098369598389,77549,0,3
cyl4,1,0.2,0.18622831770507986,0.45030366352593487,cyl4_d0.20_r1.png,1788592516.310257,0.011675014034474174,0.006147361114389227,-0.45030366352593487,-3.847892703786049e-05,-0.00011519679825825469,-7.930757469578608e-05,37.77992630004883,363.4754333496093,37.90876388549804,124194,198.82700521988883,218.9966278076172,"[927.5908175918321, 620.8876274216145]",6.1963396072387695,123459,0,3
cyl4,1,0.3,0.28849010618839444,0.7349112031871385,cyl4_d0.30_r1.png,1788592522.7110991,0.017105260048958827,0.017102394290388824,-0.7349112031871385,-0.00021288131628441898,-4.563769498515669e-05,0.00027371239168494377,37.78025817871093,363.4810180664062,37.80404663085937,143780,213.93128671492963,232.57139587402344,"[929.3878286270691, 623.1915009041592]",7.9201436042785645,143019,0,3
cyl4,1,0.4,0.38484336200734504,0.9378839373787514,cyl4_d0.40_r1.png,1788592529.5241613,0.015773200015345167,0.019701704871545545,-0.9378839373787514,-0.00028400437061519844,-8.781952842836782e-05,1.9026913181363626e-05,37.77694702148437,363.4888916015625,37.7028121948242,154422,221.7071249289777,236.1040496826172,"[929.5584631723459, 623.5624004351712]",9.521342277526855,154056,1206,3
cyl4,1,0.5,0.4826977523471605,1.1792580929003662,cyl4_d0.50_r1.png,1788592536.3370297,0.01737517361089509,0.026286708411494254,-1.1792580929003662,-0.00024017945571438437,-1.5294652450320577e-05,7.251455244037253e-05,37.77716064453125,363.48486328125,37.5937271118164,161935,227.03636585175545,242.47543334960938,"[931.196659153364, 626.2555840306296]",11.175931930541992,161489,4252,3
cyl4,1,0.6,0.5848396519621737,1.4188615100656876,cyl4_d0.60_r1.png,1788592543.5619495,0.015102755366443432,0.0279204066731527,-1.4188615100656876,-0.00030234744108756373,1.3063256477496844e-05,-4.964672824669947e-06,37.77637481689453,363.4920654296875,37.50312042236328,167508,230.9100526501053,246.14146423339844,"[931.3541442796762, 628.0650774888363]",12.987520217895508,167253,18326,3
cyl4,2,0.1,0.08380661301199055,0.17857870412587146,cyl4_d0.10_r2.png,1788592550.1665041,0.0052226544183461955,0.012772721903602503,-0.17857870412587146,-0.00027255003363595154,-4.536173293978041e-05,-0.00010742991007357538,37.77089309692383,363.504425048828,38.00585174560547,68380,147.53314887593095,191.28907775878906,"[920.0614360924247, 634.527829774788]",4.7845845222473145,67829,0,3
cyl4,2,0.2,0.18435713243918528,0.41092153079850674,cyl4_d0.20_r2.png,1788592556.1514168,0.0077184043134749915,0.021161981824897324,-0.41092153079850674,-0.00034991057066582345,9.576820849517831e-05,-0.00014057084288836562,37.76801681518554,363.5127563476562,37.90767288208008,122080,197.12754983846668,221.84336853027344,"[928.4233043905635, 623.5725753604194]",6.129680633544922,121506,0,3
cyl4,2,0.3,0.2854290904005836,0.6785962729184973,cyl4_d0.30_r2.png,1788592562.3480515,0.012100608934594349,0.019466454518047092,-0.6785962729184973,-0.00017765866876090497,0.0001188911406577009,-0.00013637660972225517,37.77039337158203,363.4997253417968,37.80130767822265,142384,212.89019431245032,229.9154052734375,"[928.2917673334083, 623.6122106416451]",7.853470325469971,141793,0,3
cyl4,2,0.4,0.38393314743343154,0.8910888866657303,cyl4_d0.40_r2.png,1788592568.9526558,0.018922873607194645,0.019223116807996377,-0.8910888866657303,-0.0003471453055142376,-5.276733842352055e-06,-0.00013262752735796469,37.76517486572265,363.503204345703,37.70027923583984,153823,221.27670826919228,238.2082061767578,"[929.4976173914174, 624.6801258589418]",9.42833137512207,152822,709,3
cyl4,2,0.5,0.4892131025713624,1.1595845119829533,cyl4_d0.50_r2.png,1788592576.1776276,0.011835434856364558,0.00818242030970442,-1.1595845119829533,-5.881715813346733e-05,-4.8091751368439795e-05,2.6557657698189628e-05,37.76560974121093,363.4979553222656,37.59844970703125,161514,226.74104824025306,242.16233825683594,"[929.9481283356241, 627.0408014165955]",11.220911026000977,161237,6122,3
cyl4,2,0.6,0.5859677257231262,1.3891848422467887,cyl4_d0.60_r2.png,1788592583.402444,0.016826399276412475,0.025156913998070785,-1.3891848422467887,-0.0002981578608533042,0.00011113843844260396,-3.0756423605149406e-05,37.76645278930664,363.4859008789062,37.49981689453125,167685,231.03201783460435,246.87672424316406,"[929.5037302084265, 628.2228225541938]",12.927762031555176,167517,20549,3
cyl4,3,0.1,0.08217880292496105,0.17721772769156416,cyl4_d0.10_r3.png,1788592590.0071929,0.012275726235930762,0.011285106236858055,-0.17721772769156416,2.742425112373381e-05,9.049947018673898e-05,3.678809111491432e-05,37.7621383666992,363.4947509765625,38.0069999694824,68238,147.37988334033076,196.95703125,"[920.8873208476216, 634.1760162959055]",4.7337727546691895,66238,0,3
cyl4,3,0.2,0.18396565643401885,0.3976415719738554,cyl4_d0.20_r3.png,1788592595.9961617,0.021705412726220886,0.030998488499542277,-0.3976415719738554,-0.0003673320715895073,0.00028808345740033436,-0.00022447524829205534,37.76076126098633,363.5022888183593,37.90589141845703,121336,196.5259482867248,220.91932678222656,"[926.7962682138854, 624.5373837937627]",6.138093948364258,119524,0,3
cyl4,3,0.3,0.2879313427801087,0.6513298757651456,cyl4_d0.30_r3.png,1788592602.392843,0.019116075768339867,0.01476979463759367,-0.6513298757651456,-2.9604471425201397e-05,4.319452413227287e-05,-9.058384710325385e-05,37.7529830932617,363.507843017578,37.800235748291,143094,213.42032436856465,229.82823181152344,"[927.7800606594267, 623.5705270661243]",7.807150363922119,142557,220,3
cyl4,3,0.4,0.3866629620881561,0.8767962866810535,cyl4_d0.40_r3.png,1788592609.0013847,0.020543665476778016,0.02006948176697616,-0.8767962866810535,-0.00010100776407394874,0.0001432251731644907,-0.0003497337566533254,37.75159072875976,363.5126037597656,37.70454025268554,153119,220.76977026435446,238.5133514404297,"[927.6815091530117, 625.9771288997447]",9.43803882598877,152740,788,3
cyl4,3,0.5,0.4912431517686855,1.147372521430259,cyl4_d0.50_r3.png,1788592615.8140602,0.010651671635570636,-0.0033023394611740643,-1.147372521430259,0.0002185952153259535,-0.00011513342943402782,-9.203018241317195e-05,37.74892807006836,363.5226745605468,37.60362243652343,161657,226.8414011392388,241.16485595703125,"[928.2042967517646, 628.5894950419715]",11.222411155700684,161352,8208,3
cyl4,3,0.6,0.5871665949330129,1.3549223302866835,cyl4_d0.60_r3.png,1788592623.0388181,0.00267985839021776,0.017717741506998407,-1.3549223302866835,-0.00010028645499481348,0.00025979315321708054,-0.00018097058326529413,37.7449493408203,363.5296630859375,37.50490570068359,168227,231.40509333858785,246.12997436523438,"[927.9475232869872, 631.0485058878777]",12.871376037597656,167959,16858,3
