t,at,where,Fx,Fy,Fz,Tx,Ty,Tz
1788886467.536600,2026-09-09T01:54:27.536590,tare,0.0,0.0,0.0,0.0,0.0,0.0
1788886735.679337,2026-09-09T01:58:55.679321,between normal and shear blocks,-0.07372,-0.03062,-0.01598,0.00199,0.0017,-0.00017
1788886895.322857,2026-09-09T02:01:35.322846,end of collect,-0.08661,-0.0538,0.02079,0.00298,0.00213,-0.00084
