approach,depth_mm,force_N,area_px,base_height_mm,step_mm,fine
1,0.11593461313250941,-0.0033737675477468095,0,26.07445268863979,0.1,False
1,0.15574639500778886,0.007671386541169056,0,26.07445268863979,0.1,False
1,0.30856011223646007,-0.005955295726583643,0,26.07445268863979,0.1,False
1,0.351811674701235,0.12025947175131507,26020,26.07445268863979,0.1,False
1,0.43833279065567865,0.2501651479734548,39471,26.07445268863979,0.02,True
1,0.4184661862105976,0.21582744945473423,44867,26.07445268863979,0.02,True
1,0.4398266731486551,0.27359819194802665,55781,26.07445268863979,0.02,True
1,0.4817898933018192,0.2978108222087897,79872,26.07445268863979,0.02,True
1,0.4634573186694695,0.24800682895899942,83291,26.07445268863979,0.02,True
1,0.47832999293450484,0.35764604108594966,95341,26.07445268863979,0.02,True
1,0.5277364450997801,0.4711447159589355,110006,26.07445268863979,0.02,True
1,0.5057734761299777,0.3906290032073613,110783,26.07445268863979,0.02,True
1,0.5291853082875768,0.4543667299487751,118346,26.07445268863979,0.02,True
1,0.5750598416417247,0.5507876364025961,125762,26.07445268863979,0.02,True
1,0.5545682595874553,0.5259218805074155,125852,26.07445268863979,0.02,True
1,0.5670609460619964,0.5458379540197583,129801,26.07445268863979,0.02,True
1,0.6258489883711071,0.6820740727859246,135450,26.07445268863979,0.02,True
1,0.5936095908088781,0.590084177752631,134152,26.07445268863979,0.02,True
1,0.6175663588176192,0.6558943815204301,139355,26.07445268863979,0.02,True
1,0.6684920433180217,0.7728902314950019,142981,26.07445268863979,0.02,True
1,0.643425943254254,0.7037957434577989,142366,26.07445268863979,0.02,True
1,0.6592846776730958,0.7492584658339766,145475,26.07445268863979,0.02,True
1,0.7192530458576734,0.9065124875067895,148242,26.07445268863979,0.02,True
1,0.6862683705762862,0.8292426528671327,148711,26.07445268863979,0.02,True
1,0.7137259194418455,0.8887982887189153,149749,26.07445268863979,0.02,True
1,0.7516314137862885,0.957821592380013,153081,26.07445268863979,0.02,True
1,0.7396276902802796,0.9304408240647248,152390,26.07445268863979,0.02,True
1,0.7492470280732064,0.9451457713535959,154863,26.07445268863979,0.02,True
1,0.8199065923340996,1.0952442928383377,155677,26.07445268863979,0.02,True
2,0.06489061247134487,-0.005882482258155616,0,26.06307688608781,0.1,False
